Biosample	GTExTissue	nVariantsOverlappingEnhancers	nVariantsGTExTissue	nCommonVariantsOverlappingEnhancers	nCommonVariants	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	method	distance_min	distance_max	tissue.biosample	pred_name_long	hex	count	cat	pairs
PBMC5_B	B	0	155	86127	9746610	0	0	NA	Inf	1	SCENT	0	10	B.PBMC5_B	SCENT (FDR)	#a5a083	118-999 variants	0-10 Kb	9-9 biosample pairs
BMMC5_B	B	0	155	17827	9746610	0	0	NA	Inf	1	Cicero	0	10	B.BMMC5_B	Cicero (co-accessibility)	#888364	118-999 variants	0-10 Kb	9-9 biosample pairs
BMMC5_T	T	0	118	22873	9746610	0	0	NA	Inf	1	Cicero	0	10	T.BMMC5_T	Cicero (co-accessibility)	#888364	118-999 variants	0-10 Kb	9-9 biosample pairs
PBMC5_DC	dendritic	0	21	36028	9746610	0	0	NA	Inf	1	SnapATAC	10	100	dendritic.PBMC5_DC	SnapATAC (p-value)	#5e5948	21-1464 variants	10-100 Kb	11-11 biosample pairs
BMMC5_T	T	0	133	22873	9746610	0	0	NA	Inf	1	Cicero	10	100	T.BMMC5_T	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_B	B	0	251	12470	9746610	0	0	NA	Inf	1	Cicero	10	100	B.PBMC5_B	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_DC	dendritic	0	21	13862	9746610	0	0	NA	Inf	1	Cicero	10	100	dendritic.PBMC5_DC	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_T	T	0	133	18147	9746610	0	0	NA	Inf	1	Cicero	10	100	T.PBMC5_T	Cicero (co-accessibility)	#888364	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_DC	dendritic	0	21	36028	9746610	0	0	NA	Inf	1	FigR	10	100	dendritic.PBMC5_DC	FigR (p-value)	#bc9678	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_DC	dendritic	0	21	34067	9746610	0	0	NA	Inf	1	ScenicPlus	10	100	dendritic.PBMC5_DC	SCENIC+ (importance)	#c5c1a5	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_DC	dendritic	0	21	35485	9746610	0	0	NA	Inf	1	DIRECTNET	10	100	dendritic.PBMC5_DC	DIRECTNET (high-confidence)	#e0dcca	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_DC	dendritic	0	21	36013	9746610	0	0	NA	Inf	1	ArchR	10	100	dendritic.PBMC5_DC	ArchR (high-confidence)	#dcbca1	21-1464 variants	10-100 Kb	11-11 biosample pairs
PBMC5_B	B	0	43	86127	9746610	0	0	NA	Inf	1	SCENT	100	250	B.PBMC5_B	SCENT (FDR)	#a5a083	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	blood	0	241	428589	9746610	0	0	NA	Inf	1	SnapATAC	100	250	blood.K562	SnapATAC (p-value)	#5e5948	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	spleen	0	46	428589	9746610	0	0	NA	Inf	1	SnapATAC	100	250	spleen.K562	SnapATAC (p-value)	#5e5948	27-243 variants	100-250 Kb	9-9 biosample pairs
K562	blood	0	241	264810	9746610	0	0	NA	Inf	1	Cicero	100	250	blood.K562	Cicero (co-accessibility)	#888364	27-243 variants	100-250 Kb	9-9 biosample pairs
