GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	Biosample	distance_min	distance_max	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	tissue.biosample	pred_name_long	hex	count	cat	pairs
blood	228	205	K562	0	10	999	0.228228228228228	0.205205205205205	0.899122807017544	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
spleen	48	41	K562	0	10	266	0.180451127819549	0.154135338345865	0.854166666666667	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
LCL	226	210	GM12878	0	10	864	0.261574074074074	0.243055555555556	0.929203539823009	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
B	43	42	BMMC5_B	0	10	156	0.275641025641026	0.269230769230769	0.976744186046512	scE2G_multiome	B.BMMC5_B	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
T	36	33	BMMC5_T	0	10	118	0.305084745762712	0.279661016949153	0.916666666666667	scE2G_multiome	T.BMMC5_T	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	224	207	BMMC5_Erythroid	0	10	999	0.224224224224224	0.207207207207207	0.924107142857143	scE2G_multiome	blood.BMMC5_Erythroid	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
B	43	42	PBMC5_B	0	10	156	0.275641025641026	0.269230769230769	0.976744186046512	scE2G_multiome	B.PBMC5_B	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
NK	75	69	PBMC5_NK	0	10	226	0.331858407079646	0.305309734513274	0.92	scE2G_multiome	NK.PBMC5_NK	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
T	29	28	PBMC5_T	0	10	118	0.245762711864407	0.23728813559322	0.96551724137931	scE2G_multiome	T.PBMC5_T	scE2G (Multiome)	#792374	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	103	64	K562	10	100	1464	0.0703551912568306	0.0437158469945355	0.621359223300971	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	21-1464 variants	10-100 Kb	11-11 biosample pairs
