method	pred_name_long	hex
scE2G_multiome	scE2G (Multiome)	#792374
scE2G_ATAC	scE2G (scATAC)	#006479
Kendall	Kendall correlation (access. at E x expr. at G)	#d3a9ce
scABC	ABC (A=scATAC, C=power law)	#0096a0
ABC_distanceToTSS	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3
STARE	STARE (gABC, power law)	#96ced3
SCENT	SCENT (FDR)	#a5a083
SnapATAC	SnapATAC (p-value)	#5e5948
Cicero	Cicero (co-accessibility)	#888364
FigR	FigR (p-value)	#bc9678
ScenicPlus	SCENIC+ (importance)	#c5c1a5
DIRECTNET	DIRECTNET (high-confidence)	#e0dcca
ArchR	ArchR (high-confidence)	#dcbca1
