Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC5_Dendritic	0.0250213340401725	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	ScenicPlus	40.6591577498279	5.88953197253702	280.695837400007	0.985756664725696	1	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (BMMC5_Dendritic)	0.029	SCENIC+ (importance) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	-0.571394435631596	dendritic	5	1	35	0.142857142857143	0.0285714285714286	0.2	FigR	32.2584819670286	14.3282572948906	72.6263939431204	0.41406240099674	0.000874257791451821	FigR (p-value)	#bc9678	FigR (p-value) (BMMC5_Dendritic)	0.029	FigR (p-value) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	-0.0453033755041085	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	SCENT	32.2215298152816	8.38796158502364	123.775839113378	0.686664313356135	1	SCENT (FDR)	#a5a083	SCENT (FDR) (BMMC5_Dendritic)	0.029	SCENT (FDR) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	0.968479439787088	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scE2G_multiome	31.5373240575959	8.20986778560196	121.147238261023	0.686663084867382	1	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC5_Dendritic)	0.029	scE2G (Multiome) (BMMC5_Dendritic) (0.029)
PBMC5_DC	-2212.57142857143	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	ABC_distanceToTSS	20.666016432547	5.38003012924399	79.3832422738344	0.686643565477211	1	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_DC)	0.029	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_DC) (0.029)
PBMC5_DC	-0.988087838173415	dendritic	6	1	35	0.171428571428571	0.0285714285714286	0.166666666666667	SCENT	19.6131873291634	9.46720626686813	40.6325906888803	0.371623312345784	0.00166849668225412	SCENT (FDR)	#a5a083	SCENT (FDR) (PBMC5_DC)	0.029	SCENT (FDR) (PBMC5_DC) (0.029)
BMMC5_Dendritic	0.0986	dendritic	3	1	35	0.0857142857142857	0.0285714285714286	0.333333333333333	scABC	18.9468558339354	6.42110893755106	55.9067521643458	0.552075024210964	1	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC5_Dendritic)	0.029	ABC (A=scATAC, C=power law) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	-8426.85714285715	dendritic	4	1	35	0.114285714285714	0.0285714285714286	0.25	ABC_distanceToTSS	17.0045230316961	6.76096159979328	42.7681475878113	0.470577137234565	0.299927801382945	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Dendritic)	0.029	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	0.876230382213425	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scE2G_ATAC	16.3534410798703	4.25739238500179	62.816628341547	0.686635822265092	1	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC5_Dendritic)	0.029	scE2G (scATAC) (BMMC5_Dendritic) (0.029)
PBMC5_DC	0	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	ScenicPlus	16.3486407038231	4.256142745337	62.7981881377288	0.686635813646035	1	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (PBMC5_DC)	0.029	SCENIC+ (importance) (PBMC5_DC) (0.029)
PBMC5_DC	0	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	DIRECTNET	15.695340083335	4.08607434837603	60.2885996015832	0.686634640647336	0.466069944914536	DIRECTNET (high-confidence)	#e0dcca	DIRECTNET (high-confidence) (PBMC5_DC)	0.029	DIRECTNET (high-confidence) (PBMC5_DC) (0.029)
PBMC5_DC	0	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	ArchR	15.465224859277	4.02617015157387	59.4046378925403	0.686634227476354	0.48655405719565	ArchR (high-confidence)	#dcbca1	ArchR (high-confidence) (PBMC5_DC)	0.029	ArchR (high-confidence) (PBMC5_DC) (0.029)
PBMC5_DC	-0.999596523745205	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	SnapATAC	15.458786023569	4.02449397563153	59.3799038511397	0.68663421591545	1	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (PBMC5_DC)	0.029	SnapATAC (p-value) (PBMC5_DC) (0.029)
PBMC5_DC	-0.999940262355293	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	FigR	15.458786023569	4.02449397563153	59.3799038511397	0.68663421591545	1	FigR (p-value)	#bc9678	FigR (p-value) (PBMC5_DC)	0.029	FigR (p-value) (PBMC5_DC) (0.029)
BMMC5_Dendritic	-0.446400022106708	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	Cicero	15.3675057352559	2.2263995090461	106.072711372589	0.985665842601848	1	Cicero (co-accessibility)	#888364	Cicero (co-accessibility) (BMMC5_Dendritic)	0.029	Cicero (co-accessibility) (BMMC5_Dendritic) (0.029)
BMMC5_Dendritic	0.105529960984549	dendritic	3	1	35	0.0857142857142857	0.0285714285714286	0.333333333333333	Kendall	15.0874758774419	5.11320739589868	44.5184227291419	0.552070404543255	1	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC5_Dendritic)	0.029	Kendall correlation (access. at E x expr. at G) (BMMC5_Dendritic) (0.029)
PBMC5_DC	0.816235512394798	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	scE2G_multiome	13.8606625567952	2.00811375141396	95.6708584750584	0.985660431539823	1	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC5_DC)	0.029	scE2G (Multiome) (PBMC5_DC) (0.029)
PBMC5_DC	0.0791920763375006	dendritic	12	1	35	0.342857142857143	0.0285714285714286	0.0833333333333333	Kendall	13.829686701856	8.74212487676123	21.8780029990088	0.234016652597411	9.42806720425381e-08	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (PBMC5_DC)	0.029	Kendall correlation (access. at E x expr. at G) (PBMC5_DC) (0.029)
PBMC5_DC	0.835514604131044	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	scE2G_ATAC	10.8804630549571	1.57637960602932	75.0989646386506	0.985649729666806	1	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC5_DC)	0.029	scE2G (scATAC) (PBMC5_DC) (0.029)
PBMC5_DC	0.11989825	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	scABC	9.42161151093045	1.36503278067725	65.0290342616216	0.985644490942363	1	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC5_DC)	0.029	ABC (A=scATAC, C=power law) (PBMC5_DC) (0.029)
