Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
K562	-233.785714285714	spleen	23	20	618	0.0372168284789644	0.0323624595469256	0.869565217391304	ABC_distanceToTSS	26.1300110431138	17.49910054331	39.0178612565479	0.204562442592602	1.70818512479545e-21	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (K562)	0.032	In element (ABC (A=scATAC)) & distance to TSS (K562) (0.032)
K562	0.991477436121686	spleen	21	20	618	0.0339805825242718	0.0323624595469256	0.952380952380952	scE2G_ATAC	22.9340993764461	15.0641799121864	34.9154694961663	0.214445330424258	3.01994048597218e-18	scE2G (scATAC)	#006479	scE2G (scATAC) (K562)	0.032	scE2G (scATAC) (K562) (0.032)
K562	0.979482614873758	spleen	23	20	618	0.0372168284789644	0.0323624595469256	0.869565217391304	scE2G_multiome	22.0852136513502	14.7906405907321	32.9773858700491	0.20455158054157	8.22627799409521e-20	scE2G (Multiome)	#792374	scE2G (Multiome) (K562)	0.032	scE2G (Multiome) (K562) (0.032)
K562	0.611977424925808	spleen	23	18	618	0.0372168284789644	0.029126213592233	0.782608695652174	STARE	20.027902295241	13.412988299279	29.9051084961641	0.204546055760283	7.85802990861395e-19	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (K562)	0.029	STARE (gABC, power law) (K562) (0.029)
K562	-0.737983583706284	spleen	84	19	618	0.135922330097087	0.0307443365695793	0.226190476190476	SCENT	6.9277387577594	5.65720236226557	8.48362162468967	0.103371274288492	8.11250132962691e-38	SCENT (FDR)	#a5a083	SCENT (FDR) (K562)	0.031	SCENT (FDR) (K562) (0.031)
K562	0.0131929458826947	spleen	88	19	618	0.142394822006473	0.0307443365695793	0.215909090909091	ScenicPlus	4.71267931347509	3.86994880801408	5.73892509008488	0.100519869323205	1.1084937265675e-27	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (K562)	0.031	SCENIC+ (importance) (K562) (0.031)
K562	-0.0339121807794466	spleen	90	19	618	0.145631067961165	0.0307443365695793	0.211111111111111	SnapATAC	4.6682878044902	3.8386296653469	5.67726322293779	0.0998369990031546	9.2168569275135e-28	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (K562)	0.031	SnapATAC (p-value) (K562) (0.031)
K562	0.0331513504121881	spleen	108	19	618	0.174757281553398	0.0307443365695793	0.175925925925926	Kendall	4.62846828467715	3.89007100182274	5.5070251037126	0.0886743740346827	1.24801575366615e-34	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (K562)	0.031	Kendall correlation (access. at E x expr. at G) (K562) (0.031)
K562	-0.102034720648499	spleen	100	19	618	0.161812297734628	0.0307443365695793	0.19	FigR	4.44602411335876	3.70102197423437	5.34099244862138	0.093573784935562	7.51214579347729e-30	FigR (p-value)	#bc9678	FigR (p-value) (K562)	0.031	FigR (p-value) (K562) (0.031)
K562	-0.101139950850959	spleen	58	19	618	0.0938511326860841	0.0307443365695793	0.327586206896552	Cicero	3.55022706621666	2.77974707653261	4.53426584314261	0.124824548709588	4.94988998971556e-12	Cicero (co-accessibility)	#888364	Cicero (co-accessibility) (K562)	0.031	Cicero (co-accessibility) (K562) (0.031)
