Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC5_B	0.510147195246749	B	57	50	498	0.114457831325301	0.100401606425703	0.87719298245614	scE2G_multiome	26.4107325025252	20.5901459233857	33.8767288932961	0.127021647119805	4.83269849601804e-55	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC5_B)	0.1	scE2G (Multiome) (PBMC5_B) (0.1)
BMMC5_B	0.612176634296099	B	59	50	498	0.118473895582329	0.100401606425703	0.847457627118644	scE2G_multiome	24.8177708530392	19.4447865492427	31.6754184240686	0.124482375566772	1.21193190108413e-55	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC5_B)	0.1	scE2G (Multiome) (BMMC5_B) (0.1)
BMMC5_B	0.693009380842713	B	60	49	498	0.120481927710843	0.0983935742971888	0.816666666666667	scE2G_ATAC	22.2249560191862	17.4551260456278	28.2982012712814	0.123258612253772	6.00469761892206e-54	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC5_B)	0.098	scE2G (scATAC) (BMMC5_B) (0.098)
PBMC5_B	0.570862046595572	B	57	50	498	0.114457831325301	0.100401606425703	0.87719298245614	scE2G_ATAC	21.4725339765571	16.7404101878535	27.5423188679655	0.127017160892972	3.45353577047285e-50	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC5_B)	0.1	scE2G (scATAC) (PBMC5_B) (0.1)
PBMC5_B	0.0408642857142857	B	60	50	498	0.120481927710843	0.100401606425703	0.833333333333333	scABC	19.4684561238105	15.2537250523005	24.8477524372037	0.124477686367731	9.05104784647644e-50	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC5_B)	0.1	ABC (A=scATAC, C=power law) (PBMC5_B) (0.1)
BMMC5_B	0.0493815	B	62	50	498	0.124497991967871	0.100401606425703	0.806451612903226	scABC	19.1630527379256	15.1200547614908	24.2871203860846	0.120901250168666	3.64957799966105e-52	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC5_B)	0.1	ABC (A=scATAC, C=power law) (BMMC5_B) (0.1)
PBMC5_B	0.0585874521428572	B	63	49	498	0.126506024096386	0.0983935742971888	0.777777777777778	STARE	17.4306422278183	13.7531850403497	22.0914128314875	0.120899807472319	9.09366859411952e-50	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (PBMC5_B)	0.098	STARE (gABC, power law) (PBMC5_B) (0.098)
PBMC5_B	-1	B	75	49	498	0.150602409638554	0.0983935742971888	0.653333333333333	SCENT	16.9632150354156	13.7291153893842	20.9591555010345	0.107924630841487	1.52001962406818e-60	SCENT (FDR)	#a5a083	SCENT (FDR) (PBMC5_B)	0.098	SCENT (FDR) (PBMC5_B) (0.098)
BMMC5_B	0.082964263	B	62	50	498	0.124497991967871	0.100401606425703	0.806451612903226	STARE	16.3716903720211	12.9176695466779	20.7492725114849	0.12089892561091	3.42532870953178e-48	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (BMMC5_B)	0.1	STARE (gABC, power law) (BMMC5_B) (0.1)
PBMC5_B	-12069.5714285714	B	59	49	498	0.118473895582329	0.0983935742971888	0.830508474576271	ABC_distanceToTSS	15.1258125277556	11.851309908298	19.3050562676296	0.124473879614676	9.95234252736961e-44	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	0.098	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B) (0.098)
BMMC5_B	-10527.5714285714	B	62	50	498	0.124497991967871	0.100401606425703	0.806451612903226	ABC_distanceToTSS	14.7330148299691	11.624745014294	18.6723859932573	0.120897560974062	1.49321531242648e-45	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	0.1	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B) (0.1)
PBMC5_B	0.0225779769834533	B	111	51	498	0.22289156626506	0.102409638554217	0.45945945945946	Kendall	7.84410212441867	6.64177178865053	9.26408496049984	0.0848909293531998	3.4336290295064e-58	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (PBMC5_B)	0.102	Kendall correlation (access. at E x expr. at G) (PBMC5_B) (0.102)
BMMC5_B	0.0225779769834533	B	125	50	498	0.251004016064257	0.100401606425703	0.4	Kendall	7.14736706746004	6.12435210697689	8.34126697888847	0.0788132207582029	1.09269264423801e-61	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC5_B)	0.1	Kendall correlation (access. at E x expr. at G) (BMMC5_B) (0.1)
