Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
GM12878	0.472036315664541	LCL	288	242	2398	0.120100083402836	0.100917431192661	0.840277777777778	scE2G_multiome	26.6650309128094	23.8356649005043	29.8302512872648	0.0572306532157177	2.80143644423905e-277	scE2G (Multiome)	#792374	scE2G (Multiome) (GM12878)	0.101	scE2G (Multiome) (GM12878) (0.101)
GM12878	0.616859034177211	LCL	289	239	2398	0.120517097581318	0.0996663886572144	0.826989619377163	scE2G_ATAC	25.7627324991546	23.0399191430505	28.807322703786	0.0569911719623751	1.85365206556206e-275	scE2G (scATAC)	#006479	scE2G (scATAC) (GM12878)	0.1	scE2G (scATAC) (GM12878) (0.1)
GM12878	0.066058125	LCL	286	242	2398	0.119266055045872	0.100917431192661	0.846153846153846	scABC	25.0083690054177	22.3389605533675	27.9967601364898	0.057592009799382	6.41202150293161e-267	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (GM12878)	0.101	ABC (A=scATAC, C=power law) (GM12878) (0.101)
GM12878	-7543	LCL	291	239	2398	0.121351125938282	0.0996663886572144	0.821305841924399	ABC_distanceToTSS	22.1826030404425	19.8428922628414	24.798193284117	0.0568696491924391	2.10178357738651e-259	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	0.1	In element (ABC (A=scATAC)) & distance to TSS (GM12878) (0.1)
GM12878	0.10588767	LCL	297	240	2398	0.123853211009174	0.100083402835696	0.808080808080808	STARE	19.5336267020923	17.5012136453573	21.8020635521991	0.0560557223801444	1.89443447138574e-251	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (GM12878)	0.1	STARE (gABC, power law) (GM12878) (0.1)
GM12878	-0.97243940330502	LCL	358	240	2398	0.14929107589658	0.100083402835696	0.670391061452514	SCENT	15.3090123809106	13.8577827837669	16.9122192009974	0.0508145514997694	1.27684951201497e-266	SCENT (FDR)	#a5a083	SCENT (FDR) (GM12878)	0.1	SCENT (FDR) (GM12878) (0.1)
GM12878	0.00759551249425317	LCL	501	238	2398	0.208924103419516	0.0992493744787323	0.475049900199601	ScenicPlus	8.54927552370597	7.88272541045231	9.27218800280956	0.0414154737465648	3.29324671842937e-271	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (GM12878)	0.099	SCENIC+ (importance) (GM12878) (0.099)
GM12878	-0.285599006784344	LCL	511	238	2398	0.213094245204337	0.0992493744787323	0.465753424657534	SnapATAC	8.42858266668919	7.77897078108406	9.13244280875334	0.0409214606636137	3.40004988662574e-274	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (GM12878)	0.099	SnapATAC (p-value) (GM12878) (0.099)
GM12878	-0.326511106075198	LCL	499	243	2398	0.208090075062552	0.101334445371143	0.486973947895792	FigR	8.20895044701701	7.56728196487122	8.90502927661525	0.0415268485094679	1.4838994539074e-262	FigR (p-value)	#bc9678	FigR (p-value) (GM12878)	0.101	FigR (p-value) (GM12878) (0.101)
GM12878	0	LCL	514	254	2398	0.214345287739783	0.105921601334445	0.494163424124514	DIRECTNET	8.03425426190352	7.41738902727784	8.7024209337722	0.0407594589296952	8.80720047766959e-269	DIRECTNET (high-confidence)	#e0dcca	DIRECTNET (high-confidence) (GM12878)	0.106	DIRECTNET (high-confidence) (GM12878) (0.106)
GM12878	-0.313377598639196	LCL	384	240	2398	0.160133444537114	0.100083402835696	0.625	Cicero	7.30694328384313	6.64294492987573	8.03731187250699	0.0486078585810762	7.82583156229164e-183	Cicero (co-accessibility)	#888364	Cicero (co-accessibility) (GM12878)	0.1	Cicero (co-accessibility) (GM12878) (0.1)
GM12878	0.025102812497684	LCL	546	242	2398	0.227689741451209	0.100917431192661	0.443223443223443	Kendall	7.11064934504628	6.58588762388203	7.67722393635436	0.0391152325944797	2.67027909551496e-262	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (GM12878)	0.101	Kendall correlation (access. at E x expr. at G) (GM12878) (0.101)
