Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC5_Erythroid	0.02622628125	blood	343	287	2846	0.120520028109628	0.100843288826423	0.836734693877551	scABC	12.4466490085964	11.2426532698125	13.779582792895	0.0519073610057969	2.34870252785826e-233	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC5_Erythroid)	0.101	ABC (A=scATAC, C=power law) (BMMC5_Erythroid) (0.101)
K562	0.035808625	blood	337	283	2846	0.11841180604357	0.0994378074490513	0.839762611275964	scABC	12.3160746435913	11.1207649496534	13.6398615844534	0.0520883111409474	1.73862239119519e-230	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (K562)	0.099	ABC (A=scATAC, C=power law) (K562) (0.099)
BMMC5_Erythroid	0.0522171127142857	blood	345	288	2846	0.121222768798313	0.101194659170766	0.834782608695652	STARE	11.7783502311301	10.650149304422	13.0260647247041	0.0513729893340429	2.10930948956119e-230	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (BMMC5_Erythroid)	0.101	STARE (gABC, power law) (BMMC5_Erythroid) (0.101)
K562	-10527.5714285714	blood	348	286	2846	0.122276879831342	0.10049191848208	0.82183908045977	ABC_distanceToTSS	11.6104343736414	10.5054890440272	12.8315955382653	0.051024571309669	2.41527148433766e-231	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (K562)	0.1	In element (ABC (A=scATAC)) & distance to TSS (K562) (0.1)
BMMC5_Erythroid	-13069.6428571429	blood	345	285	2846	0.121222768798313	0.100140548137737	0.826086956521739	ABC_distanceToTSS	11.3463545003148	10.2613022419484	12.5461425276535	0.0512849970067779	4.12771732027113e-226	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Erythroid)	0.1	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Erythroid) (0.1)
BMMC5_Erythroid	0.203570639418368	blood	351	283	2846	0.123330990864371	0.0994378074490513	0.806267806267806	scE2G_multiome	10.9071487041828	9.87247137614987	12.0502646523298	0.0508520588373183	2.73030313091054e-224	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC5_Erythroid)	0.099	scE2G (Multiome) (BMMC5_Erythroid) (0.099)
BMMC5_Erythroid	0.346925267142479	blood	365	282	2846	0.128250175685172	0.0990864371047084	0.772602739726028	scE2G_ATAC	10.6722867876688	9.67577873875532	11.7714251589947	0.0500134885244603	3.59107369999534e-228	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC5_Erythroid)	0.099	scE2G (scATAC) (BMMC5_Erythroid) (0.099)
K562	0.0611979945572188	blood	355	286	2846	0.124736472241743	0.10049191848208	0.805633802816901	STARE	9.76798328720923	8.84727178913136	10.7845107252624	0.0505115846692009	5.30869664107352e-212	STARE (gABC, power law)	#96ced3	STARE (gABC, power law) (K562)	0.1	STARE (gABC, power law) (K562) (0.1)
K562	0.36728315618367	blood	369	283	2846	0.129655657062544	0.0994378074490513	0.766937669376694	scE2G_ATAC	9.63942649381345	8.74633882724198	10.6237072408196	0.0496062285903406	2.80307765728245e-217	scE2G (scATAC)	#006479	scE2G (scATAC) (K562)	0.099	scE2G (scATAC) (K562) (0.099)
K562	0.153166786403401	blood	363	284	2846	0.127547434996486	0.0997891777933942	0.78236914600551	scE2G_multiome	8.2246295559842	7.46145933573206	9.06585807004631	0.0496857294945633	1.12176192577425e-194	scE2G (Multiome)	#792374	scE2G (Multiome) (K562)	0.1	scE2G (Multiome) (K562) (0.1)
K562	-1	blood	392	273	2846	0.137737174982431	0.0959241040056219	0.696428571428571	SCENT	6.84520681593783	6.23439455977592	7.51586315298048	0.0476882239929616	4.32119352683461e-183	SCENT (FDR)	#a5a083	SCENT (FDR) (K562)	0.096	SCENT (FDR) (K562) (0.096)
BMMC5_Erythroid	0.0275089666276248	blood	603	285	2846	0.211876317638791	0.100140548137737	0.472636815920398	Kendall	5.39722255457082	5.01894924011582	5.80400596019891	0.0370740906475164	5.53816997069458e-235	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC5_Erythroid)	0.1	Kendall correlation (access. at E x expr. at G) (BMMC5_Erythroid) (0.1)
K562	0.00399396695316858	blood	565	291	2846	0.19852424455376	0.102248770203795	0.515044247787611	ScenicPlus	4.70948400876421	4.36853107907626	5.0770474622549	0.0383433242911565	1.33632828340556e-194	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (K562)	0.102	SCENIC+ (importance) (K562) (0.102)
K562	-0.428545826723697	blood	570	281	2846	0.200281096275474	0.0987350667603654	0.492982456140351	FigR	4.63723771708332	4.30335527972751	4.99702493680739	0.0381251155244371	1.58216434786044e-193	FigR (p-value)	#bc9678	FigR (p-value) (K562)	0.099	FigR (p-value) (K562) (0.099)
K562	-0.407998581120492	blood	569	285	2846	0.199929725931131	0.100140548137737	0.500878734622144	SnapATAC	4.62621762538038	4.29276338569019	4.98557399849306	0.0381685254636631	1.13141485461927e-192	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (K562)	0.1	SnapATAC (p-value) (K562) (0.1)
K562	0	blood	565	271	2846	0.19852424455376	0.0952213633169361	0.479646017699115	DIRECTNET	4.55079700136071	4.22133322644415	4.90597454326971	0.038343242406918	1.2453421881108e-189	DIRECTNET (high-confidence)	#e0dcca	DIRECTNET (high-confidence) (K562)	0.095	DIRECTNET (high-confidence) (K562) (0.095)
K562	0.0153755802613585	blood	613	285	2846	0.215390021082221	0.100140548137737	0.464926590538336	Kendall	4.24975205265868	3.95625967234023	4.56501696168832	0.036511685681636	1.41105290696254e-190	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (K562)	0.1	Kendall correlation (access. at E x expr. at G) (K562) (0.1)
