group1	group2	p	p_adjust	significant
scE2G (Multiome) (BMMC5_Dendritic)	scE2G (Multiome) (PBMC5_DC)	0.493737028504037	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	scE2G (scATAC) (BMMC5_Dendritic)	0.498850551058407	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	scE2G (scATAC) (PBMC5_DC)	0.375666093259259	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	Kendall correlation (access. at E x expr. at G) (BMMC5_Dendritic)	0.402688616798831	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	Kendall correlation (access. at E x expr. at G) (PBMC5_DC)	0.255812892617871	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	ABC (A=scATAC, C=power law) (BMMC5_Dendritic)	0.56305538340117	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	ABC (A=scATAC, C=power law) (PBMC5_DC)	0.314532428301148	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Dendritic)	0.458069032175111	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_DC)	0.663365315552161	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SCENT (FDR) (BMMC5_Dendritic)	0.982366500608886	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SCENT (FDR) (PBMC5_DC)	0.542968177338756	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SnapATAC (p-value) (PBMC5_DC)	0.462804127726836	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	Cicero (co-accessibility) (BMMC5_Dendritic)	0.549529715426055	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	FigR (p-value) (BMMC5_Dendritic)	0.977505344358398	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	FigR (p-value) (PBMC5_DC)	0.462804127726836	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SCENIC+ (importance) (BMMC5_Dendritic)	0.832517562293804	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	SCENIC+ (importance) (PBMC5_DC)	0.498658656556603	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	DIRECTNET (high-confidence) (PBMC5_DC)	0.472388482619236	1	FALSE
scE2G (Multiome) (BMMC5_Dendritic)	ArchR (high-confidence) (PBMC5_DC)	0.463065489221651	1	FALSE
scE2G (Multiome) (PBMC5_DC)	scE2G (scATAC) (BMMC5_Dendritic)	0.890496086593025	1	FALSE
scE2G (Multiome) (PBMC5_DC)	scE2G (scATAC) (PBMC5_DC)	0.862123275876373	1	FALSE
scE2G (Multiome) (PBMC5_DC)	Kendall correlation (access. at E x expr. at G) (BMMC5_Dendritic)	0.94015848819529	1	FALSE
