group1	group2	p	p_adjust	significant
scE2G (Multiome) (all_matches)	scE2G (scATAC) (all_matches)	0.0604138089268989	1	FALSE
scE2G (Multiome) (all_matches)	Kendall correlation (access. at E x expr. at G) (all_matches)	3.5181482118473e-167	1.58316669533129e-165	TRUE
scE2G (Multiome) (all_matches)	ABC (A=scATAC, C=power law) (all_matches)	0.0530142011695748	1	FALSE
scE2G (Multiome) (all_matches)	In element (ABC (A=scATAC)) & distance to TSS (all_matches)	0.0971750830109993	1	FALSE
scE2G (Multiome) (all_matches)	STARE (gABC, power law) (all_matches)	3.42764889530795e-07	1.54244200288858e-05	TRUE
scE2G (Multiome) (all_matches)	SCENT (FDR) (all_matches)	1.33977939853964e-50	6.0290072934284e-49	TRUE
scE2G (Multiome) (all_matches)	SnapATAC (p-value) (all_matches)	1.27010577719564e-119	5.71547599738037e-118	TRUE
scE2G (Multiome) (all_matches)	FigR (p-value) (all_matches)	2.80635377867282e-115	1.26285920040277e-113	TRUE
scE2G (Multiome) (all_matches)	SCENIC+ (importance) (all_matches)	1.05763483205828e-83	4.75935674426228e-82	TRUE
scE2G (scATAC) (all_matches)	Kendall correlation (access. at E x expr. at G) (all_matches)	3.98850293458525e-139	1.79482632056336e-137	TRUE
scE2G (scATAC) (all_matches)	ABC (A=scATAC, C=power law) (all_matches)	0.9646909546355	1	FALSE
scE2G (scATAC) (all_matches)	In element (ABC (A=scATAC)) & distance to TSS (all_matches)	0.835853921912856	1	FALSE
scE2G (scATAC) (all_matches)	STARE (gABC, power law) (all_matches)	0.00144103532815479	0.0648465897669656	FALSE
scE2G (scATAC) (all_matches)	SCENT (FDR) (all_matches)	3.5734887983781e-37	1.60806995927015e-35	TRUE
scE2G (scATAC) (all_matches)	SnapATAC (p-value) (all_matches)	8.89144172572869e-98	4.00114877657791e-96	TRUE
scE2G (scATAC) (all_matches)	FigR (p-value) (all_matches)	6.36687273479059e-94	2.86509273065576e-92	TRUE
scE2G (scATAC) (all_matches)	SCENIC+ (importance) (all_matches)	6.30831136586596e-66	2.83874011463968e-64	TRUE
Kendall correlation (access. at E x expr. at G) (all_matches)	ABC (A=scATAC, C=power law) (all_matches)	1.84433299480226e-141	8.29949847661018e-140	TRUE
Kendall correlation (access. at E x expr. at G) (all_matches)	In element (ABC (A=scATAC)) & distance to TSS (all_matches)	2.39318059436024e-139	1.07693126746211e-137	TRUE
