group1	group2	p	p_adjust	significant
scE2G (Multiome) (BMMC5_B)	scE2G (Multiome) (PBMC5_B)	0.587455761786247	1	FALSE
scE2G (Multiome) (BMMC5_B)	scE2G (scATAC) (BMMC5_B)	0.703414508475321	1	FALSE
scE2G (Multiome) (BMMC5_B)	scE2G (scATAC) (PBMC5_B)	0.866900456553585	1	FALSE
scE2G (Multiome) (BMMC5_B)	Kendall correlation (access. at E x expr. at G) (BMMC5_B)	1.97657108034724e-08	1.79867968311599e-06	TRUE
scE2G (Multiome) (BMMC5_B)	Kendall correlation (access. at E x expr. at G) (PBMC5_B)	7.33605809634839e-08	6.67581286767703e-06	TRUE
scE2G (Multiome) (BMMC5_B)	ABC (A=scATAC, C=power law) (BMMC5_B)	0.562196365411667	1	FALSE
scE2G (Multiome) (BMMC5_B)	ABC (A=scATAC, C=power law) (PBMC5_B)	0.771950090974512	1	FALSE
scE2G (Multiome) (BMMC5_B)	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	0.335265333694244	1	FALSE
scE2G (Multiome) (BMMC5_B)	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	0.985736017408394	1	FALSE
scE2G (Multiome) (BMMC5_B)	STARE (gABC, power law) (BMMC5_B)	0.599594474905862	1	FALSE
scE2G (Multiome) (BMMC5_B)	STARE (gABC, power law) (PBMC5_B)	0.974052227893029	1	FALSE
scE2G (Multiome) (BMMC5_B)	SCENT (FDR) (BMMC5_B)	0.272021985893103	1	FALSE
scE2G (Multiome) (BMMC5_B)	SCENT (FDR) (PBMC5_B)	0.172313146286045	1	FALSE
scE2G (Multiome) (PBMC5_B)	scE2G (scATAC) (BMMC5_B)	0.355881518330531	1	FALSE
scE2G (Multiome) (PBMC5_B)	scE2G (scATAC) (PBMC5_B)	0.703973401296727	1	FALSE
scE2G (Multiome) (PBMC5_B)	Kendall correlation (access. at E x expr. at G) (BMMC5_B)	2.82695183540412e-10	2.57252617021775e-08	TRUE
scE2G (Multiome) (PBMC5_B)	Kendall correlation (access. at E x expr. at G) (PBMC5_B)	1.21542690718999e-09	1.1060384855429e-07	TRUE
