group1	group2	p	p_adjust	significant
scE2G (Multiome) (GM12878)	scE2G (scATAC) (GM12878)	0.516876022793293	1	FALSE
scE2G (Multiome) (GM12878)	Kendall correlation (access. at E x expr. at G) (GM12878)	2.76750098166807e-52	1.52212553991744e-50	TRUE
scE2G (Multiome) (GM12878)	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	0.202509901556415	1	FALSE
scE2G (Multiome) (GM12878)	STARE (gABC, power law) (GM12878)	0.00056620592811142	0.0311413260461281	TRUE
scE2G (Multiome) (GM12878)	SCENT (FDR) (GM12878)	1.90070026139639e-16	1.04538514376802e-14	TRUE
scE2G (Multiome) (GM12878)	SnapATAC (p-value) (GM12878)	1.44916430549716e-40	7.97040368023441e-39	TRUE
scE2G (Multiome) (GM12878)	Cicero (co-accessibility) (GM12878)	7.17570177682064e-50	3.94663597725135e-48	TRUE
scE2G (Multiome) (GM12878)	FigR (p-value) (GM12878)	1.05245120597209e-46	5.78848163284651e-45	TRUE
scE2G (Multiome) (GM12878)	SCENIC+ (importance) (GM12878)	3.21118418065459e-44	1.76615129936002e-42	TRUE
scE2G (Multiome) (GM12878)	DIRECTNET (high-confidence) (GM12878)	7.66934680919425e-54	4.21814074505684e-52	TRUE
scE2G (scATAC) (GM12878)	Kendall correlation (access. at E x expr. at G) (GM12878)	5.04521728544376e-47	2.77486950699407e-45	TRUE
scE2G (scATAC) (GM12878)	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	0.526872928567198	1	FALSE
scE2G (scATAC) (GM12878)	STARE (gABC, power law) (GM12878)	0.00508303484143849	0.279566916279117	FALSE
scE2G (scATAC) (GM12878)	SCENT (FDR) (GM12878)	9.42974720511009e-14	5.18636096281055e-12	TRUE
scE2G (scATAC) (GM12878)	SnapATAC (p-value) (GM12878)	4.17345785521668e-36	2.29540182036917e-34	TRUE
scE2G (scATAC) (GM12878)	Cicero (co-accessibility) (GM12878)	5.56559612699413e-45	3.06107786984677e-43	TRUE
scE2G (scATAC) (GM12878)	FigR (p-value) (GM12878)	8.17337840643664e-42	4.49535812354015e-40	TRUE
scE2G (scATAC) (GM12878)	SCENIC+ (importance) (GM12878)	1.84247869992448e-39	1.01336328495846e-37	TRUE
scE2G (scATAC) (GM12878)	DIRECTNET (high-confidence) (GM12878)	1.77767678028705e-48	9.77722229157876e-47	TRUE
Kendall correlation (access. at E x expr. at G) (GM12878)	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	7.47974367946881e-41	4.11385902370784e-39	TRUE
Kendall correlation (access. at E x expr. at G) (GM12878)	STARE (gABC, power law) (GM12878)	3.47333188003018e-27	1.9103325340166e-25	TRUE
Kendall correlation (access. at E x expr. at G) (GM12878)	SCENT (FDR) (GM12878)	2.13185703890416e-20	1.17252137139729e-18	TRUE
Kendall correlation (access. at E x expr. at G) (GM12878)	SnapATAC (p-value) (GM12878)	0.0375101160939096	1	FALSE
Kendall correlation (access. at E x expr. at G) (GM12878)	Cicero (co-accessibility) (GM12878)	0.592475060931982	1	FALSE
Kendall correlation (access. at E x expr. at G) (GM12878)	FigR (p-value) (GM12878)	0.320227013735237	1	FALSE
Kendall correlation (access. at E x expr. at G) (GM12878)	SCENIC+ (importance) (GM12878)	0.0994778451361224	1	FALSE
Kendall correlation (access. at E x expr. at G) (GM12878)	DIRECTNET (high-confidence) (GM12878)	0.794788538829492	1	FALSE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	STARE (gABC, power law) (GM12878)	0.03207827204953	1	FALSE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	SCENT (FDR) (GM12878)	4.6040220140611e-11	2.5322121077336e-09	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	SnapATAC (p-value) (GM12878)	4.42938167452696e-31	2.43615992098983e-29	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	Cicero (co-accessibility) (GM12878)	2.58735276311352e-39	1.42304401971244e-37	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	FigR (p-value) (GM12878)	3.50937014554754e-36	1.93015358005115e-34	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	SCENIC+ (importance) (GM12878)	5.05659394136347e-34	2.78112666774991e-32	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	DIRECTNET (high-confidence) (GM12878)	3.75228484175761e-42	2.06375666296668e-40	TRUE
STARE (gABC, power law) (GM12878)	SCENT (FDR) (GM12878)	5.30069015303124e-05	0.00291537958416718	TRUE
STARE (gABC, power law) (GM12878)	SnapATAC (p-value) (GM12878)	1.20468128406264e-19	6.62574706234453e-18	TRUE
STARE (gABC, power law) (GM12878)	Cicero (co-accessibility) (GM12878)	1.76782176028627e-26	9.72301968157448e-25	TRUE
STARE (gABC, power law) (GM12878)	FigR (p-value) (GM12878)	1.51738607697952e-23	8.34562342338737e-22	TRUE
STARE (gABC, power law) (GM12878)	SCENIC+ (importance) (GM12878)	8.56849833240902e-22	4.71267408282496e-20	TRUE
STARE (gABC, power law) (GM12878)	DIRECTNET (high-confidence) (GM12878)	3.36515407782118e-28	1.85083474280165e-26	TRUE
SCENT (FDR) (GM12878)	SnapATAC (p-value) (GM12878)	1.01743632896613e-11	5.59589980931369e-10	TRUE
SCENT (FDR) (GM12878)	Cicero (co-accessibility) (GM12878)	4.32678841116174e-19	2.37973362613896e-17	TRUE
SCENT (FDR) (GM12878)	FigR (p-value) (GM12878)	5.24319816349659e-16	2.88375898992313e-14	TRUE
SCENT (FDR) (GM12878)	SCENIC+ (importance) (GM12878)	4.63621598145111e-14	2.54991878979811e-12	TRUE
SCENT (FDR) (GM12878)	DIRECTNET (high-confidence) (GM12878)	1.07904210143492e-21	5.93473155789207e-20	TRUE
SnapATAC (p-value) (GM12878)	Cicero (co-accessibility) (GM12878)	0.0167787120660583	0.922829163633209	FALSE
SnapATAC (p-value) (GM12878)	FigR (p-value) (GM12878)	0.273791301889711	1	FALSE
SnapATAC (p-value) (GM12878)	SCENIC+ (importance) (GM12878)	0.622540840869901	1	FALSE
