group1	group2	p	p_adjust	significant
scE2G (Multiome) (PBMC5_NK)	scE2G (scATAC) (PBMC5_NK)	0.564770226529153	1	FALSE
scE2G (Multiome) (PBMC5_NK)	Kendall correlation (access. at E x expr. at G) (PBMC5_NK)	4.39054841173139e-12	1.97574678527913e-10	TRUE
scE2G (Multiome) (PBMC5_NK)	ABC (A=scATAC, C=power law) (PBMC5_NK)	0.29349023695393	1	FALSE
scE2G (Multiome) (PBMC5_NK)	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_NK)	0.470990786117284	1	FALSE
scE2G (Multiome) (PBMC5_NK)	STARE (gABC, power law) (PBMC5_NK)	0.16879815768148	1	FALSE
scE2G (Multiome) (PBMC5_NK)	SnapATAC (p-value) (PBMC5_NK)	3.90145694789433e-07	1.75565562655245e-05	TRUE
scE2G (Multiome) (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	3.90145694789433e-07	1.75565562655245e-05	TRUE
scE2G (Multiome) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	8.0759371269105e-05	0.00363417170710973	TRUE
scE2G (Multiome) (PBMC5_NK)	ArchR (high-confidence) (PBMC5_NK)	3.91235023543031e-07	1.76055760594364e-05	TRUE
scE2G (scATAC) (PBMC5_NK)	Kendall correlation (access. at E x expr. at G) (PBMC5_NK)	6.94124908190931e-10	3.12356208685919e-08	TRUE
scE2G (scATAC) (PBMC5_NK)	ABC (A=scATAC, C=power law) (PBMC5_NK)	0.634981924330351	1	FALSE
scE2G (scATAC) (PBMC5_NK)	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_NK)	0.877736944389791	1	FALSE
scE2G (scATAC) (PBMC5_NK)	STARE (gABC, power law) (PBMC5_NK)	0.436994330818961	1	FALSE
scE2G (scATAC) (PBMC5_NK)	SnapATAC (p-value) (PBMC5_NK)	7.12855234317342e-06	0.000320784855442804	TRUE
scE2G (scATAC) (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	7.12855234317342e-06	0.000320784855442804	TRUE
scE2G (scATAC) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	0.000784444777683026	0.0353000149957362	TRUE
scE2G (scATAC) (PBMC5_NK)	ArchR (high-confidence) (PBMC5_NK)	7.14632121267695e-06	0.000321584454570463	TRUE
Kendall correlation (access. at E x expr. at G) (PBMC5_NK)	ABC (A=scATAC, C=power law) (PBMC5_NK)	2.96366442817724e-08	1.33364899267976e-06	TRUE
Kendall correlation (access. at E x expr. at G) (PBMC5_NK)	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_NK)	6.31251830382927e-09	2.84063323672317e-07	TRUE
Kendall correlation (access. at E x expr. at G) (PBMC5_NK)	STARE (gABC, power law) (PBMC5_NK)	2.69192367170509e-08	1.21136565226729e-06	TRUE
Kendall correlation (access. at E x expr. at G) (PBMC5_NK)	SnapATAC (p-value) (PBMC5_NK)	0.720759292606156	1	FALSE
Kendall correlation (access. at E x expr. at G) (PBMC5_NK)	FigR (p-value) (PBMC5_NK)	0.720759292606156	1	FALSE
Kendall correlation (access. at E x expr. at G) (PBMC5_NK)	SCENIC+ (importance) (PBMC5_NK)	0.0627920718492214	1	FALSE
