group1	group2	p	p_adjust	significant
scE2G (Multiome) (K562)	scE2G (Multiome) (BMMC5_Erythroid)	0.60650683244786	1	FALSE
scE2G (Multiome) (K562)	scE2G (scATAC) (K562)	0.576969468963274	1	FALSE
scE2G (Multiome) (K562)	scE2G (scATAC) (BMMC5_Erythroid)	0.843931518509732	1	FALSE
scE2G (Multiome) (K562)	Kendall correlation (access. at E x expr. at G) (K562)	8.95589932844812e-66	1.21800230866895e-63	TRUE
scE2G (Multiome) (K562)	Kendall correlation (access. at E x expr. at G) (BMMC5_Erythroid)	1.95485861909738e-38	2.65860772197243e-36	TRUE
scE2G (Multiome) (K562)	ABC (A=scATAC, C=power law) (K562)	0.907462697929166	1	FALSE
scE2G (Multiome) (K562)	ABC (A=scATAC, C=power law) (BMMC5_Erythroid)	0.811836901005404	1	FALSE
scE2G (Multiome) (K562)	In element (ABC (A=scATAC)) & distance to TSS (K562)	0.897012903265854	1	FALSE
scE2G (Multiome) (K562)	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Erythroid)	0.466072683459813	1	FALSE
scE2G (Multiome) (K562)	STARE (gABC, power law) (K562)	0.012379484325407	1	FALSE
scE2G (Multiome) (K562)	STARE (gABC, power law) (BMMC5_Erythroid)	0.0394366301597699	1	FALSE
scE2G (Multiome) (K562)	SCENT (FDR) (K562)	1.3630453566238e-28	1.85374168500837e-26	TRUE
scE2G (Multiome) (K562)	SnapATAC (p-value) (K562)	1.51628557772519e-55	2.06214838570626e-53	TRUE
scE2G (Multiome) (K562)	Cicero (co-accessibility) (K562)	8.70142942224378e-63	1.18339440142515e-60	TRUE
scE2G (Multiome) (K562)	FigR (p-value) (K562)	2.14235669735531e-57	2.91360510840323e-55	TRUE
scE2G (Multiome) (K562)	SCENIC+ (importance) (K562)	4.76771954862339e-50	6.48409858612781e-48	TRUE
scE2G (Multiome) (BMMC5_Erythroid)	scE2G (scATAC) (K562)	0.291722156043891	1	FALSE
scE2G (Multiome) (BMMC5_Erythroid)	scE2G (scATAC) (BMMC5_Erythroid)	0.485051816225381	1	FALSE
scE2G (Multiome) (BMMC5_Erythroid)	Kendall correlation (access. at E x expr. at G) (K562)	2.5496677928422e-67	3.46754819826539e-65	TRUE
scE2G (Multiome) (BMMC5_Erythroid)	Kendall correlation (access. at E x expr. at G) (BMMC5_Erythroid)	3.14771247544894e-40	4.28088896661056e-38	TRUE
