group1	group2	p	p_adjust	significant
scE2G (Multiome) (BMMC5_T)	scE2G (Multiome) (PBMC5_T)	0.599215316775525	1	FALSE
scE2G (Multiome) (BMMC5_T)	scE2G (scATAC) (BMMC5_T)	0.264818494473065	1	FALSE
scE2G (Multiome) (BMMC5_T)	scE2G (scATAC) (PBMC5_T)	0.219500123512561	1	FALSE
scE2G (Multiome) (BMMC5_T)	Kendall correlation (access. at E x expr. at G) (BMMC5_T)	4.42452402980242e-16	2.9201858596696e-14	TRUE
scE2G (Multiome) (BMMC5_T)	Kendall correlation (access. at E x expr. at G) (PBMC5_T)	6.92285725826341e-15	4.56908579045385e-13	TRUE
scE2G (Multiome) (BMMC5_T)	ABC (A=scATAC, C=power law) (BMMC5_T)	0.227561664929039	1	FALSE
scE2G (Multiome) (BMMC5_T)	ABC (A=scATAC, C=power law) (PBMC5_T)	0.133146904873472	1	FALSE
scE2G (Multiome) (BMMC5_T)	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_T)	0.233493528145299	1	FALSE
scE2G (Multiome) (BMMC5_T)	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_T)	0.142693081555458	1	FALSE
scE2G (Multiome) (BMMC5_T)	STARE (gABC, power law) (BMMC5_T)	0.00613631059307167	0.40499649914273	FALSE
scE2G (Multiome) (BMMC5_T)	STARE (gABC, power law) (PBMC5_T)	0.00468998423956951	0.309538959811588	FALSE
scE2G (Multiome) (PBMC5_T)	scE2G (scATAC) (BMMC5_T)	0.570764193665332	1	FALSE
scE2G (Multiome) (PBMC5_T)	scE2G (scATAC) (PBMC5_T)	0.504724553430064	1	FALSE
scE2G (Multiome) (PBMC5_T)	Kendall correlation (access. at E x expr. at G) (BMMC5_T)	9.31152476594652e-13	6.1456063455247e-11	TRUE
scE2G (Multiome) (PBMC5_T)	Kendall correlation (access. at E x expr. at G) (PBMC5_T)	8.03250197302128e-12	5.30145130219405e-10	TRUE
scE2G (Multiome) (PBMC5_T)	ABC (A=scATAC, C=power law) (BMMC5_T)	0.517920745522924	1	FALSE
scE2G (Multiome) (PBMC5_T)	ABC (A=scATAC, C=power law) (PBMC5_T)	0.348783506711151	1	FALSE
scE2G (Multiome) (PBMC5_T)	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_T)	0.527528655090969	1	FALSE
scE2G (Multiome) (PBMC5_T)	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_T)	0.369460797281598	1	FALSE
scE2G (Multiome) (PBMC5_T)	STARE (gABC, power law) (BMMC5_T)	0.0330460569716611	1	FALSE
scE2G (Multiome) (PBMC5_T)	STARE (gABC, power law) (PBMC5_T)	0.0270490748651314	1	FALSE
scE2G (scATAC) (BMMC5_T)	scE2G (scATAC) (PBMC5_T)	0.926577054080015	1	FALSE
scE2G (scATAC) (BMMC5_T)	Kendall correlation (access. at E x expr. at G) (BMMC5_T)	6.33297009835722e-11	4.17976026491576e-09	TRUE
scE2G (scATAC) (BMMC5_T)	Kendall correlation (access. at E x expr. at G) (PBMC5_T)	4.40829258965398e-10	2.90947310917162e-08	TRUE
scE2G (scATAC) (BMMC5_T)	ABC (A=scATAC, C=power law) (BMMC5_T)	0.943035626967061	1	FALSE
scE2G (scATAC) (BMMC5_T)	ABC (A=scATAC, C=power law) (PBMC5_T)	0.712380347057754	1	FALSE
