Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC5_B	-963529.5	B	131	121	498	0.263052208835341	0.242971887550201	0.923664122137404	ABC_distanceToTSS	7.20024860186175	6.2001816836858	8.36162270293227	0.0762957682895324	1.53507860003832e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-963529.5	B	111	104	498	0.22289156626506	0.208835341365462	0.936936936936937	ABC_distanceToTSS	7.80101370636087	6.60528814647714	9.21319607824937	0.0848909094183868	5.89308835089452e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-943865.632653061	B	131	120	498	0.263052208835341	0.240963855421687	0.916030534351145	ABC_distanceToTSS	7.20214602422192	6.20181555755303	8.36382618490538	0.0762957690360425	1.48941527147029e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-943865.632653061	B	111	104	498	0.22289156626506	0.208835341365462	0.936936936936937	ABC_distanceToTSS	7.80366116336477	6.60752979009961	9.21632281459447	0.0848909106432301	5.70027946552954e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-924201.765306122	B	131	120	498	0.263052208835341	0.240963855421687	0.916030534351145	ABC_distanceToTSS	7.2045345248663	6.20387229982282	8.36659995749314	0.0762957699757594	1.43387408957656e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-924201.765306122	B	111	104	498	0.22289156626506	0.208835341365462	0.936936936936937	ABC_distanceToTSS	7.80625403208484	6.60972521295032	9.21938508034295	0.0848909118428182	5.5176154743868e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-904537.897959184	B	131	120	498	0.263052208835341	0.240963855421687	0.916030534351145	ABC_distanceToTSS	7.20618903048987	6.2052969976344	8.36852133958281	0.0762957706266978	1.39662892905915e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-904537.897959184	B	111	104	498	0.22289156626506	0.208835341365462	0.936936936936937	ABC_distanceToTSS	7.80859472948541	6.61170711835766	9.22214952323739	0.0848909129257395	5.35779313269061e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-884874.030612245	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.20759902366461	6.20651114532723	8.37015876867358	0.0762957711814367	1.36565833837007e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-884874.030612245	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.81006190584396	6.61294939971695	9.22388230820664	0.0848909136045271	5.26000444872716e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-865210.163265306	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.2088459989682	6.20758491803188	8.37160688464915	0.0762957716720389	1.33884550794752e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-865210.163265306	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.81198135319437	6.61457462605213	9.22614924054161	0.0848909144925575	5.13478504694268e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-845546.295918367	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.21193463069635	6.21024454442845	8.37519372149363	0.076295772887211	1.27469433576588e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-845546.295918367	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.81537091576672	6.61744462211092	9.23015242876762	0.0848909160607352	4.92095811819441e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-825882.428571429	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.21480062817089	6.21271246005313	8.37852201255904	0.0762957740147912	1.2179401082414e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-825882.428571429	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.81814124126459	6.61979030036479	9.23342427704908	0.0848909173424235	4.75288259477952e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-806218.56122449	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.217996852646	6.21546473473423	8.38223379720218	0.0762957752722939	1.15764352460985e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-806218.56122449	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.82130973342333	6.62247311259028	9.23716637366848	0.0848909188083232	4.56773731415995e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-786554.693877551	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.22131900760055	6.21832544836475	8.38609182529139	0.0762957765793419	1.09815604282525e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-786554.693877551	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.82496234144359	6.62556583332308	9.24148022755366	0.0848909204981986	4.3633121784094e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-766890.826530612	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.22417193720997	6.22078211119154	8.38940494065556	0.0762957777017808	1.04953424311306e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-766890.826530612	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.82768277625453	6.62786926830618	9.24469315329912	0.084890921756805	4.21707722842273e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-747226.959183673	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.22782862241213	6.22393088939156	8.39365145972356	0.0762957791404443	9.9037177131621e-66	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-747226.959183673	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.83247647389836	6.63192816754227	9.2503546727808	0.0848909239746044	3.97132216900083e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-727563.091836735	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.23167418563752	6.22724231077772	8.39811732341032	0.0762957806534188	9.31773651938354e-66	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-727563.091836735	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.83702029967128	6.63577549630032	9.25572108515469	0.0848909260768008	3.75172478717224e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-707899.224489796	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.23659506451635	6.23147968837179	8.40383195431156	0.0762957825894588	8.61854613884403e-66	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-707899.224489796	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.84142716115154	6.63950685520699	9.26092573809508	0.0848909281156308	3.55045163832981e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-688235.357142857	B	131	119	498	0.263052208835341	0.238955823293173	0.908396946564885	ABC_distanceToTSS	7.23972814657686	6.23417759091484	8.40747041160978	0.0762957838221192	8.20116868365371e-66	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-688235.357142857	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.84541181418236	6.64288072355523	9.26563174856624	0.0848909299591265	3.3778535954237e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-668571.489795918	B	130	119	498	0.261044176706827	0.238955823293173	0.915384615384615	ABC_distanceToTSS	7.18843499535329	6.18505515697244	8.35458963113173	0.0767042463498351	7.1359440013298e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-668571.489795918	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.85025576907549	6.64698217626318	9.27135262374788	0.0848909322001773	3.17939020024146e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-648907.62244898	B	130	119	498	0.261044176706827	0.238955823293173	0.915384615384615	ABC_distanceToTSS	7.19481350339504	6.19054330612701	8.36200294365142	0.0767042488792725	6.45162394151037e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
PBMC5_B	-648907.62244898	B	111	103	498	0.22289156626506	0.206827309236948	0.927927927927928	ABC_distanceToTSS	7.85596220315675	6.65181390360328	9.27809211619643	0.0848909348402533	2.96062249634623e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_B)	#646A77
BMMC5_B	-629243.755102041	B	130	119	498	0.261044176706827	0.238955823293173	0.915384615384615	ABC_distanceToTSS	7.20046310068081	6.19540429118412	8.36856909209979	0.0767042511196557	5.90090219357054e-65	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_B)	#96A0B3
