Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
GM12878	-963529.5	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.10847909190459	6.58577320249821	7.67267159775207	0.0389683501095657	6.34592094517048e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-943865.632653061	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.11258452719226	6.58957672930966	7.67710290578172	0.0389683520144835	4.87773809632813e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-924201.765306122	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.11669470733141	6.59338465201382	7.68153933532298	0.0389683539216029	3.74858790836585e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-904537.897959184	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.12128022165022	6.59763295339127	7.6864888291792	0.0389683560492769	2.79486145068928e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-884874.030612245	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.1268142121136	6.60275998112633	7.6924620854263	0.0389683586170429	1.96143588967893e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-865210.163265306	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.13053977554707	6.60621157126145	7.69648336905294	0.0389683603457005	1.54561579326682e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-845546.295918367	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.13457626417281	6.60995122151076	7.70084025788982	0.0389683622186271	1.19411607250278e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-825882.428571429	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.13925580617271	6.61428663575082	7.705891243128	0.0389683643899299	8.85541885321453e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-806218.56122449	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.14595490958043	6.62049309527389	7.71312209451735	0.0389683674983071	5.77386093089312e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-786554.693877551	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.15200198115744	6.62609547252598	7.71964915847797	0.0389683703041422	3.92583703589747e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-766890.826530612	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.14379751375803	6.61786095126471	7.71153145909215	0.039017197074248	2.42546790683107e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-747226.959183673	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.15158809584764	6.62507793255899	7.71994123138027	0.0390172006961304	1.47691955650308e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
