Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC5_T	-963529.5	T	85	78	298	0.285234899328859	0.261744966442953	0.917647058823529	ABC_distanceToTSS	7.83915874988967	6.50795754308387	9.44265685495727	0.094953714574065	1.65969311704554e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-963529.5	T	77	69	298	0.258389261744966	0.231543624161074	0.896103896103896	ABC_distanceToTSS	8.45175605128139	6.93292841920511	10.303320044744	0.101069174129131	2.51842297954773e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-943865.632653061	T	85	78	298	0.285234899328859	0.261744966442953	0.917647058823529	ABC_distanceToTSS	7.84133079474136	6.50976073347258	9.44527320588015	0.094953715373544	1.62623872361747e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-943865.632653061	T	77	69	298	0.258389261744966	0.231543624161074	0.896103896103896	ABC_distanceToTSS	8.45403294851085	6.93479613283856	10.3060957705836	0.101069175047566	2.47305882342745e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-924201.765306122	T	85	78	298	0.285234899328859	0.261744966442953	0.917647058823529	ABC_distanceToTSS	7.84316439403689	6.51128295278325	9.44748187998701	0.0949537160484492	1.59852890090816e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-924201.765306122	T	77	69	298	0.258389261744966	0.231543624161074	0.896103896103896	ABC_distanceToTSS	8.45671491917525	6.93699612372528	10.3093653144203	0.101069176129398	2.42068481862801e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-904537.897959184	T	85	78	298	0.285234899328859	0.261744966442953	0.917647058823529	ABC_distanceToTSS	7.8445005185962	6.51239217801362	9.44909131762785	0.0949537165402455	1.57863845947344e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-904537.897959184	T	77	69	298	0.258389261744966	0.231543624161074	0.896103896103896	ABC_distanceToTSS	8.45784012304491	6.93791911601761	10.310737030911	0.101069176583273	2.39904765744922e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_T)	#646A77
BMMC5_T	-884874.030612245	T	85	78	298	0.285234899328859	0.261744966442953	0.917647058823529	ABC_distanceToTSS	7.84678883965184	6.51429189868396	9.45184772983901	0.0949537173825232	1.54515304718282e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_T)	#96A0B3
PBMC5_T	-884874.030612245	T	77	69	298	0.258389261744966	0.231543624161074	0.896103896103896	ABC_distanceToTSS	8.46009142930388	6.93976583764307	10.3134815592696	0.101069177491386	2.35634253112847e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_T)	#646A77
