Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
K562	-963529.5	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.25732143139688	3.96361260314627	4.5727944642834	0.0364722557113221	2.6299877670559e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-963529.5	blood	605	523	2846	0.212579058327477	0.183766690091356	0.864462809917355	ABC_distanceToTSS	5.35928724708035	4.98407092610825	5.76275101669656	0.0370333222335488	6.1834425552929e-234	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Erythroid)	#646A77
K562	-943865.632653061	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.25889435681905	3.9650770080126	4.57448395223893	0.0364722564610636	2.20556536862617e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-943865.632653061	blood	605	523	2846	0.212579058327477	0.183766690091356	0.864462809917355	ABC_distanceToTSS	5.36059172183427	4.98528406528959	5.76415370355207	0.037033322870445	5.49037435440004e-234	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Erythroid)	#646A77
K562	-924201.765306122	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.25999263630572	3.96609951410105	4.57566362035479	0.0364722569845632	1.95057801806952e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-924201.765306122	blood	605	523	2846	0.212579058327477	0.183766690091356	0.864462809917355	ABC_distanceToTSS	5.36155996837379	4.98618451798766	5.76519484803781	0.0370333233431813	5.02675128172675e-234	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Erythroid)	#646A77
K562	-904537.897959184	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.26144634902573	3.96745293107875	4.57722506129065	0.0364722576774815	1.65788688310373e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-904537.897959184	blood	605	523	2846	0.212579058327477	0.183766690091356	0.864462809917355	ABC_distanceToTSS	5.36289363388399	4.98742480406701	5.76662892338758	0.0370333239943295	4.45166041341666e-234	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Erythroid)	#646A77
K562	-884874.030612245	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.26320424283939	3.96908954283328	4.57911322484044	0.0364722585153889	1.36205968693227e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC5_Erythroid	-884874.030612245	blood	605	523	2846	0.212579058327477	0.183766690091356	0.864462809917355	ABC_distanceToTSS	5.36414366998258	4.98858731622321	5.76797307298584	0.0370333246046466	3.97260216827352e-234	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Erythroid)	#646A77
