Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC5_Dendritic	-963529.5	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4490560053565	7.63047909270817	17.1785915171504	0.207022501879376	1.87771761241977e-08	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-963529.5	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3357338401915	8.42988614586487	21.0965835100471	0.23401650478234	1.48401532447748e-07	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-943865.632653061	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4531257344301	7.63319143893051	17.1846979259102	0.20702250292326	1.86818263241179e-08	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-943865.632653061	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.339566712478	8.43230899147492	21.1026470041067	0.234016505929325	1.47870971046951e-07	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-924201.765306122	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4585789947037	7.63682586509608	17.1928802485813	0.207022504322018	1.85548704107064e-08	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-924201.765306122	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3423895404914	8.43409336515669	21.1071126371041	0.234016506774054	1.47481530064343e-07	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-904537.897959184	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4642397153527	7.64059855704466	17.2013738543943	0.207022505773989	1.84240573588079e-08	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-904537.897959184	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3456932332629	8.4361817043629	21.1123389843829	0.234016507762682	1.47027150372172e-07	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_DC)	#646A77
BMMC5_Dendritic	-884874.030612245	dendritic	14	12	35	0.4	0.342857142857143	0.857142857142857	ABC_distanceToTSS	11.4690624751785	7.64381277449097	17.2086101452566	0.207022507011025	1.83133844964387e-08	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC5_Dendritic)	#96A0B3
PBMC5_DC	-884874.030612245	dendritic	12	10	35	0.342857142857143	0.285714285714286	0.833333333333333	ABC_distanceToTSS	13.3512385868563	8.43968704825002	21.1211115748804	0.234016509422125	1.46267844463492e-07	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC5_DC)	#646A77
