Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
K562	-963529.5	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27110576510403	3.66803788229267	4.9733249879368	0.0776625867513194	1.38109602238704e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-943865.632653061	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27268378333615	3.66939308348474	4.97516245794156	0.0776625875010609	1.32798841881591e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-924201.765306122	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27378561882656	3.6703393391971	4.97644545304749	0.0776625880245605	1.29213045229813e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-904537.897959184	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27524403837023	3.67159182909503	4.97814366040935	0.0776625887174787	1.24616266246206e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-884874.030612245	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27700762388355	3.67310639535447	4.98019720798006	0.0776625895553862	1.19277015494089e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-865210.163265306	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27877266499443	3.67462221167531	4.98225245047892	0.0776625903939853	1.14163959312507e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-845546.295918367	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.28059139747748	3.67618413811137	4.98437021208949	0.077662591258094	1.09126108286389e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-825882.428571429	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.28254237835337	3.67785963938713	4.98664196588227	0.077662592185036	1.03970485247652e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-806218.56122449	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.28402422089486	3.67913224492187	4.98836744739073	0.0776625928890829	1.00219099720798e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-786554.693877551	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.28625763731725	3.68105030167289	4.99096807373459	0.0776625939502145	9.48209461043328e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-766890.826530612	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.28808273983845	3.68261769867229	4.99309325275057	0.0776625948173497	9.06277578970604e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-747226.959183673	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.29078394663319	3.68493749351001	4.99623858182415	0.077662596100736	8.47618689276096e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-727563.091836735	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.29324334014096	3.68704961922617	4.99910233959183	0.0776625972692329	7.97541637741045e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-707899.224489796	spleen	134	104	618	0.216828478964401	0.168284789644013	0.776119402985075	ABC_distanceToTSS	4.29546008272364	3.68895335646049	5.00168355069029	0.0776625983224426	7.54962491186034e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-688235.357142857	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.29809159959911	3.69121330160482	5.00474773173165	0.077662599572718	7.07377111627397e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-668571.489795918	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.30251981392524	3.69501624943764	5.00990401653487	0.077662601676633	6.34017925125777e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-648907.62244898	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.30606719854269	3.69806274121727	5.01403464892591	0.0776626033620518	5.80813886882682e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-629243.755102041	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.31064429324487	3.70199354736967	5.01936429254102	0.0776626055367022	5.18750345183988e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-609579.887755102	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.31525767053771	3.70595551295501	5.02473618424157	0.077662607728591	4.62946373189888e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-589916.020408163	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.32068791844134	3.71061900647551	5.0310592534524	0.077662610308588	4.04950840478277e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-570252.153061224	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.32468294099873	3.71404992933167	5.03571112290647	0.0776626122066867	3.67005627720853e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-550588.285714286	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.32944220232128	3.71813717992469	5.04125288449422	0.0776626144678873	3.26443580259037e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-530924.418367347	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.33516716121755	3.72305377093105	5.0479191201687	0.0776626171879063	2.83582116583964e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-511260.551020408	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.34240291929615	3.72926783522542	5.05634455519656	0.0776626206257299	2.37413464552351e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-491596.683673469	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.34922245617526	3.73512444894988	5.0642853355575	0.0776626238658002	2.00844745325369e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-471932.816326531	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.35690204555333	3.74171967509791	5.07322757524589	0.0776626275144951	1.66401611938494e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-452268.948979592	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.36657372560566	3.75002570723135	5.08448943813425	0.0776626321096639	1.31345907736112e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-432605.081632653	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.3765068364262	3.7585562557718	5.09605571550827	0.0776626368290426	1.03057276726988e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-412941.214285714	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.38706125268953	3.76762038081374	5.10834545137824	0.0776626418436134	7.96804042656088e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-393277.346938776	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.39956034233714	3.77835458971905	5.12289959723048	0.0776626477821295	5.87899943213743e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-373613.479591837	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.41329654332588	3.79015122863702	5.13889425629497	0.0776626543084168	4.2122666211931e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-353949.612244898	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.43142510479638	3.80572002292006	5.16000345300022	0.0776626629215843	2.71617077031149e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-334285.744897959	spleen	132	102	618	0.213592233009709	0.16504854368932	0.772727272727273	ABC_distanceToTSS	4.3820800256587	3.75766692498743	5.11025211510495	0.0784326847019466	5.04214983487684e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-314621.87755102	spleen	132	101	618	0.213592233009709	0.163430420711974	0.765151515151515	ABC_distanceToTSS	4.40308438023487	3.77567824366149	5.13474687415829	0.0784326948373789	3.04950621355628e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
