tissue	n_variants
HSPC	7
plasmablast	12
synovium	40
dendritic	50
monocyte_CD14_pos	64
neuron	67
HLC	70
kidney	71
cartilage	72
B_memory	80
T_CD4_pos_naive	138
vagina	206
neuron_progenitor	231
uterus	241
minor_salivary_gland	304
brain_spinal	310
pancreatic_islet	310
ovary	378
small_intestine	388
T	414
artery_coronary	425
liver	434
placenta	444
prostate	474
Tfh	514
monocyte_CD16_pos	604
adrenal_gland	641
B	676
pituitary	678
stomach	685
skin	721
colon_sigmoid	825
macrophage	829
breast	854
colon_transverse	906
heart_left_ventricle	914
spleen	916
esophagus_gej	929
NK	954
iPSC	973
heart_atrial_appendage	998
pancreas	1017
T_CD8_pos	1068
adipsoe_visceral	1093
artery_aorta	1127
lung	1221
neutrophil	1263
skin_not_sun_exposed	1416
Treg	1433
esophagus_mucosa	1486
esophagus_muscularis	1519
testis	1663
adipose_subcutaneous	1688
brain_cortex	1707
artery_tibial	1713
skin_sun_exposed	1775
adipose	2111
brain_cerebellum	2127
fibroblast	2154
thyroid	2208
nerve_tibial	2331
muscle	2682
LCL	3972
monocyte	4178
blood	4431
brain	7333
T_CD4_pos	7549
