GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	Biosample	distance_min	distance_max	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	tissue.biosample	pred_name_long	hex	count	cat	pairs
blood	228	205	K562	0	10	999	0.228228228228228	0.205205205205205	0.899122807017544	scE2G_multiome	blood.K562	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
spleen	48	41	K562	0	10	266	0.180451127819549	0.154135338345865	0.854166666666667	scE2G_multiome	spleen.K562	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
LCL	226	210	GM12878	0	10	864	0.261574074074074	0.243055555555556	0.929203539823009	scE2G_multiome	LCL.GM12878	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	44	44	BMMC22_B1_B	0	10	156	0.282051282051282	0.282051282051282	1	scE2G_multiome	B.BMMC22_B1_B	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD4_pos	242	232	BMMC22_CD4_pos_T_activated	0	10	1038	0.233140655105973	0.223506743737958	0.958677685950413	scE2G_multiome	T_CD4_pos.BMMC22_CD4_pos_T_activated	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
Tfh	35	34	BMMC22_CD4_pos_T_activated	0	10	134	0.261194029850746	0.253731343283582	0.971428571428571	scE2G_multiome	Tfh.BMMC22_CD4_pos_T_activated	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
Treg	63	60	BMMC22_CD4_pos_T_activated	0	10	287	0.219512195121951	0.209059233449477	0.952380952380952	scE2G_multiome	Treg.BMMC22_CD4_pos_T_activated	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	35	32	BMMC22_CD4_pos_T_activated	0	10	118	0.296610169491525	0.271186440677966	0.914285714285714	scE2G_multiome	T.BMMC22_CD4_pos_T_activated	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
Tfh	38	38	BMMC22_CD4_pos_T_naive	0	10	134	0.283582089552239	0.283582089552239	1	scE2G_multiome	Tfh.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
Treg	65	63	BMMC22_CD4_pos_T_naive	0	10	287	0.226480836236934	0.219512195121951	0.969230769230769	scE2G_multiome	Treg.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	35	33	BMMC22_CD4_pos_T_naive	0	10	118	0.296610169491525	0.279661016949153	0.942857142857143	scE2G_multiome	T.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD4_pos_naive	11	11	BMMC22_CD4_pos_T_naive	0	10	26	0.423076923076923	0.423076923076923	1	scE2G_multiome	T_CD4_pos_naive.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD8_pos	59	59	BMMC22_CD8_pos_T	0	10	250	0.236	0.236	1	scE2G_multiome	T_CD8_pos.BMMC22_CD8_pos_T	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	33	33	BMMC22_CD8_pos_T	0	10	118	0.279661016949153	0.279661016949153	1	scE2G_multiome	T.BMMC22_CD8_pos_T	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD8_pos	65	64	BMMC22_CD8_pos_T_naive	0	10	250	0.26	0.256	0.984615384615385	scE2G_multiome	T_CD8_pos.BMMC22_CD8_pos_T_naive	scE2G (Multiome)	#792374	21-1038 variants	0-10 Kb	60-60 biosample pairs
