tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
brain	1213	n_bin1	0	10	0-10 Kb	#003648
brain	1868	n_bin2	10	100	10-100 Kb	#006479
brain	381	n_bin3	100	250	100-250 Kb	#0096a0
brain	279	n_bin4	250	1000	250-1000 Kb	#49bcbc
brain	1	n_bin5	1000	30000	> 1000Kb	#96ced3
vagina	43	n_bin1	0	10	0-10 Kb	#003648
vagina	65	n_bin2	10	100	10-100 Kb	#006479
vagina	12	n_bin3	100	250	100-250 Kb	#0096a0
vagina	16	n_bin4	250	1000	250-1000 Kb	#49bcbc
vagina	0	n_bin5	1000	30000	> 1000Kb	#96ced3
artery_aorta	296	n_bin1	0	10	0-10 Kb	#003648
artery_aorta	344	n_bin2	10	100	10-100 Kb	#006479
artery_aorta	67	n_bin3	100	250	100-250 Kb	#0096a0
artery_aorta	42	n_bin4	250	1000	250-1000 Kb	#49bcbc
artery_aorta	0	n_bin5	1000	30000	> 1000Kb	#96ced3
esophagus_muscularis	407	n_bin1	0	10	0-10 Kb	#003648
esophagus_muscularis	476	n_bin2	10	100	10-100 Kb	#006479
esophagus_muscularis	87	n_bin3	100	250	100-250 Kb	#0096a0
esophagus_muscularis	42	n_bin4	250	1000	250-1000 Kb	#49bcbc
esophagus_muscularis	1	n_bin5	1000	30000	> 1000Kb	#96ced3
thyroid	544	n_bin1	0	10	0-10 Kb	#003648
thyroid	766	n_bin2	10	100	10-100 Kb	#006479
thyroid	157	n_bin3	100	250	100-250 Kb	#0096a0
thyroid	77	n_bin4	250	1000	250-1000 Kb	#49bcbc
thyroid	2	n_bin5	1000	30000	> 1000Kb	#96ced3
brain_cortex	386	n_bin1	0	10	0-10 Kb	#003648
brain_cortex	501	n_bin2	10	100	10-100 Kb	#006479
brain_cortex	84	n_bin3	100	250	100-250 Kb	#0096a0
brain_cortex	68	n_bin4	250	1000	250-1000 Kb	#49bcbc
brain_cortex	0	n_bin5	1000	30000	> 1000Kb	#96ced3
adipsoe_visceral	289	n_bin1	0	10	0-10 Kb	#003648
adipsoe_visceral	342	n_bin2	10	100	10-100 Kb	#006479
adipsoe_visceral	59	n_bin3	100	250	100-250 Kb	#0096a0
adipsoe_visceral	44	n_bin4	250	1000	250-1000 Kb	#49bcbc
adipsoe_visceral	0	n_bin5	1000	30000	> 1000Kb	#96ced3
esophagus_mucosa	399	n_bin1	0	10	0-10 Kb	#003648
esophagus_mucosa	492	n_bin2	10	100	10-100 Kb	#006479
esophagus_mucosa	70	n_bin3	100	250	100-250 Kb	#0096a0
esophagus_mucosa	56	n_bin4	250	1000	250-1000 Kb	#49bcbc
esophagus_mucosa	0	n_bin5	1000	30000	> 1000Kb	#96ced3
minor_salivary_gland	82	n_bin1	0	10	0-10 Kb	#003648
minor_salivary_gland	87	n_bin2	10	100	10-100 Kb	#006479
minor_salivary_gland	21	n_bin3	100	250	100-250 Kb	#0096a0
minor_salivary_gland	11	n_bin4	250	1000	250-1000 Kb	#49bcbc
minor_salivary_gland	0	n_bin5	1000	30000	> 1000Kb	#96ced3
artery_tibial	408	n_bin1	0	10	0-10 Kb	#003648
artery_tibial	539	n_bin2	10	100	10-100 Kb	#006479
artery_tibial	105	n_bin3	100	250	100-250 Kb	#0096a0
artery_tibial	61	n_bin4	250	1000	250-1000 Kb	#49bcbc
artery_tibial	1	n_bin5	1000	30000	> 1000Kb	#96ced3
adipose_subcutaneous	427	n_bin1	0	10	0-10 Kb	#003648
adipose_subcutaneous	517	n_bin2	10	100	10-100 Kb	#006479
adipose_subcutaneous	106	n_bin3	100	250	100-250 Kb	#0096a0
adipose_subcutaneous	49	n_bin4	250	1000	250-1000 Kb	#49bcbc
adipose_subcutaneous	1	n_bin5	1000	30000	> 1000Kb	#96ced3
LCL	853	n_bin1	0	10	0-10 Kb	#003648
LCL	1131	n_bin2	10	100	10-100 Kb	#006479
LCL	234	n_bin3	100	250	100-250 Kb	#0096a0
LCL	128	n_bin4	250	1000	250-1000 Kb	#49bcbc
LCL	0	n_bin5	1000	30000	> 1000Kb	#96ced3
T_CD4_pos	1032	n_bin1	0	10	0-10 Kb	#003648
T_CD4_pos	1882	n_bin2	10	100	10-100 Kb	#006479
T_CD4_pos	456	n_bin3	100	250	100-250 Kb	#0096a0
T_CD4_pos	349	n_bin4	250	1000	250-1000 Kb	#49bcbc
T_CD4_pos	1	n_bin5	1000	30000	> 1000Kb	#96ced3
brain_cerebellum	415	n_bin1	0	10	0-10 Kb	#003648
brain_cerebellum	585	n_bin2	10	100	10-100 Kb	#006479
brain_cerebellum	130	n_bin3	100	250	100-250 Kb	#0096a0
brain_cerebellum	80	n_bin4	250	1000	250-1000 Kb	#49bcbc
brain_cerebellum	2	n_bin5	1000	30000	> 1000Kb	#96ced3
skin_sun_exposed	468	n_bin1	0	10	0-10 Kb	#003648
skin_sun_exposed	583	n_bin2	10	100	10-100 Kb	#006479
skin_sun_exposed	105	n_bin3	100	250	100-250 Kb	#0096a0
skin_sun_exposed	58	n_bin4	250	1000	250-1000 Kb	#49bcbc
skin_sun_exposed	2	n_bin5	1000	30000	> 1000Kb	#96ced3
monocyte	982	n_bin1	0	10	0-10 Kb	#003648
monocyte	1354	n_bin2	10	100	10-100 Kb	#006479
monocyte	260	n_bin3	100	250	100-250 Kb	#0096a0
monocyte	137	n_bin4	250	1000	250-1000 Kb	#49bcbc
monocyte	1	n_bin5	1000	30000	> 1000Kb	#96ced3
testis	458	n_bin1	0	10	0-10 Kb	#003648
testis	521	n_bin2	10	100	10-100 Kb	#006479
testis	93	n_bin3	100	250	100-250 Kb	#0096a0
testis	78	n_bin4	250	1000	250-1000 Kb	#49bcbc
testis	2	n_bin5	1000	30000	> 1000Kb	#96ced3
uterus	65	n_bin1	0	10	0-10 Kb	#003648
uterus	73	n_bin2	10	100	10-100 Kb	#006479
uterus	9	n_bin3	100	250	100-250 Kb	#0096a0
uterus	11	n_bin4	250	1000	250-1000 Kb	#49bcbc
uterus	0	n_bin5	1000	30000	> 1000Kb	#96ced3
fibroblast	550	n_bin1	0	10	0-10 Kb	#003648
fibroblast	583	n_bin2	10	100	10-100 Kb	#006479
fibroblast	154	n_bin3	100	250	100-250 Kb	#0096a0
fibroblast	70	n_bin4	250	1000	250-1000 Kb	#49bcbc
fibroblast	0	n_bin5	1000	30000	> 1000Kb	#96ced3
Tfh	134	n_bin1	0	10	0-10 Kb	#003648
Tfh	199	n_bin2	10	100	10-100 Kb	#006479
Tfh	32	n_bin3	100	250	100-250 Kb	#0096a0
Tfh	20	n_bin4	250	1000	250-1000 Kb	#49bcbc
Tfh	0	n_bin5	1000	30000	> 1000Kb	#96ced3
iPSC	225	n_bin1	0	10	0-10 Kb	#003648
iPSC	314	n_bin2	10	100	10-100 Kb	#006479
iPSC	62	n_bin3	100	250	100-250 Kb	#0096a0
iPSC	50	n_bin4	250	1000	250-1000 Kb	#49bcbc
iPSC	0	n_bin5	1000	30000	> 1000Kb	#96ced3
heart_left_ventricle	232	n_bin1	0	10	0-10 Kb	#003648
heart_left_ventricle	310	n_bin2	10	100	10-100 Kb	#006479
heart_left_ventricle	52	n_bin3	100	250	100-250 Kb	#0096a0
heart_left_ventricle	33	n_bin4	250	1000	250-1000 Kb	#49bcbc
heart_left_ventricle	1	n_bin5	1000	30000	> 1000Kb	#96ced3
Treg	286	n_bin1	0	10	0-10 Kb	#003648
