Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC_17_B	0.983912258586998	B	18	15	498	0.036144578313253	0.0301204819277108	0.833333333333333	scE2G_multiome	43.6659772260594	27.7429487625225	68.7280066523602	0.231426464983013	4.12802041863137e-20	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_17_B)	0.03	scE2G (Multiome) (PBMC_17_B) (0.03)
BMMC22_Plasma_cell	0.987765442990371	B	15	14	498	0.0301204819277108	0.0281124497991968	0.933333333333333	scE2G_multiome	40.6724825130955	24.7068463937581	66.9551592062349	0.254326801527558	6.66030604958071e-16	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_Plasma_cell)	0.028	scE2G (Multiome) (BMMC22_Plasma_cell) (0.028)
PBMC_17_B	0.990847877743486	B	17	14	498	0.034136546184739	0.0281124497991968	0.823529411764706	scE2G_ATAC	34.6044283177088	21.6887128540472	55.2115041244594	0.238366461512014	4.34606683696263e-17	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_17_B)	0.028	scE2G (scATAC) (PBMC_17_B) (0.028)
BMMC22_Transitional_B	0.97903764568596	B	20	15	498	0.0401606425702811	0.0301204819277108	0.75	scE2G_multiome	30.1341156294169	19.6159470890862	46.292178534285	0.219042329612678	2.68484378266771e-19	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_Transitional_B)	0.03	scE2G (Multiome) (BMMC22_Transitional_B) (0.03)
BMMC22_Transitional_B	0.990847877743486	B	18	15	498	0.036144578313253	0.0301204819277108	0.833333333333333	scE2G_ATAC	30.0253635701775	19.0778724732015	47.254873874836	0.231388600086339	4.30082223404299e-17	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_Transitional_B)	0.03	scE2G (scATAC) (BMMC22_Transitional_B) (0.03)
BMMC22_B1_B	0.983912258586998	B	17	14	498	0.034136546184739	0.0281124497991968	0.823529411764706	scE2G_multiome	29.5647149130789	18.530554032223	47.1692517326626	0.238351648878047	6.76049568298297e-16	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_B1_B)	0.028	scE2G (Multiome) (BMMC22_B1_B) (0.028)
BMMC22_Lymph_prog	0.990847877743486	B	17	15	498	0.034136546184739	0.0301204819277108	0.882352941176471	scE2G_ATAC	26.5909135771561	16.6669221606154	42.4239507483053	0.238342908335253	4.33576746065224e-15	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_Lymph_prog)	0.03	scE2G (scATAC) (BMMC22_Lymph_prog) (0.03)
BMMC22_B1_B	0.988239247107177	B	19	16	498	0.0381526104417671	0.0321285140562249	0.842105263157895	scE2G_ATAC	26.3500717213129	16.9547394518965	40.9517516732273	0.224965148293552	4.44599865256457e-17	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_B1_B)	0.032	scE2G (scATAC) (BMMC22_B1_B) (0.032)
BMMC22_Lymph_prog	0.97903764568596	B	17	15	498	0.034136546184739	0.0301204819277108	0.882352941176471	scE2G_multiome	23.8574250907869	14.9538340315593	38.0622608731173	0.238334874115615	2.82545039224128e-14	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_Lymph_prog)	0.03	scE2G (Multiome) (BMMC22_Lymph_prog) (0.03)
BMMC22_B1_B	-276.857142857143	B	17	15	498	0.034136546184739	0.0301204819277108	0.882352941176471	ABC_distanceToTSS	23.5356073062889	14.7521459933126	37.5487614837151	0.238333928234637	3.61195397239748e-14	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B)	0.03	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B) (0.03)
