Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC22_CD4_pos_T_naive	0.987765442990371	Tfh	12	11	390	0.0307692307692308	0.0282051282051282	0.916666666666667	scE2G_multiome	29.1223359356675	16.6841637682122	50.8332609372818	0.284212082418553	1.88771667783159e-10	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD4_pos_T_naive)	0.028	scE2G (Multiome) (BMMC22_CD4_pos_T_naive) (0.028)
PBMC_20_CD4.N1	0.959119501097581	Tfh	14	12	390	0.0358974358974359	0.0307692307692308	0.857142857142857	scE2G_multiome	28.4699496876814	17.022452499192	47.6158200622139	0.262410906649984	1.87400254088193e-12	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_20_CD4.N1)	0.031	scE2G (Multiome) (PBMC_20_CD4.N1) (0.031)
PBMC_20_CD4.N1	0.97137387203797	Tfh	13	11	390	0.0333333333333333	0.0282051282051282	0.846153846153846	scE2G_ATAC	21.5240652248879	12.6133183269935	36.7298574248905	0.272667436940961	9.61846350758427e-10	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_20_CD4.N1)	0.028	scE2G (scATAC) (PBMC_20_CD4.N1) (0.028)
BMMC22_CD4_pos_T_activated	0.983912258586998	Tfh	11	11	390	0.0282051282051282	0.0282051282051282	1	scE2G_multiome	21.4439058324109	11.9757916200415	38.3975533258081	0.297226506229302	7.77588842053775e-08	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD4_pos_T_activated)	0.028	scE2G (Multiome) (BMMC22_CD4_pos_T_activated) (0.028)
PBMC_20_CD4.N1	-744.785714285717	Tfh	14	11	390	0.0358974358974359	0.0282051282051282	0.785714285714286	ABC_distanceToTSS	20.6535043705301	12.349456853089	34.5413768279866	0.262388967164237	1.96933974702339e-10	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	0.028	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1) (0.028)
BMMC22_CD4_pos_T_naive	-351	Tfh	12	12	390	0.0307692307692308	0.0307692307692308	1	ABC_distanceToTSS	18.4886368360725	10.5928486926205	32.269855066873	0.284177260851916	5.65106669250255e-08	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	0.031	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive) (0.031)
BMMC22_CD4_pos_T_activated	0.983053776636168	Tfh	13	11	390	0.0333333333333333	0.0282051282051282	0.846153846153846	scE2G_ATAC	18.0561555783499	10.5813058522085	30.811391223658	0.272656954326654	1.01304545816499e-08	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_CD4_pos_T_activated)	0.028	scE2G (scATAC) (BMMC22_CD4_pos_T_activated) (0.028)
BMMC22_CD4_pos_T_activated	-351	Tfh	11	11	390	0.0282051282051282	0.0282051282051282	1	ABC_distanceToTSS	17.5625037164372	9.80840908337387	31.4466427906954	0.297212640550406	7.78799891055444e-07	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	0.028	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated) (0.028)
BMMC22_CD4_pos_T_naive	0.983053776636168	Tfh	12	11	390	0.0307692307692308	0.0282051282051282	0.916666666666667	scE2G_ATAC	16.7403143636339	9.5912753604662	29.2180251802995	0.284171535720247	1.93378456461816e-07	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_CD4_pos_T_naive)	0.028	scE2G (scATAC) (BMMC22_CD4_pos_T_naive) (0.028)
PBMC_22_CD4.M	0.97137387203797	Tfh	12	11	390	0.0307692307692308	0.0282051282051282	0.916666666666667	scE2G_ATAC	15.8374035173431	9.07400990837475	27.6419524227825	0.284168579009708	3.83221455007584e-07	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_22_CD4.M)	0.028	scE2G (scATAC) (PBMC_22_CD4.M) (0.028)
PBMC_22_CD4.M	-548	Tfh	11	11	390	0.0282051282051282	0.0282051282051282	1	ABC_distanceToTSS	14.8653149984755	8.3022242463544	26.6166732488507	0.297203005281612	5.20070237178058e-06	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	0.028	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M) (0.028)
BMMC22_CD4_pos_T_naive	0.054180507348526	Tfh	70	11	390	0.17948717948718	0.0282051282051282	0.157142857142857	Kendall	8.98537087687312	7.21456387262834	11.1908205707723	0.11198984030694	3.23040051448414e-37	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC22_CD4_pos_T_naive)	0.028	Kendall correlation (access. at E x expr. at G) (BMMC22_CD4_pos_T_naive) (0.028)
PBMC_22_CD4.M	0.0378587038772354	Tfh	54	12	390	0.138461538461538	0.0307692307692308	0.222222222222222	Kendall	8.88203243983406	6.87913303635441	11.4680875984443	0.130378812745285	1.55063134983785e-27	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (PBMC_22_CD4.M)	0.031	Kendall correlation (access. at E x expr. at G) (PBMC_22_CD4.M) (0.031)
PBMC_20_CD4.N1	0.0441213434732575	Tfh	84	12	390	0.215384615384615	0.0307692307692308	0.142857142857143	Kendall	8.65735135870096	7.12418103446163	10.520469957943	0.0994477717902823	4.64047024115134e-45	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (PBMC_20_CD4.N1)	0.031	Kendall correlation (access. at E x expr. at G) (PBMC_20_CD4.N1) (0.031)
