Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC22_CD4_pos_T_naive	0.983912258586998	Treg	33	30	955	0.0345549738219895	0.031413612565445	0.909090909090909	scE2G_multiome	27.0980585733957	19.379004842791	37.8917691803119	0.171060199658224	1.05022524913041e-31	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD4_pos_T_naive)	0.031	scE2G (Multiome) (BMMC22_CD4_pos_T_naive) (0.031)
PBMC_22_CD4.M	0.973004676935112	Treg	34	31	955	0.0356020942408377	0.0324607329842932	0.911764705882353	scE2G_multiome	26.2033308501777	18.739241613158	36.6404661308043	0.171057595908634	3.15875530079443e-31	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_22_CD4.M)	0.032	scE2G (Multiome) (PBMC_22_CD4.M) (0.032)
PBMC_20_CD4.N1	0.938712703201887	Treg	31	29	955	0.0324607329842932	0.0303664921465969	0.935483870967742	scE2G_multiome	22.6699090097131	15.9401150183863	32.2409702763046	0.179696955943214	2.73144602653972e-26	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_20_CD4.N1)	0.03	scE2G (Multiome) (PBMC_20_CD4.N1) (0.03)
BMMC22_CD4_pos_T_activated	0.973004676935112	Treg	35	29	955	0.0366492146596859	0.0303664921465969	0.828571428571429	scE2G_multiome	21.1344033930889	15.1927109810645	29.3998225424356	0.168414540125694	4.13080482662643e-29	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD4_pos_T_activated)	0.03	scE2G (Multiome) (BMMC22_CD4_pos_T_activated) (0.03)
PBMC_20_CD4.N1	-548	Treg	29	27	955	0.0303664921465969	0.0282722513089005	0.931034482758621	ABC_distanceToTSS	19.8957900436191	13.9030135661997	28.4717021655022	0.182861795735782	1.06367164776031e-23	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	0.028	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1) (0.028)
BMMC22_CD4_pos_T_naive	-351	Treg	31	29	955	0.0324607329842932	0.0303664921465969	0.935483870967742	ABC_distanceToTSS	19.5437664845699	13.8238653648185	27.6303912345296	0.176666467162444	2.83133464220292e-25	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	0.03	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive) (0.03)
PBMC_22_CD4.M	-438.5	Treg	31	29	955	0.0324607329842932	0.0303664921465969	0.935483870967742	ABC_distanceToTSS	19.0400136266156	13.4675877435305	26.9181182113222	0.176664906611002	6.27329245215632e-25	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	0.03	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M) (0.03)
PBMC_20_CD4.N1	0.956498779337611	Treg	32	29	955	0.0335078534031414	0.0303664921465969	0.90625	scE2G_ATAC	18.8224134708829	13.3136900450401	26.6104474169321	0.176664232518078	8.90093485280273e-25	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_20_CD4.N1)	0.03	scE2G (scATAC) (PBMC_20_CD4.N1) (0.03)
BMMC22_CD4_pos_T_activated	-438.5	Treg	30	28	955	0.031413612565445	0.0293193717277487	0.933333333333333	ABC_distanceToTSS	17.1483419966979	12.0580992762213	24.3873952684743	0.179679280783255	1.05183733841842e-22	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	0.029	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated) (0.029)
PBMC_22_CD4.M	0.97137387203797	Treg	31	30	955	0.0324607329842932	0.031413612565445	0.967741935483871	scE2G_ATAC	16.7412296974194	11.8417523871353	23.6678459926453	0.176657785320235	3.11294316277329e-23	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_22_CD4.M)	0.031	scE2G (scATAC) (PBMC_22_CD4.M) (0.031)
