Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC_10_cDC	0.864150320327874	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scE2G_multiome	30.8115259381026	8.02094685840728	118.358860542667	0.686661781699708	1	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_10_cDC)	0.029	scE2G (Multiome) (PBMC_10_cDC) (0.029)
BMMC22_cDC2	0	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	ScenicPlus	28.7087187039764	4.15884509197036	198.177741992685	0.985713750792892	1	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (BMMC22_cDC2)	0.029	SCENIC+ (importance) (BMMC22_cDC2) (0.029)
BMMC22_cDC2	0	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	DIRECTNET	28.3550118550628	4.1076161102982	195.735598388814	0.985712480634374	1	DIRECTNET (high-confidence)	#e0dcca	DIRECTNET (high-confidence) (BMMC22_cDC2)	0.029	DIRECTNET (high-confidence) (BMMC22_cDC2) (0.029)
BMMC22_cDC2	0	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	ArchR	28.0381163339279	4.06171846504494	193.547626286839	0.985711342665045	1	ArchR (high-confidence)	#dcbca1	ArchR (high-confidence) (BMMC22_cDC2)	0.029	ArchR (high-confidence) (BMMC22_cDC2) (0.029)
BMMC22_cDC2	-0.999596523745205	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	SnapATAC	28.026828847481	4.0600836352321	193.469693192931	0.98571130213177	1	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (BMMC22_cDC2)	0.029	SnapATAC (p-value) (BMMC22_cDC2) (0.029)
BMMC22_cDC2	-0.999160510591716	dendritic	1	1	35	0.0285714285714286	0.0285714285714286	1	FigR	28.026828847481	4.0600836352321	193.469693192931	0.98571130213177	1	FigR (p-value)	#bc9678	FigR (p-value) (BMMC22_cDC2)	0.029	FigR (p-value) (BMMC22_cDC2) (0.029)
PBMC_10_cDC	0.876176188522549	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scE2G_ATAC	24.7466961191301	6.44227005530764	95.059499765619	0.686650892321572	1	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_10_cDC)	0.029	scE2G (scATAC) (PBMC_10_cDC) (0.029)
BMMC22_pDC	0.918305905306194	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scE2G_multiome	22.8463837417812	5.94760437578421	87.7592417212357	0.686647480318157	1	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_pDC)	0.029	scE2G (Multiome) (BMMC22_pDC) (0.029)
PBMC_10_cDC	0.142891428571429	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scABC	20.5455637766395	5.34867468803002	78.92052060011	0.68664334920494	1	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC_10_cDC)	0.029	ABC (A=scATAC, C=power law) (PBMC_10_cDC) (0.029)
BMMC22_cDC2	-1804.42857142857	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	ABC_distanceToTSS	18.9316136801775	4.9285392756585	72.7205316807785	0.686640451363877	1	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_cDC2)	0.029	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_cDC2) (0.029)
BMMC22_pDC	0.204113469387755	dendritic	2	1	35	0.0571428571428571	0.0285714285714286	0.5	scABC	16.8900422397921	4.39708077803702	64.8779363542449	0.686636785730368	1	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC22_pDC)	0.029	ABC (A=scATAC, C=power law) (BMMC22_pDC) (0.029)
