Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC22_HSC	0.990847877743486	iPSC	24	20	656	0.0365853658536585	0.0304878048780488	0.833333333333333	scE2G_ATAC	25.697248641355	17.2004354689602	38.3913877603437	0.204824798373052	6.89889387410593e-21	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_HSC)	0.03	scE2G (scATAC) (BMMC22_HSC) (0.03)
BMMC22_HSC	0.973004676935112	iPSC	28	21	656	0.0426829268292683	0.0320121951219512	0.75	scE2G_multiome	23.1569802554404	15.8894000750498	33.7486457649772	0.192168854124725	9.13793475599076e-23	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_HSC)	0.032	scE2G (Multiome) (BMMC22_HSC) (0.032)
BMMC22_MK_E_prog	0.988239247107177	iPSC	23	19	656	0.0350609756097561	0.0289634146341463	0.826086956521739	scE2G_ATAC	22.9714505361923	15.2329737106964	34.6411376897601	0.209590464807733	8.56427451555941e-19	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_MK_E_prog)	0.029	scE2G (scATAC) (BMMC22_MK_E_prog) (0.029)
BMMC22_MK_E_prog	0.973004676935112	iPSC	25	20	656	0.038109756097561	0.0304878048780488	0.8	scE2G_multiome	22.1566299534327	14.8308200186294	33.1010861352707	0.204814642700124	2.09383868487048e-19	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_MK_E_prog)	0.03	scE2G (Multiome) (BMMC22_MK_E_prog) (0.03)
BMMC22_HSC	-351	iPSC	25	21	656	0.038109756097561	0.0320121951219512	0.84	ABC_distanceToTSS	20.1390941762966	13.5992693230435	29.8238901375751	0.200333704074914	2.31032903799714e-19	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_HSC)	0.032	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_HSC) (0.032)
BMMC22_Lymph_prog	-351	iPSC	23	20	656	0.0350609756097561	0.0304878048780488	0.869565217391304	ABC_distanceToTSS	19.9221307983693	13.2111262683505	30.0421998462127	0.209581320777182	1.97461413410643e-17	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	0.03	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog) (0.03)
BMMC22_Lymph_prog	0.959119501097581	iPSC	25	21	656	0.038109756097561	0.0320121951219512	0.84	scE2G_multiome	19.193447145754	12.960770951666	28.423341073665	0.200331104662398	7.20333283241343e-19	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_Lymph_prog)	0.032	scE2G (Multiome) (BMMC22_Lymph_prog) (0.032)
BMMC22_G_M_prog	0.978019153725369	iPSC	26	20	656	0.0396341463414634	0.0304878048780488	0.769230769230769	scE2G_ATAC	19.0264910420235	12.9544221206976	27.9446939430676	0.196123536006407	1.15113479174693e-19	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_G_M_prog)	0.03	scE2G (scATAC) (BMMC22_G_M_prog) (0.03)
BMMC22_MK_E_prog	-351	iPSC	22	19	656	0.0335365853658537	0.0289634146341463	0.863636363636364	ABC_distanceToTSS	18.0207496914937	11.8313888199237	27.4479542838289	0.214681386342684	1.31215476130136e-15	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_MK_E_prog)	0.029	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_MK_E_prog) (0.029)
BMMC22_G_M_prog	-351	iPSC	22	18	656	0.0335365853658537	0.0274390243902439	0.818181818181818	ABC_distanceToTSS	17.8951271953308	11.7489213945463	27.256593740232	0.214680991698681	1.51880612766581e-15	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_G_M_prog)	0.027	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_G_M_prog) (0.027)
BMMC22_Lymph_prog	0.978663666431064	iPSC	23	20	656	0.0350609756097561	0.0304878048780488	0.869565217391304	scE2G_ATAC	16.5398545498415	10.9684276701438	24.9412948470785	0.209571178306071	1.15415044575022e-15	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_Lymph_prog)	0.03	scE2G (scATAC) (BMMC22_Lymph_prog) (0.03)
BMMC22_MK_E_prog	0.0378587038772354	iPSC	87	19	656	0.132621951219512	0.0289634146341463	0.218390804597701	Kendall	4.10333832911866	3.36155018543819	5.00881572916916	0.101735867751577	1.16404597815099e-22	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC22_MK_E_prog)	0.029	Kendall correlation (access. at E x expr. at G) (BMMC22_MK_E_prog) (0.029)
BMMC22_HSC	0.0355478548439444	iPSC	94	20	656	0.143292682926829	0.0304878048780488	0.212765957446809	Kendall	4.10102460665536	3.38595593101081	4.96710623737267	0.0977571932421359	1.363631988157e-24	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC22_HSC)	0.03	Kendall correlation (access. at E x expr. at G) (BMMC22_HSC) (0.03)
BMMC22_G_M_prog	0.0378587038772354	iPSC	87	18	656	0.132621951219512	0.0274390243902439	0.206896551724138	Kendall	3.92127748292218	3.21240260654164	4.78657845276318	0.101735724765202	2.37934650057308e-21	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC22_G_M_prog)	0.027	Kendall correlation (access. at E x expr. at G) (BMMC22_G_M_prog) (0.027)
BMMC22_Lymph_prog	0.0472070852992695	iPSC	83	20	656	0.126524390243902	0.0304878048780488	0.240963855421687	Kendall	3.89454952377642	3.17251828671929	4.78090734942049	0.104620459624176	6.16820538235647e-20	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC22_Lymph_prog)	0.03	Kendall correlation (access. at E x expr. at G) (BMMC22_Lymph_prog) (0.03)
