Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC22_CD8_pos_T	0.97903764568596	T	17	15	298	0.0570469798657718	0.0503355704697987	0.882352941176471	scE2G_multiome	49.7780075021946	31.3852150189578	78.949595514698	0.235328991220973	5.69034264822951e-20	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD8_pos_T)	0.05	scE2G (Multiome) (BMMC22_CD8_pos_T) (0.05)
BMMC22_CD4_pos_T_naive	0.97903764568596	T	15	14	298	0.0503355704697987	0.0469798657718121	0.933333333333333	scE2G_multiome	35.233414291932	21.5246988086764	57.6729780844379	0.251430050903575	5.27676795939368e-15	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD4_pos_T_naive)	0.047	scE2G (Multiome) (BMMC22_CD4_pos_T_naive) (0.047)
PBMC_24_CD8.CM	0.918305905306194	T	16	14	298	0.0536912751677852	0.0469798657718121	0.875	scE2G_multiome	33.9539472237457	21.0888820974544	54.6672188096717	0.242993815191071	6.73392570223434e-16	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_24_CD8.CM)	0.047	scE2G (Multiome) (PBMC_24_CD8.CM) (0.047)
PBMC_22_CD4.M	0.938712703201887	T	17	15	298	0.0570469798657718	0.0503355704697987	0.882352941176471	scE2G_multiome	32.7115038251716	20.6259173085757	51.8785403090567	0.235299429892619	9.25780076010494e-17	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_22_CD4.M)	0.05	scE2G (Multiome) (PBMC_22_CD4.M) (0.05)
BMMC22_CD4_pos_T_activated	0.973004676935112	T	16	15	298	0.0536912751677852	0.0503355704697987	0.9375	scE2G_multiome	32.4358295977557	20.1460857374496	52.2227024845289	0.242991021272476	1.43648300321096e-15	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD4_pos_T_activated)	0.05	scE2G (Multiome) (BMMC22_CD4_pos_T_activated) (0.05)
PBMC_24_CD8.CM	-744.785714285717	T	17	14	298	0.0570469798657718	0.0469798657718121	0.823529411764706	ABC_distanceToTSS	31.4704459531454	19.8434640679378	49.910084504352	0.235297280224476	1.84172473720135e-16	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_24_CD8.CM)	0.047	In element (ABC (A=scATAC)) & distance to TSS (PBMC_24_CD8.CM) (0.047)
BMMC22_CD8_pos_T_naive	0.938712703201887	T	18	15	298	0.0604026845637584	0.0503355704697987	0.833333333333333	scE2G_multiome	31.1594272912276	19.9209223548186	48.7382005624078	0.228242095625738	1.68254497807355e-17	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD8_pos_T_naive)	0.05	scE2G (Multiome) (BMMC22_CD8_pos_T_naive) (0.05)
BMMC22_CD8_pos_T	0.97137387203797	T	17	14	298	0.0570469798657718	0.0469798657718121	0.823529411764706	scE2G_ATAC	30.8812693773979	19.4720019500271	48.9755907382746	0.235296259696632	2.56401459455797e-16	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_CD8_pos_T)	0.047	scE2G (scATAC) (BMMC22_CD8_pos_T) (0.047)
BMMC22_CD8_pos_T_naive	-744.785714285717	T	20	15	298	0.0671140939597315	0.0503355704697987	0.75	ABC_distanceToTSS	30.0799943213908	19.7086691457564	45.9090388946794	0.215719123680896	2.08494184899037e-19	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD8_pos_T_naive)	0.05	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD8_pos_T_naive) (0.05)
PBMC_24_CD8.CM	0.285742857142857	T	19	15	298	0.063758389261745	0.0503355704697987	0.789473684210526	scABC	30.0575747979761	19.4630080322583	46.4192277595798	0.221738290006373	2.62147735130847e-18	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC_24_CD8.CM)	0.05	ABC (A=scATAC, C=power law) (PBMC_24_CD8.CM) (0.05)
