Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC_22_CD4.M	0.755051522140649	T_CD4_pos	239	190	3772	0.0633616118769883	0.0503711558854719	0.794979079497908	scE2G_multiome	21.2407146467302	18.7195143689992	24.1014777312271	0.0644671607163659	3.58291480461246e-207	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_22_CD4.M)	0.05	scE2G (Multiome) (PBMC_22_CD4.M) (0.05)
BMMC22_CD4_pos_T_activated	0.795865117932035	T_CD4_pos	239	191	3772	0.0633616118769883	0.0506362672322375	0.799163179916318	scE2G_multiome	19.1354367520814	16.8841018248152	21.6869658506052	0.0638631554617244	5.61631196784903e-201	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD4_pos_T_activated)	0.051	scE2G (Multiome) (BMMC22_CD4_pos_T_activated) (0.051)
PBMC_22_CD4.M	0.774333223319728	T_CD4_pos	247	187	3772	0.0654825026511135	0.049575821845175	0.757085020242915	scE2G_ATAC	17.3773795069916	15.3462109930709	19.6773860770167	0.063419904843408	2.12778217128367e-194	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_22_CD4.M)	0.05	scE2G (scATAC) (PBMC_22_CD4.M) (0.05)
PBMC_22_CD4.M	-4411.57142857143	T_CD4_pos	235	188	3772	0.0623011664899258	0.0498409331919406	0.8	ABC_distanceToTSS	16.5398991692515	14.5681500663069	18.7785177447967	0.0647654502522649	3.73241870774753e-182	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	0.05	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M) (0.05)
PBMC_22_CD4.M	0.103912655737705	T_CD4_pos	241	189	3772	0.0638918345705196	0.0501060445387063	0.784232365145228	scABC	16.3293618832555	14.412470576627	18.5012040854914	0.0637108573328424	8.63239611511238e-187	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC_22_CD4.M)	0.05	ABC (A=scATAC, C=power law) (PBMC_22_CD4.M) (0.05)
BMMC22_CD4_pos_T_activated	0.815070409400857	T_CD4_pos	247	187	3772	0.0654825026511135	0.049575821845175	0.757085020242915	scE2G_ATAC	16.1434381694501	14.2646324083422	18.2697028896761	0.0631289387103028	5.27135623232075e-189	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_CD4_pos_T_activated)	0.05	scE2G (scATAC) (BMMC22_CD4_pos_T_activated) (0.05)
BMMC22_CD4_pos_T_activated	0.102076734693878	T_CD4_pos	244	190	3772	0.0646871686108165	0.0503711558854719	0.778688524590164	scABC	15.7119037789864	13.883339615554	17.7813067457886	0.0631282493339683	2.10850938431378e-186	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC22_CD4_pos_T_activated)	0.05	ABC (A=scATAC, C=power law) (BMMC22_CD4_pos_T_activated) (0.05)
BMMC22_CD4_pos_T_activated	-5322.5	T_CD4_pos	246	192	3772	0.0652173913043478	0.0509013785790032	0.780487804878049	ABC_distanceToTSS	15.3253890259922	13.5380019025029	17.3487602150934	0.0632716626008755	3.35168949399002e-183	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	0.051	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated) (0.051)
PBMC_22_CD4.M	0.0238824842067876	T_CD4_pos	736	188	3772	0.195121951219512	0.0498409331919406	0.255434782608696	Kendall	6.84671199745165	6.40314014554332	7.32101189580798	0.0341741069809755	0	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (PBMC_22_CD4.M)	0.05	Kendall correlation (access. at E x expr. at G) (PBMC_22_CD4.M) (0.05)
BMMC22_CD4_pos_T_activated	0.0263402576720609	T_CD4_pos	745	189	3772	0.197507953340403	0.0501060445387063	0.253691275167785	Kendall	6.18188037455848	5.78309772689187	6.60816171022762	0.0340225715444304	0	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC22_CD4_pos_T_activated)	0.05	Kendall correlation (access. at E x expr. at G) (BMMC22_CD4_pos_T_activated) (0.05)
