Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
BMMC22_Normoblast	-3129.14285714286	blood	167	138	2846	0.0586788475052706	0.0484891075193254	0.826347305389222	ABC_distanceToTSS	23.2860047873034	20.0535072738082	27.0395602899115	0.0762506166192893	3.88925936686107e-154	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Normoblast)	0.048	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Normoblast) (0.048)
BMMC22_Proerythroblast	-969.5	blood	171	150	2846	0.0600843288826423	0.0527055516514406	0.87719298245614	ABC_distanceToTSS	20.7559763126784	17.9177568043765	24.043777209167	0.0750228065683322	5.24484807112452e-151	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Proerythroblast)	0.053	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Proerythroblast) (0.053)
BMMC22_Normoblast	0.0937331147540984	blood	166	145	2846	0.0583274771609276	0.0509486999297259	0.873493975903615	scABC	20.6256332684652	17.7450290108176	23.9738547322678	0.0767510096571322	4.2920382035345e-144	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC22_Normoblast)	0.051	ABC (A=scATAC, C=power law) (BMMC22_Normoblast) (0.051)
BMMC22_Erythroblast	-1424.64285714286	blood	161	140	2846	0.0565706254392129	0.0491918482080112	0.869565217391304	ABC_distanceToTSS	20.3759384080941	17.5125578882575	23.70749428265	0.0772649390003258	1.93864260449477e-141	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Erythroblast)	0.049	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Erythroblast) (0.049)
BMMC22_Proerythroblast	0.571445714285714	blood	163	143	2846	0.0572733661278988	0.0502459592410401	0.877300613496933	scABC	19.9760355351759	17.1861934485648	23.2187538733851	0.0767498678836162	5.7695820041636e-142	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC22_Proerythroblast)	0.05	ABC (A=scATAC, C=power law) (BMMC22_Proerythroblast) (0.05)
BMMC22_Proerythroblast	0.857085511619115	blood	167	145	2846	0.0586788475052706	0.0509486999297259	0.868263473053892	scE2G_multiome	19.8414788465611	17.1039576108653	23.0171456089463	0.0757487193257163	3.73815812122468e-145	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_Proerythroblast)	0.051	scE2G (Multiome) (BMMC22_Proerythroblast) (0.051)
BMMC22_Normoblast	0.7335960372386	blood	175	144	2846	0.0614898102600141	0.050597329585383	0.822857142857143	scE2G_ATAC	19.6129308308321	16.9468275561941	22.698469934829	0.0745464889370241	6.90981752175447e-149	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_Normoblast)	0.051	scE2G (scATAC) (BMMC22_Normoblast) (0.051)
K562	-969.5	blood	176	150	2846	0.061841180604357	0.0527055516514406	0.852272727272727	ABC_distanceToTSS	19.4587438574384	16.8365716001882	22.4893001675687	0.0738498893031831	4.84282088565905e-151	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (K562)	0.053	In element (ABC (A=scATAC)) & distance to TSS (K562) (0.053)
BMMC22_Erythroblast	0.18370612244898	blood	158	140	2846	0.0555165144061841	0.0491918482080112	0.886075949367089	scABC	19.1833967561145	16.4621694778445	22.3544479722299	0.0780525378266561	8.38805176270495e-135	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC22_Erythroblast)	0.049	ABC (A=scATAC, C=power law) (BMMC22_Erythroblast) (0.049)
BMMC22_Erythroblast	0.775458320036342	blood	169	144	2846	0.0593815881939564	0.050597329585383	0.85207100591716	scE2G_multiome	18.8774085452311	16.2729524468185	21.8987030502405	0.0757470661451046	9.13059838937505e-142	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_Erythroblast)	0.051	scE2G (Multiome) (BMMC22_Erythroblast) (0.051)
