Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC_11_CD14.Mono.1	0.923655944548221	macrophage	34	29	573	0.0593368237347295	0.0506108202443281	0.852941176470588	scE2G_multiome	33.537011071063	23.953172639751	46.9554129006726	0.17171175355337	8.47888841181727e-34	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_11_CD14.Mono.1)	0.051	scE2G (Multiome) (PBMC_11_CD14.Mono.1) (0.051)
PBMC_11_CD14.Mono.1	0.956498779337611	macrophage	30	26	573	0.0523560209424084	0.0453752181500873	0.866666666666667	scE2G_ATAC	28.1416309921619	19.86625658454	39.8641481110894	0.177670288434637	3.10398221413868e-29	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_11_CD14.Mono.1)	0.045	scE2G (scATAC) (PBMC_11_CD14.Mono.1) (0.045)
PBMC_12_CD14.Mono.2	0.897335358721127	macrophage	34	28	573	0.0593368237347295	0.0488656195462478	0.823529411764706	scE2G_multiome	26.2233041138691	18.6233397733004	36.9247238690421	0.17461181303006	2.37716539856752e-29	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_12_CD14.Mono.2)	0.049	scE2G (Multiome) (PBMC_12_CD14.Mono.2) (0.049)
BMMC22_CD16_pos_Mono	0.897335358721127	macrophage	34	28	573	0.0593368237347295	0.0488656195462478	0.823529411764706	scE2G_multiome	25.8438536524221	18.5599179585701	35.9864075422491	0.168915601791318	3.32397710144403e-31	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD16_pos_Mono)	0.049	scE2G (Multiome) (BMMC22_CD16_pos_Mono) (0.049)
PBMC_11_CD14.Mono.1	0.231370180327869	macrophage	33	29	573	0.0575916230366492	0.0506108202443281	0.878787878787879	scABC	24.9685798824147	17.8338712845604	34.9576360284857	0.171696368968801	1.05463524218382e-29	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC_11_CD14.Mono.1)	0.051	ABC (A=scATAC, C=power law) (PBMC_11_CD14.Mono.1) (0.051)
BMMC22_CD14_pos_Mono	0.963631448549565	macrophage	32	29	573	0.0558464223385689	0.0506108202443281	0.90625	scE2G_multiome	24.8260471238604	17.6311213697292	34.9570854213683	0.174609223332572	1.28828301120254e-28	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD14_pos_Mono)	0.051	scE2G (Multiome) (BMMC22_CD14_pos_Mono) (0.051)
BMMC22_CD16_pos_Mono	0.937281967644241	macrophage	35	30	573	0.0610820244328098	0.0523560209424084	0.857142857142857	scE2G_ATAC	24.6258204030676	17.7777351169014	34.1118273242582	0.166252373366871	1.61336135267853e-31	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_CD16_pos_Mono)	0.052	scE2G (scATAC) (BMMC22_CD16_pos_Mono) (0.052)
PBMC_12_CD14.Mono.2	0.956498779337611	macrophage	31	28	573	0.0541012216404887	0.0488656195462478	0.903225806451613	scE2G_ATAC	24.4975049933645	17.2939648478397	34.7015711076159	0.177663309219781	1.97006348617736e-27	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_12_CD14.Mono.2)	0.049	scE2G (scATAC) (PBMC_12_CD14.Mono.2) (0.049)
PBMC_13_CD16.Mono	0.755051522140649	macrophage	33	28	573	0.0575916230366492	0.0488656195462478	0.848484848484848	scE2G_multiome	24.1742229554576	17.1682453528114	34.0391835910287	0.174608015231683	2.92502612595921e-28	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_13_CD16.Mono)	0.049	scE2G (Multiome) (PBMC_13_CD16.Mono) (0.049)
PBMC_13_CD16.Mono	0.876176188522549	macrophage	32	29	573	0.0558464223385689	0.0506108202443281	0.90625	scE2G_ATAC	24.0578089866169	17.0855767633232	33.8752493552912	0.174607799468252	3.42856423660157e-28	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_13_CD16.Mono)	0.051	scE2G (scATAC) (PBMC_13_CD16.Mono) (0.051)
PBMC_11_CD14.Mono.1	-1424.64285714286	macrophage	32	28	573	0.0558464223385689	0.0488656195462478	0.875	ABC_distanceToTSS	23.1554217476871	16.4447657244462	32.6045116906837	0.174606126969934	1.11198513913969e-27	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	0.049	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1) (0.049)
BMMC22_CD14_pos_Mono	0.978019153725369	macrophage	33	30	573	0.0575916230366492	0.0523560209424084	0.909090909090909	scE2G_ATAC	22.2290617783733	15.877316622174	31.1218324421799	0.171691450174798	4.25846766291446e-28	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_CD14_pos_Mono)	0.052	scE2G (scATAC) (BMMC22_CD14_pos_Mono) (0.052)
PBMC_12_CD14.Mono.2	-1424.64285714286	macrophage	34	31	573	0.0593368237347295	0.0541012216404887	0.911764705882353	ABC_distanceToTSS	22.0101093531875	15.8068983702283	30.6476895335588	0.168908926908562	6.41481302819283e-29	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	0.054	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2) (0.054)
