Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
GM12878	0.478588379456418	LCL	286	240	2398	0.119266055045872	0.100083402835696	0.839160839160839	scE2G_multiome	26.7460447548461	23.8967775126186	29.9350366236825	0.057471966795055	4.42736783772658e-275	scE2G (Multiome)	#792374	scE2G (Multiome) (GM12878)	0.1	scE2G (Multiome) (GM12878) (0.1)
GM12878	0.609362675790442	LCL	291	241	2398	0.121351125938282	0.100500417014178	0.828178694158076	scE2G_ATAC	25.5285589141957	22.8410749001212	28.5322526669752	0.0567547862713017	4.53066336160774e-276	scE2G (scATAC)	#006479	scE2G (scATAC) (GM12878)	0.101	scE2G (scATAC) (GM12878) (0.101)
GM12878	0.0695813278688524	LCL	281	238	2398	0.117180984153461	0.0992493744787323	0.846975088967972	scABC	25.4689934765571	22.7284285902001	28.540012176143	0.0580853879814721	2.17846291951634e-264	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (GM12878)	0.099	ABC (A=scATAC, C=power law) (GM12878) (0.099)
GM12878	-7580.28571428572	LCL	291	239	2398	0.121351125938282	0.0996663886572144	0.821305841924399	ABC_distanceToTSS	22.0869128776937	19.7572982539567	24.6912160861436	0.0568695657592119	1.74120887470516e-258	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	0.1	In element (ABC (A=scATAC)) & distance to TSS (GM12878) (0.1)
GM12878	0.00737228830521433	LCL	502	245	2398	0.209341117597998	0.102168473728107	0.48804780876494	ScenicPlus	8.52136666290241	7.85784785100666	9.24091318392251	0.0413599313135958	8.26481401660722e-271	SCENIC+ (importance)	#c5c1a5	SCENIC+ (importance) (GM12878)	0.102	SCENIC+ (importance) (GM12878) (0.102)
GM12878	-0.285599006784344	LCL	511	238	2398	0.213094245204337	0.0992493744787323	0.465753424657534	SnapATAC	8.42858266668919	7.77897078108406	9.13244280875334	0.0409214606636137	9.05976025690959e-274	SnapATAC (p-value)	#5e5948	SnapATAC (p-value) (GM12878)	0.099	SnapATAC (p-value) (GM12878) (0.099)
GM12878	-0.326256493254438	LCL	499	243	2398	0.208090075062552	0.101334445371143	0.486973947895792	FigR	8.20922701143375	7.56753690899129	8.90532929481758	0.0415268486513452	3.8986565017257e-262	FigR (p-value)	#bc9678	FigR (p-value) (GM12878)	0.101	FigR (p-value) (GM12878) (0.101)
GM12878	0	LCL	514	254	2398	0.214345287739783	0.105921601334445	0.494163424124514	DIRECTNET	8.03425426190352	7.41738902727784	8.7024209337722	0.0407594589296952	2.34676335709332e-268	DIRECTNET (high-confidence)	#e0dcca	DIRECTNET (high-confidence) (GM12878)	0.106	DIRECTNET (high-confidence) (GM12878) (0.106)
GM12878	-0.313640896850847	LCL	384	240	2398	0.160133444537114	0.100083402835696	0.625	Cicero	7.30694328384313	6.64294492987573	8.03731187250699	0.0486078585810762	2.08526816162926e-182	Cicero (co-accessibility)	#888364	Cicero (co-accessibility) (GM12878)	0.1	Cicero (co-accessibility) (GM12878) (0.1)
GM12878	0.0255890503110068	LCL	545	240	2398	0.227272727272727	0.100083402835696	0.440366972477064	Kendall	7.10552634202263	6.58050785655535	7.67243284222844	0.0391644518544278	3.58759577341688e-261	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (GM12878)	0.1	Kendall correlation (access. at E x expr. at G) (GM12878) (0.1)
