Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC_11_CD14.Mono.1	0.632610734766489	monocyte	346	281	2808	0.123219373219373	0.100071225071225	0.812138728323699	scE2G_multiome	36.1829244734121	32.6694255891881	40.0742896404618	0.0521171131074942	0	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_11_CD14.Mono.1)	0.1	scE2G (Multiome) (PBMC_11_CD14.Mono.1) (0.1)
PBMC_12_CD14.Mono.2	0.653017532662183	monocyte	342	281	2808	0.121794871794872	0.100071225071225	0.821637426900585	scE2G_multiome	33.7618923590675	30.4559702895264	37.426664290425	0.0525778426037789	0	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_12_CD14.Mono.2)	0.1	scE2G (Multiome) (PBMC_12_CD14.Mono.2) (0.1)
PBMC_13_CD16.Mono	0.517531606186902	monocyte	337	281	2808	0.120014245014245	0.100071225071225	0.833827893175074	scE2G_multiome	33.6550770192398	30.354038436069	37.3151075616035	0.0526715551765803	0	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_13_CD16.Mono)	0.1	scE2G (Multiome) (PBMC_13_CD16.Mono) (0.1)
PBMC_11_CD14.Mono.1	0.7335960372386	monocyte	355	282	2808	0.126424501424501	0.10042735042735	0.794366197183099	scE2G_ATAC	32.8151803108424	29.6655322119916	36.2992327640701	0.0514832839724684	0	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_11_CD14.Mono.1)	0.1	scE2G (scATAC) (PBMC_11_CD14.Mono.1) (0.1)
PBMC_11_CD14.Mono.1	0.084151	monocyte	341	288	2808	0.121438746438746	0.102564102564103	0.844574780058651	scABC	32.0272072613618	28.869845166398	35.5298755171747	0.0529541046512455	0	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC_11_CD14.Mono.1)	0.103	ABC (A=scATAC, C=power law) (PBMC_11_CD14.Mono.1) (0.103)
BMMC22_CD16_pos_Mono	0.612203936870796	monocyte	340	282	2808	0.121082621082621	0.10042735042735	0.829411764705882	scE2G_multiome	30.2781644706899	27.3235021760501	33.5523329991615	0.0523885089692468	0	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD16_pos_Mono)	0.1	scE2G (Multiome) (BMMC22_CD16_pos_Mono) (0.1)
PBMC_13_CD16.Mono	0.645600721942296	monocyte	335	280	2808	0.119301994301994	0.0997150997150997	0.835820895522388	scE2G_ATAC	30.1319073551752	27.151288644287	33.4397329259693	0.0531439082637912	0	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_13_CD16.Mono)	0.1	scE2G (scATAC) (PBMC_13_CD16.Mono) (0.1)
PBMC_12_CD14.Mono.2	0.084151	monocyte	351	287	2808	0.125	0.102207977207977	0.817663817663818	scABC	30.0127642806948	27.0986892083226	33.2402063008975	0.052111880617417	0	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC_12_CD14.Mono.2)	0.102	ABC (A=scATAC, C=power law) (PBMC_12_CD14.Mono.2) (0.102)
PBMC_12_CD14.Mono.2	0.752263267517014	monocyte	345	279	2808	0.122863247863248	0.0993589743589744	0.808695652173913	scE2G_ATAC	29.997508758321	27.070246696955	33.2413125664925	0.0523882687400232	0	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_12_CD14.Mono.2)	0.099	scE2G (scATAC) (PBMC_12_CD14.Mono.2) (0.099)
PBMC_13_CD16.Mono	0.077187	monocyte	327	272	2808	0.116452991452991	0.0968660968660969	0.831804281345566	scABC	29.4955106088159	26.5161247097817	32.8096641419792	0.0543301011114595	0	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC_13_CD16.Mono)	0.097	ABC (A=scATAC, C=power law) (PBMC_13_CD16.Mono) (0.097)
PBMC_11_CD14.Mono.1	-5322.5	monocyte	326	274	2808	0.116096866096866	0.0975783475783476	0.840490797546012	ABC_distanceToTSS	29.4716666094084	26.5259542975985	32.7445008383641	0.0537283784724994	0	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	0.098	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1) (0.098)
BMMC22_CD14_pos_Mono	0.75972142420017	monocyte	332	282	2808	0.118233618233618	0.10042735042735	0.849397590361446	scE2G_multiome	29.035987356349	26.1930289351172	32.1875169094218	0.0525737720706987	0	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD14_pos_Mono)	0.1	scE2G (Multiome) (BMMC22_CD14_pos_Mono) (0.1)
