Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	pred_name_long	hex	key	recall.linking.rounded	plotting_label
PBMC_13_CD16.Mono	0.550983543183717	monocyte_CD16_pos	53	45	446	0.118834080717489	0.100896860986547	0.849056603773585	scE2G_multiome	35.6150032493305	27.5916504590936	45.9714600375337	0.130233914154468	2.83006165649216e-58	scE2G (Multiome)	#792374	scE2G (Multiome) (PBMC_13_CD16.Mono)	0.101	scE2G (Multiome) (PBMC_13_CD16.Mono) (0.101)
BMMC22_CD16_pos_Mono	0.693831128453569	monocyte_CD16_pos	53	45	446	0.118834080717489	0.100896860986547	0.849056603773585	scE2G_multiome	33.7454282716752	26.0696227628899	43.6812584361518	0.131672925565263	6.66593087640101e-56	scE2G (Multiome)	#792374	scE2G (Multiome) (BMMC22_CD16_pos_Mono)	0.101	scE2G (Multiome) (BMMC22_CD16_pos_Mono) (0.101)
BMMC22_CD16_pos_Mono	0.774333223319728	monocyte_CD16_pos	54	45	446	0.121076233183857	0.100896860986547	0.833333333333333	scE2G_ATAC	30.5624340259509	23.6775278160782	39.4493200829999	0.130229537725738	7.66364146605821e-55	scE2G (scATAC)	#006479	scE2G (scATAC) (BMMC22_CD16_pos_Mono)	0.101	scE2G (scATAC) (BMMC22_CD16_pos_Mono) (0.101)
PBMC_13_CD16.Mono	0.645600721942296	monocyte_CD16_pos	53	44	446	0.118834080717489	0.0986547085201794	0.830188679245283	scE2G_ATAC	29.9501163896681	23.1377524430789	38.7682197724863	0.131669573687088	2.80954621175802e-53	scE2G (scATAC)	#006479	scE2G (scATAC) (PBMC_13_CD16.Mono)	0.099	scE2G (scATAC) (PBMC_13_CD16.Mono) (0.099)
PBMC_13_CD16.Mono	0.077187	monocyte_CD16_pos	51	43	446	0.114349775784753	0.0964125560538117	0.843137254901961	scABC	29.2908217340077	22.4954966715086	38.1388439820512	0.134675471787963	1.36113771680834e-50	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (PBMC_13_CD16.Mono)	0.096	ABC (A=scATAC, C=power law) (PBMC_13_CD16.Mono) (0.096)
PBMC_13_CD16.Mono	-6106.35714285715	monocyte_CD16_pos	54	46	446	0.121076233183857	0.103139013452915	0.851851851851852	ABC_distanceToTSS	28.9043098825872	22.3929981225623	37.3089447521032	0.130228101493632	1.35149531627537e-53	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (PBMC_13_CD16.Mono)	0.103	In element (ABC (A=scATAC)) & distance to TSS (PBMC_13_CD16.Mono) (0.103)
BMMC22_CD16_pos_Mono	0.081669387755102	monocyte_CD16_pos	54	44	446	0.121076233183857	0.0986547085201794	0.814814814814815	scABC	27.4025289058009	21.2295794398208	35.3703940561712	0.130226800682673	2.07327659679226e-52	ABC (A=scATAC, C=power law)	#0096a0	ABC (A=scATAC, C=power law) (BMMC22_CD16_pos_Mono)	0.099	ABC (A=scATAC, C=power law) (BMMC22_CD16_pos_Mono) (0.099)
BMMC22_CD16_pos_Mono	-6106.35714285715	monocyte_CD16_pos	56	47	446	0.125560538116592	0.105381165919283	0.839285714285714	ABC_distanceToTSS	25.7291163709103	20.0415220154454	33.030796199893	0.127460026358017	4.2257213041634e-53	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD16_pos_Mono)	0.105	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD16_pos_Mono) (0.105)
PBMC_13_CD16.Mono	0.022246920879132	monocyte_CD16_pos	123	44	446	0.275784753363229	0.0986547085201794	0.357723577235772	Kendall	10.5514137176808	9.05878029202213	12.289991351232	0.0778204948847181	4.4482701559521e-80	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (PBMC_13_CD16.Mono)	0.099	Kendall correlation (access. at E x expr. at G) (PBMC_13_CD16.Mono) (0.099)
BMMC22_CD16_pos_Mono	0.022246920879132	monocyte_CD16_pos	129	47	446	0.289237668161435	0.105381165919283	0.364341085271318	Kendall	9.5251848319159	8.21939930463501	11.0384156699867	0.0752269928479547	2.33300736624356e-79	Kendall correlation (access. at E x expr. at G)	#d3a9ce	Kendall correlation (access. at E x expr. at G) (BMMC22_CD16_pos_Mono)	0.105	Kendall correlation (access. at E x expr. at G) (BMMC22_CD16_pos_Mono) (0.105)
