group1	group2	p	p_adjust	significant
scE2G (Multiome) (BMMC22_ILC)	scE2G (Multiome) (BMMC22_Lymph_prog)	0.129435026570587	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	scE2G (Multiome) (BMMC22_NK)	0.822043214984183	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	scE2G (Multiome) (PBMC_25_NK)	0.545598258823011	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	scE2G (scATAC) (BMMC22_ILC)	0.364229676435425	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	scE2G (scATAC) (BMMC22_Lymph_prog)	0.0723263175588719	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	scE2G (scATAC) (BMMC22_NK)	0.0589277625281301	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	scE2G (scATAC) (PBMC_25_NK)	0.198050269175126	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	Kendall correlation (access. at E x expr. at G) (BMMC22_ILC)	4.95201140304565e-10	5.94241368365478e-08	TRUE
scE2G (Multiome) (BMMC22_ILC)	Kendall correlation (access. at E x expr. at G) (BMMC22_Lymph_prog)	6.78881597068263e-14	8.14657916481916e-12	TRUE
scE2G (Multiome) (BMMC22_ILC)	Kendall correlation (access. at E x expr. at G) (BMMC22_NK)	7.91701826065999e-13	9.50042191279198e-11	TRUE
scE2G (Multiome) (BMMC22_ILC)	Kendall correlation (access. at E x expr. at G) (PBMC_25_NK)	1.6120299066606e-10	1.93443588799272e-08	TRUE
scE2G (Multiome) (BMMC22_ILC)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_ILC)	0.421474298609528	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	0.0064721217605021	0.776654611260252	FALSE
scE2G (Multiome) (BMMC22_ILC)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_NK)	0.13392387031591	1	FALSE
scE2G (Multiome) (BMMC22_ILC)	In element (ABC (A=scATAC)) & distance to TSS (PBMC_25_NK)	0.145328295007656	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	scE2G (Multiome) (BMMC22_NK)	0.207668284188185	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	scE2G (Multiome) (PBMC_25_NK)	0.376383281438916	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	scE2G (scATAC) (BMMC22_ILC)	0.535875382228727	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	scE2G (scATAC) (BMMC22_Lymph_prog)	0.767630984563056	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	scE2G (scATAC) (BMMC22_NK)	0.699364329728331	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	scE2G (scATAC) (PBMC_25_NK)	0.864489362620912	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	Kendall correlation (access. at E x expr. at G) (BMMC22_ILC)	4.33457604059151e-05	0.00520149124870981	TRUE
scE2G (Multiome) (BMMC22_Lymph_prog)	Kendall correlation (access. at E x expr. at G) (BMMC22_Lymph_prog)	8.06355317089015e-08	9.67626380506818e-06	TRUE
scE2G (Multiome) (BMMC22_Lymph_prog)	Kendall correlation (access. at E x expr. at G) (BMMC22_NK)	3.55211129354809e-07	4.26253355225771e-05	TRUE
scE2G (Multiome) (BMMC22_Lymph_prog)	Kendall correlation (access. at E x expr. at G) (PBMC_25_NK)	2.07634911549215e-05	0.00249161893859058	TRUE
scE2G (Multiome) (BMMC22_Lymph_prog)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_ILC)	0.503709313333374	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	0.225710451805117	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_NK)	0.999697635410241	1	FALSE
scE2G (Multiome) (BMMC22_Lymph_prog)	In element (ABC (A=scATAC)) & distance to TSS (PBMC_25_NK)	0.981615390422372	1	FALSE
scE2G (Multiome) (BMMC22_NK)	scE2G (Multiome) (PBMC_25_NK)	0.710499037308491	1	FALSE
scE2G (Multiome) (BMMC22_NK)	scE2G (scATAC) (BMMC22_ILC)	0.50812808497377	1	FALSE
scE2G (Multiome) (BMMC22_NK)	scE2G (scATAC) (BMMC22_Lymph_prog)	0.124074319821146	1	FALSE
scE2G (Multiome) (BMMC22_NK)	scE2G (scATAC) (BMMC22_NK)	0.103615835873614	1	FALSE
scE2G (Multiome) (BMMC22_NK)	scE2G (scATAC) (PBMC_25_NK)	0.295590026643328	1	FALSE
scE2G (Multiome) (BMMC22_NK)	Kendall correlation (access. at E x expr. at G) (BMMC22_ILC)	1.36063354656832e-08	1.63276025588198e-06	TRUE
scE2G (Multiome) (BMMC22_NK)	Kendall correlation (access. at E x expr. at G) (BMMC22_Lymph_prog)	4.83167818329077e-12	5.79801381994892e-10	TRUE
