group1	group2	p	p_adjust	significant
scE2G (Multiome) (BMMC22_cDC2)	scE2G (Multiome) (BMMC22_pDC)	0.578596021675343	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	scE2G (Multiome) (PBMC_10_cDC)	0.421155056036623	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	scE2G (scATAC) (BMMC22_cDC2)	0.828385015695802	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	scE2G (scATAC) (BMMC22_pDC)	0.777300756054817	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	scE2G (scATAC) (PBMC_10_cDC)	0.533975328213942	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	Kendall correlation (access. at E x expr. at G) (BMMC22_cDC2)	0.821728871859705	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	Kendall correlation (access. at E x expr. at G) (BMMC22_pDC)	0.935268702683451	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	Kendall correlation (access. at E x expr. at G) (PBMC_10_cDC)	0.955584318581452	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	ABC (A=scATAC, C=power law) (BMMC22_cDC2)	0.744983846763541	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	ABC (A=scATAC, C=power law) (BMMC22_pDC)	0.761146304855856	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	ABC (A=scATAC, C=power law) (PBMC_10_cDC)	0.640447680009928	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_cDC2)	0.689917034054875	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_pDC)	0.976351215233731	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	In element (ABC (A=scATAC)) & distance to TSS (PBMC_10_cDC)	0.89789029935583	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	SnapATAC (p-value) (BMMC22_cDC2)	0.531802347873261	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	FigR (p-value) (BMMC22_cDC2)	0.531802347873261	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	SCENIC+ (importance) (BMMC22_cDC2)	0.520547893339116	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	DIRECTNET (high-confidence) (BMMC22_cDC2)	0.526336608215187	1	FALSE
scE2G (Multiome) (BMMC22_cDC2)	ArchR (high-confidence) (BMMC22_cDC2)	0.53161282022629	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	scE2G (Multiome) (PBMC_10_cDC)	0.758078808721073	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	scE2G (scATAC) (BMMC22_cDC2)	0.419675546854909	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	scE2G (scATAC) (BMMC22_pDC)	0.735951253562481	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	scE2G (scATAC) (PBMC_10_cDC)	0.934424367575801	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	Kendall correlation (access. at E x expr. at G) (BMMC22_cDC2)	0.539275171901767	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	Kendall correlation (access. at E x expr. at G) (BMMC22_pDC)	0.423608003078318	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	Kendall correlation (access. at E x expr. at G) (PBMC_10_cDC)	0.403326216206082	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	ABC (A=scATAC, C=power law) (BMMC22_cDC2)	0.350884656465468	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	ABC (A=scATAC, C=power law) (BMMC22_pDC)	0.755746304499038	1	FALSE
scE2G (Multiome) (BMMC22_pDC)	ABC (A=scATAC, C=power law) (PBMC_10_cDC)	0.912955899542476	1	FALSE
