group1	group2	p	p_adjust	significant
scE2G (Multiome) (GM12878)	scE2G (scATAC) (GM12878)	0.564078998695606	1	FALSE
scE2G (Multiome) (GM12878)	Kendall correlation (access. at E x expr. at G) (GM12878)	5.52562941587071e-81	2.48653323714182e-79	TRUE
scE2G (Multiome) (GM12878)	ABC (A=scATAC, C=power law) (GM12878)	0.549344106762603	1	FALSE
scE2G (Multiome) (GM12878)	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	0.0179192848825006	0.806367819712529	FALSE
scE2G (Multiome) (GM12878)	SnapATAC (p-value) (GM12878)	3.26562285172297e-60	1.46953028327533e-58	TRUE
scE2G (Multiome) (GM12878)	Cicero (co-accessibility) (GM12878)	1.36555767528664e-66	6.14500953878988e-65	TRUE
scE2G (Multiome) (GM12878)	FigR (p-value) (GM12878)	2.65113382285456e-62	1.19301022028455e-60	TRUE
scE2G (Multiome) (GM12878)	SCENIC+ (importance) (GM12878)	1.06697285404456e-58	4.80137784320051e-57	TRUE
scE2G (Multiome) (GM12878)	DIRECTNET (high-confidence) (GM12878)	2.51195934430269e-65	1.13038170493621e-63	TRUE
scE2G (scATAC) (GM12878)	Kendall correlation (access. at E x expr. at G) (GM12878)	8.63730802612531e-77	3.88678861175639e-75	TRUE
scE2G (scATAC) (GM12878)	ABC (A=scATAC, C=power law) (GM12878)	0.977051866079022	1	FALSE
scE2G (scATAC) (GM12878)	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	0.0714835973590245	1	FALSE
scE2G (scATAC) (GM12878)	SnapATAC (p-value) (GM12878)	1.70188827496336e-56	7.65849723733511e-55	TRUE
scE2G (scATAC) (GM12878)	Cicero (co-accessibility) (GM12878)	6.58563134680392e-63	2.96353410606176e-61	TRUE
scE2G (scATAC) (GM12878)	FigR (p-value) (GM12878)	1.49983042690792e-58	6.74923692108563e-57	TRUE
scE2G (scATAC) (GM12878)	SCENIC+ (importance) (GM12878)	4.99308626382185e-55	2.24688881871983e-53	TRUE
scE2G (scATAC) (GM12878)	DIRECTNET (high-confidence) (GM12878)	1.73520261631054e-61	7.80841177339743e-60	TRUE
Kendall correlation (access. at E x expr. at G) (GM12878)	ABC (A=scATAC, C=power law) (GM12878)	3.41853507631672e-74	1.53834078434253e-72	TRUE
Kendall correlation (access. at E x expr. at G) (GM12878)	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	1.28071835799153e-60	5.76323261096187e-59	TRUE
Kendall correlation (access. at E x expr. at G) (GM12878)	SnapATAC (p-value) (GM12878)	0.00257317674828843	0.115792953672979	FALSE
Kendall correlation (access. at E x expr. at G) (GM12878)	Cicero (co-accessibility) (GM12878)	0.65430492865762	1	FALSE
Kendall correlation (access. at E x expr. at G) (GM12878)	FigR (p-value) (GM12878)	0.0114239544472246	0.514077950125108	FALSE
Kendall correlation (access. at E x expr. at G) (GM12878)	SCENIC+ (importance) (GM12878)	0.00142273571678325	0.0640231072552461	FALSE
Kendall correlation (access. at E x expr. at G) (GM12878)	DIRECTNET (high-confidence) (GM12878)	0.0297665210648062	1	FALSE
ABC (A=scATAC, C=power law) (GM12878)	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	0.0796544075792356	1	FALSE
ABC (A=scATAC, C=power law) (GM12878)	SnapATAC (p-value) (GM12878)	1.28705091896716e-54	5.79172913535221e-53	TRUE
ABC (A=scATAC, C=power law) (GM12878)	Cicero (co-accessibility) (GM12878)	4.6486122144342e-61	2.09187549649539e-59	TRUE
ABC (A=scATAC, C=power law) (GM12878)	FigR (p-value) (GM12878)	1.2673622939367e-56	5.70313032271515e-55	TRUE
ABC (A=scATAC, C=power law) (GM12878)	SCENIC+ (importance) (GM12878)	3.29311804857285e-53	1.48190312185778e-51	TRUE
ABC (A=scATAC, C=power law) (GM12878)	DIRECTNET (high-confidence) (GM12878)	1.92079502481407e-59	8.64357761166332e-58	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	SnapATAC (p-value) (GM12878)	5.09172492672104e-43	2.29127621702447e-41	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	Cicero (co-accessibility) (GM12878)	1.80845204283369e-49	8.1380341927516e-48	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	FigR (p-value) (GM12878)	7.16626377790139e-45	3.22481870005562e-43	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	SCENIC+ (importance) (GM12878)	8.58914200034669e-42	3.86511390015601e-40	TRUE
In element (ABC (A=scATAC)) & distance to TSS (GM12878)	DIRECTNET (high-confidence) (GM12878)	2.38624459739259e-47	1.07381006882667e-45	TRUE
SnapATAC (p-value) (GM12878)	Cicero (co-accessibility) (GM12878)	0.0246099136075653	1	FALSE
SnapATAC (p-value) (GM12878)	FigR (p-value) (GM12878)	0.651050780706973	1	FALSE
SnapATAC (p-value) (GM12878)	SCENIC+ (importance) (GM12878)	0.850744808799566	1	FALSE
SnapATAC (p-value) (GM12878)	DIRECTNET (high-confidence) (GM12878)	0.406774441570615	1	FALSE
