group1	group2	p	p_adjust	significant
scE2G (Multiome) (K562)	scE2G (Multiome) (BMMC22_Erythroblast)	0.128379198340455	1	FALSE
scE2G (Multiome) (K562)	scE2G (Multiome) (BMMC22_Normoblast)	0.00253205159558832	0.698846240382376	FALSE
scE2G (Multiome) (K562)	scE2G (Multiome) (BMMC22_Proerythroblast)	6.806702198657e-10	1.87864980682933e-07	TRUE
scE2G (Multiome) (K562)	scE2G (scATAC) (K562)	0.00455659950820569	1	FALSE
scE2G (Multiome) (K562)	scE2G (scATAC) (BMMC22_Erythroblast)	0.0011788031385199	0.325349666231491	FALSE
scE2G (Multiome) (K562)	scE2G (scATAC) (BMMC22_Normoblast)	0.0162673524527541	1	FALSE
scE2G (Multiome) (K562)	scE2G (scATAC) (BMMC22_Proerythroblast)	3.7543625555114e-08	1.03620406532115e-05	TRUE
scE2G (Multiome) (K562)	Kendall correlation (access. at E x expr. at G) (K562)	1.99745969284777e-24	5.51298875225985e-22	TRUE
scE2G (Multiome) (K562)	Kendall correlation (access. at E x expr. at G) (BMMC22_Erythroblast)	5.47884004197702e-07	0.000151215985158566	TRUE
scE2G (Multiome) (K562)	Kendall correlation (access. at E x expr. at G) (BMMC22_Normoblast)	0.000180112184858028	0.0497109630208156	TRUE
scE2G (Multiome) (K562)	Kendall correlation (access. at E x expr. at G) (BMMC22_Proerythroblast)	3.00887135222978e-07	8.30448493215418e-05	TRUE
scE2G (Multiome) (K562)	ABC (A=scATAC, C=power law) (K562)	1.67949356427602e-09	4.63540223740182e-07	TRUE
scE2G (Multiome) (K562)	ABC (A=scATAC, C=power law) (BMMC22_Erythroblast)	2.28000380181005e-10	6.29281049299574e-08	TRUE
scE2G (Multiome) (K562)	ABC (A=scATAC, C=power law) (BMMC22_Normoblast)	7.98464201447287e-10	2.20376119599451e-07	TRUE
scE2G (Multiome) (K562)	ABC (A=scATAC, C=power law) (BMMC22_Proerythroblast)	2.06180606530051e-16	5.6905847402294e-14	TRUE
scE2G (Multiome) (K562)	In element (ABC (A=scATAC)) & distance to TSS (K562)	6.88685554447106e-08	1.90077213027401e-05	TRUE
scE2G (Multiome) (K562)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Erythroblast)	5.41855254653735e-08	1.49552050284431e-05	TRUE
scE2G (Multiome) (K562)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Normoblast)	0.00866702476871001	1	FALSE
scE2G (Multiome) (K562)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Proerythroblast)	1.28881612454772e-15	3.5571325037517e-13	TRUE
scE2G (Multiome) (K562)	SnapATAC (p-value) (K562)	4.39096988634644e-18	1.21190768863162e-15	TRUE
scE2G (Multiome) (K562)	FigR (p-value) (K562)	5.94527428536584e-18	1.64089570276097e-15	TRUE
scE2G (Multiome) (K562)	SCENIC+ (importance) (K562)	7.34330404687445e-17	2.02675191693735e-14	TRUE
scE2G (Multiome) (K562)	DIRECTNET (high-confidence) (K562)	4.78080032791635e-19	1.31950089050491e-16	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	scE2G (Multiome) (BMMC22_Normoblast)	4.11808992471184e-06	0.00113659281922047	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	scE2G (Multiome) (BMMC22_Proerythroblast)	2.05359004500512e-06	0.000566790852421413	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	scE2G (scATAC) (K562)	0.175965654776731	1	FALSE
scE2G (Multiome) (BMMC22_Erythroblast)	scE2G (scATAC) (BMMC22_Erythroblast)	0.0771865770992595	1	FALSE
scE2G (Multiome) (BMMC22_Erythroblast)	scE2G (scATAC) (BMMC22_Normoblast)	0.355886859477951	1	FALSE
scE2G (Multiome) (BMMC22_Erythroblast)	scE2G (scATAC) (BMMC22_Proerythroblast)	5.0005129769824e-05	0.0138014158164714	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	Kendall correlation (access. at E x expr. at G) (K562)	1.45510201969598e-33	4.01608157436091e-31	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	Kendall correlation (access. at E x expr. at G) (BMMC22_Erythroblast)	1.29742286857857e-11	3.58088711727684e-09	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	Kendall correlation (access. at E x expr. at G) (BMMC22_Normoblast)	7.45949802301087e-08	2.058821454351e-05	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	Kendall correlation (access. at E x expr. at G) (BMMC22_Proerythroblast)	4.88650930169628e-12	1.34867656726817e-09	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	ABC (A=scATAC, C=power law) (K562)	4.0826669570602e-06	0.00112681608014862	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	ABC (A=scATAC, C=power law) (BMMC22_Erythroblast)	7.78409384789993e-07	0.000214840990202038	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	ABC (A=scATAC, C=power law) (BMMC22_Normoblast)	2.14900099216585e-06	0.000593124273837774	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	ABC (A=scATAC, C=power law) (BMMC22_Proerythroblast)	8.30156447459545e-12	2.29123179498834e-09	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	In element (ABC (A=scATAC)) & distance to TSS (K562)	7.38459310385248e-05	0.0203814769666328	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Erythroblast)	6.31493684274474e-05	0.0174292256859755	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Normoblast)	0.236415370638821	1	FALSE
scE2G (Multiome) (BMMC22_Erythroblast)	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Proerythroblast)	3.98951174243225e-11	1.1011052409113e-08	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	SnapATAC (p-value) (K562)	9.7850541894226e-26	2.70067495628064e-23	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	FigR (p-value) (K562)	1.40436298236292e-25	3.87604183132165e-23	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	SCENIC+ (importance) (K562)	3.22395934310157e-24	8.89812778696033e-22	TRUE
scE2G (Multiome) (BMMC22_Erythroblast)	DIRECTNET (high-confidence) (K562)	6.8050702434409e-27	1.87819938718969e-24	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	scE2G (Multiome) (BMMC22_Proerythroblast)	2.47326164446085e-20	6.82620213871193e-18	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	scE2G (scATAC) (K562)	3.6412028072494e-09	1.00497197480084e-06	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	scE2G (scATAC) (BMMC22_Erythroblast)	2.79781185716624e-10	7.72196072577882e-08	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	scE2G (scATAC) (BMMC22_Normoblast)	5.36925280574299e-08	1.48191377438507e-05	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	scE2G (scATAC) (BMMC22_Proerythroblast)	8.09147386419852e-18	2.23324678651879e-15	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	Kendall correlation (access. at E x expr. at G) (K562)	2.25209162474729e-12	6.21577288430251e-10	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	Kendall correlation (access. at E x expr. at G) (BMMC22_Erythroblast)	0.0776542418881395	1	FALSE
scE2G (Multiome) (BMMC22_Normoblast)	Kendall correlation (access. at E x expr. at G) (BMMC22_Normoblast)	0.504356453595292	1	FALSE
scE2G (Multiome) (BMMC22_Normoblast)	Kendall correlation (access. at E x expr. at G) (BMMC22_Proerythroblast)	0.0658720000000124	1	FALSE
scE2G (Multiome) (BMMC22_Normoblast)	ABC (A=scATAC, C=power law) (K562)	1.07874803408351e-19	2.97734457407048e-17	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	ABC (A=scATAC, C=power law) (BMMC22_Erythroblast)	7.58151049750051e-21	2.09249689731014e-18	TRUE
scE2G (Multiome) (BMMC22_Normoblast)	ABC (A=scATAC, C=power law) (BMMC22_Normoblast)	4.51719380267837e-20	1.24674548953923e-17	TRUE
