Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_B1_B	-989937	B	115	107	498	0.230923694779117	0.214859437751004	0.930434782608696	ABC_distanceToTSS	7.57603841166522	6.43352262842947	8.92145117534751	0.0834036729347308	4.64536545234787e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B)	#96A0B3
BMMC22_Lymph_prog	-989937	B	111	102	498	0.22289156626506	0.204819277108434	0.918918918918919	ABC_distanceToTSS	6.44736395948652	5.4591301353866	7.61449186870172	0.0848902831537004	1.64155968158437e-49	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#808999
BMMC22_Naive_CD20_pos_B	-989937	B	121	112	498	0.242971887550201	0.224899598393574	0.925619834710744	ABC_distanceToTSS	7.49564820193613	6.40050411213994	8.77817449732153	0.0805861020184831	3.87005773995959e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Naive_CD20_pos_B)	#6B727F
BMMC22_Plasma_cell	-989937	B	104	97	498	0.208835341365462	0.194779116465863	0.932692307692308	ABC_distanceToTSS	7.64767110387176	6.42165133293293	9.10776220643588	0.0891474896512067	5.73115098105577e-52	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Plasma_cell)	#555B66
BMMC22_Transitional_B	-989937	B	122	112	498	0.244979919678715	0.224899598393574	0.918032786885246	ABC_distanceToTSS	7.59191014144911	6.48270127612969	8.89090783930869	0.0805861431281653	1.00119931632478e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Transitional_B)	#40444C
PBMC_17_B	-989937	B	117	110	498	0.234939759036145	0.220883534136546	0.94017094017094	ABC_distanceToTSS	8.50677160201137	7.2375162811081	9.99861834890513	0.0824425419147488	1.98836290787067e-64	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_17_B)	#2A2D33
BMMC22_B1_B	-969734.204081633	B	115	107	498	0.230923694779117	0.214859437751004	0.930434782608696	ABC_distanceToTSS	7.5775889298142	6.43483930957148	8.9232770589677	0.0834036736326887	4.5508345138815e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B)	#96A0B3
BMMC22_Lymph_prog	-969734.204081633	B	111	102	498	0.22289156626506	0.204819277108434	0.918918918918919	ABC_distanceToTSS	6.44896057968445	5.46048202222315	7.61637752657441	0.0848902838923751	1.60313284912111e-49	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#808999
BMMC22_Naive_CD20_pos_B	-969734.204081633	B	121	112	498	0.242971887550201	0.224899598393574	0.925619834710744	ABC_distanceToTSS	7.49740019450382	6.40200012221947	8.78022627357565	0.0805861027666901	3.7754695436607e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Naive_CD20_pos_B)	#6B727F
BMMC22_Plasma_cell	-969734.204081633	B	104	97	498	0.208835341365462	0.194779116465863	0.932692307692308	ABC_distanceToTSS	7.65050684457725	6.42403245019054	9.11113937121962	0.0891474910681155	5.54215297991308e-52	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Plasma_cell)	#555B66
BMMC22_Transitional_B	-969734.204081633	B	122	112	498	0.244979919678715	0.224899598393574	0.918032786885246	ABC_distanceToTSS	7.59412609617708	6.48459345885607	8.89350296677061	0.0805861440745122	9.70690695818999e-62	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Transitional_B)	#40444C
PBMC_17_B	-969734.204081633	B	117	110	498	0.234939759036145	0.220883534136546	0.94017094017094	ABC_distanceToTSS	8.50853187093231	7.2390138975514	10.0006873343838	0.0824425426931007	1.94618715648674e-64	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_17_B)	#2A2D33
BMMC22_B1_B	-949531.408163265	B	115	107	498	0.230923694779117	0.214859437751004	0.930434782608696	ABC_distanceToTSS	7.57947624959747	6.43644199855753	8.92549955877594	0.0834036744822562	4.43838389221329e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B)	#96A0B3
BMMC22_Lymph_prog	-949531.408163265	B	111	102	498	0.22289156626506	0.204819277108434	0.918918918918919	ABC_distanceToTSS	6.45078900734157	5.46203018457057	7.61853695623808	0.0848902847382954	1.56024023135509e-49	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#808999
BMMC22_Naive_CD20_pos_B	-949531.408163265	B	121	111	498	0.242971887550201	0.22289156626506	0.917355371900826	ABC_distanceToTSS	7.49929710943609	6.40361988014674	8.78244776988663	0.0805861035767878	3.67568310922874e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Naive_CD20_pos_B)	#6B727F
BMMC22_Plasma_cell	-949531.408163265	B	104	97	498	0.208835341365462	0.194779116465863	0.932692307692308	ABC_distanceToTSS	7.65334468903645	6.42641533391667	9.11451904144264	0.0891474924860754	5.35931303032902e-52	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Plasma_cell)	#555B66
BMMC22_Transitional_B	-949531.408163265	B	122	111	498	0.244979919678715	0.22289156626506	0.909836065573771	ABC_distanceToTSS	7.59626941573513	6.48642361909305	8.89601303044423	0.0805861449898396	9.42073997754359e-62	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Transitional_B)	#40444C
PBMC_17_B	-949531.408163265	B	117	110	498	0.234939759036145	0.220883534136546	0.94017094017094	ABC_distanceToTSS	8.51109356292555	7.24119335546931	10.0036982967951	0.082442543825824	1.88641596593434e-64	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_17_B)	#2A2D33
BMMC22_B1_B	-929328.612244898	B	115	107	498	0.230923694779117	0.214859437751004	0.930434782608696	ABC_distanceToTSS	7.58203726800287	6.43861678420418	8.92851540324899	0.0834036756350857	4.29026089846905e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B)	#96A0B3
BMMC22_Lymph_prog	-929328.612244898	B	111	102	498	0.22289156626506	0.204819277108434	0.918918918918919	ABC_distanceToTSS	6.45288816515934	5.46380757897311	7.62101612661101	0.0848902857094686	1.51242209776996e-49	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#808999
BMMC22_Naive_CD20_pos_B	-929328.612244898	B	121	111	498	0.242971887550201	0.22289156626506	0.917355371900826	ABC_distanceToTSS	7.50150738508672	6.40550721385547	8.78503624612111	0.0805861045207094	3.56276134140763e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Naive_CD20_pos_B)	#6B727F
BMMC22_Plasma_cell	-929328.612244898	B	104	96	498	0.208835341365462	0.192771084337349	0.923076923076923	ABC_distanceToTSS	7.65600891139482	6.42865243047275	9.11769194015153	0.0891474938172832	5.19320466773e-52	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Plasma_cell)	#555B66
BMMC22_Transitional_B	-929328.612244898	B	122	111	498	0.244979919678715	0.22289156626506	0.909836065573771	ABC_distanceToTSS	7.59898109249682	6.48873909414481	8.89918870312272	0.0805861461478899	9.07084242311304e-62	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Transitional_B)	#40444C
PBMC_17_B	-929328.612244898	B	117	110	498	0.234939759036145	0.220883534136546	0.94017094017094	ABC_distanceToTSS	8.5139452584501	7.24361954502593	10.007050123672	0.0824425450867804	1.82205292384902e-64	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_17_B)	#2A2D33
BMMC22_B1_B	-909125.816326531	B	115	107	498	0.230923694779117	0.214859437751004	0.930434782608696	ABC_distanceToTSS	7.58434107541223	6.44057314939642	8.93122835714953	0.083403676672133	4.16127863396943e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B)	#96A0B3
BMMC22_Lymph_prog	-909125.816326531	B	111	102	498	0.22289156626506	0.204819277108434	0.918918918918919	ABC_distanceToTSS	6.45502724410912	5.4656187753039	7.62354244508649	0.0848902866991113	1.46521494559426e-49	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#808999
BMMC22_Naive_CD20_pos_B	-909125.816326531	B	121	111	498	0.242971887550201	0.22289156626506	0.917355371900826	ABC_distanceToTSS	7.50383919586298	6.40749832526386	8.78776705338441	0.080586105516534	3.44741906883796e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Naive_CD20_pos_B)	#6B727F
BMMC22_Plasma_cell	-909125.816326531	B	104	96	498	0.208835341365462	0.192771084337349	0.923076923076923	ABC_distanceToTSS	7.65973021408863	6.43177713714831	9.12212374613399	0.0891474956766727	4.96985223047571e-52	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Plasma_cell)	#555B66
BMMC22_Transitional_B	-909125.816326531	B	122	111	498	0.244979919678715	0.22289156626506	0.909836065573771	ABC_distanceToTSS	7.60174406231616	6.49109836784088	8.90242444564591	0.0805861473278455	8.7277970334342e-62	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Transitional_B)	#40444C
PBMC_17_B	-909125.816326531	B	117	110	498	0.234939759036145	0.220883534136546	0.94017094017094	ABC_distanceToTSS	8.51695923733142	7.24618380337176	10.0105926952352	0.0824425464194949	1.75643252658336e-64	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_17_B)	#2A2D33
BMMC22_B1_B	-888923.020408163	B	115	107	498	0.230923694779117	0.214859437751004	0.930434782608696	ABC_distanceToTSS	7.58620585440869	6.44215669700186	8.93342431304852	0.0834036775115539	4.05974554077774e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B)	#96A0B3
BMMC22_Lymph_prog	-888923.020408163	B	111	102	498	0.22289156626506	0.204819277108434	0.918918918918919	ABC_distanceToTSS	6.4569362681215	5.46723518000663	7.62579706156563	0.0848902875823193	1.42434137525616e-49	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#808999
BMMC22_Naive_CD20_pos_B	-888923.020408163	B	121	111	498	0.242971887550201	0.22289156626506	0.917355371900826	ABC_distanceToTSS	7.50518605606301	6.40864839658562	8.78934437503745	0.0805861060917249	3.38252013824043e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Naive_CD20_pos_B)	#6B727F
BMMC22_Plasma_cell	-888923.020408163	B	104	96	498	0.208835341365462	0.192771084337349	0.923076923076923	ABC_distanceToTSS	7.66222287126135	6.43387017367367	9.12509232298635	0.089147496922156	4.82569187982373e-52	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Plasma_cell)	#555B66
BMMC22_Transitional_B	-888923.020408163	B	122	111	498	0.244979919678715	0.22289156626506	0.909836065573771	ABC_distanceToTSS	7.60366946062715	6.49274244717174	8.90467929952446	0.0805861481501072	8.49650529567396e-62	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Transitional_B)	#40444C
PBMC_17_B	-888923.020408163	B	117	110	498	0.234939759036145	0.220883534136546	0.94017094017094	ABC_distanceToTSS	8.51843494094372	7.24743931491914	10.0123272082756	0.0824425470720183	1.72517799676317e-64	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_17_B)	#2A2D33
BMMC22_B1_B	-868720.224489796	B	115	107	498	0.230923694779117	0.214859437751004	0.930434782608696	ABC_distanceToTSS	7.58778645431551	6.44349892318241	8.93528562085306	0.083403678223053	3.97564429569577e-58	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_B1_B)	#96A0B3
