Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
GM12878	-989937	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.10332469248922	6.58099785100326	7.66710806313894	0.0389683477179296	2.35332468919077e-263	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-969734.204081633	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.10707260489903	6.58447014674709	7.67115346954072	0.0389683494569571	1.85050098606179e-263	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-949531.408163265	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.11110602431106	6.58820695364837	7.67550704535623	0.0389683513284597	1.42888707496259e-263	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-929328.612244898	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.11540242465062	6.59218740216559	7.68014447648922	0.0389683533219851	1.0850405665185e-263	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-909125.816326531	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.12050379618861	6.59691362528165	7.6856507742091	0.0389683556890163	7.82665880246439e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-888923.020408163	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.12516489020544	6.60123194829121	7.69068184700859	0.0389683578517592	5.80802253318677e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-868720.224489796	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.12961981242867	6.60535926108804	7.6954903829716	0.0389683599188386	4.36796690496207e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-848517.428571429	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.13384416396894	6.60927295905159	7.70005004651774	0.0389683618789334	3.33424371271227e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-828314.632653061	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.13880649296447	6.61387036448457	7.70540626524107	0.038968364181449	2.42830840445922e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-808111.836734694	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.14495990200109	6.61957125934176	7.71204810721832	0.0389683670366246	1.63936718394298e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-787909.040816327	LCL	549	498	2398	0.228940783986656	0.20767306088407	0.907103825136612	ABC_distanceToTSS	7.15126630056077	6.62541389299328	7.71885508249077	0.0389683699627871	1.09632448618668e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-767706.244897959	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.14318069360361	6.61728954600908	7.7108656144939	0.039017196787485	6.72191580381002e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-747503.448979592	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.15156431824983	6.62505590564553	7.71991556395487	0.039017200685076	3.94135438270401e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-727300.653061224	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.15884764896959	6.6318029831091	7.72777776898479	0.0390172040711346	2.47980985961008e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-707097.857142857	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.1671487025017	6.63949285091408	7.73673858489053	0.0390172079303378	1.46315557709552e-264	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-686895.06122449	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.17613932074465	6.64782151238055	7.74644377181791	0.0390172121101233	8.26779586974277e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-666692.265306122	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.1851525233495	6.65617109524177	7.75617333825769	0.0390172163004084	4.66807445926797e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-646489.469387755	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.19534354720011	6.6656117791277	7.76717433864855	0.0390172210382687	2.44777581846813e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-626286.673469388	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.20566007396688	6.67516872528087	7.77831081706113	0.039017225834476	1.2743982844287e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-606083.87755102	LCL	548	498	2398	0.228523769808174	0.20767306088407	0.908759124087591	ABC_distanceToTSS	7.21852473320357	6.68708619089565	7.792197952348	0.0390172318153234	5.65352464619217e-266	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-585881.081632653	LCL	547	498	2398	0.228106755629691	0.20767306088407	0.910420475319927	ABC_distanceToTSS	7.21609851158663	6.68419715591885	7.79032642429061	0.0390661910647178	2.43327990448406e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-565678.285714286	LCL	547	497	2398	0.228106755629691	0.207256046705588	0.908592321755027	ABC_distanceToTSS	7.22953703547795	6.69664503896002	7.80483442727975	0.0390661973245842	1.04394567706448e-265	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-545475.489795918	LCL	547	497	2398	0.228106755629691	0.207256046705588	0.908592321755027	ABC_distanceToTSS	7.24454113657072	6.71054308998119	7.82103260134382	0.0390662043137199	4.06492196397487e-266	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-525272.693877551	LCL	547	496	2398	0.228106755629691	0.206839032527106	0.906764168190128	ABC_distanceToTSS	7.26196514770702	6.72668266322846	7.83984326996642	0.0390662124300862	1.36235091225782e-266	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-505069.897959184	LCL	547	496	2398	0.228106755629691	0.206839032527106	0.906764168190128	ABC_distanceToTSS	7.27601907147312	6.73970057992637	7.85501564952592	0.0390662189766151	5.65036906694531e-267	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-484867.102040816	LCL	546	496	2398	0.227689741451209	0.206839032527106	0.908424908424908	ABC_distanceToTSS	7.2783821656051	6.74124082701256	7.85832286785022	0.0391153108801492	1.81320272582863e-266	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-464664.306122449	LCL	546	496	2398	0.227689741451209	0.206839032527106	0.908424908424908	ABC_distanceToTSS	7.30192194965681	6.76304323992964	7.88373846910887	0.0391153218668348	4.17988279886159e-267	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-444461.510204082	LCL	546	496	2398	0.227689741451209	0.206839032527106	0.908424908424908	ABC_distanceToTSS	7.32438740488025	6.78385061477481	7.90799413240754	0.0391153323521005	1.03428186778998e-267	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-424258.714285714	LCL	546	496	2398	0.227689741451209	0.206839032527106	0.908424908424908	ABC_distanceToTSS	7.35026809973379	6.80782116377545	7.935937187281	0.0391153444313556	2.07932257107842e-268	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-404055.918367347	LCL	546	496	2398	0.227689741451209	0.206839032527106	0.908424908424908	ABC_distanceToTSS	7.380041850372	6.83539743699029	7.96808352627757	0.0391153583276104	3.30409524940454e-269	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-383853.12244898	LCL	546	495	2398	0.227689741451209	0.206422018348624	0.906593406593407	ABC_distanceToTSS	7.41421178481705	6.8670454280117	8.00497637104408	0.0391153742756889	4.03364875106833e-270	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-363650.326530612	LCL	544	494	2398	0.226855713094245	0.206005004170142	0.908088235294118	ABC_distanceToTSS	7.42385076963214	6.87464465773969	8.01693221884846	0.0392139543098511	3.19933570894084e-269	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-343447.530612245	LCL	543	493	2398	0.226438698915763	0.20558798999166	0.907918968692449	ABC_distanceToTSS	7.44666774464217	6.89510472752145	8.04235217454449	0.039263450911029	3.01624512919696e-269	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-323244.734693878	LCL	543	493	2398	0.226438698915763	0.20558798999166	0.907918968692449	ABC_distanceToTSS	7.49345764554397	6.93842867500809	8.0928853081416	0.0392634728784241	1.76598977035983e-270	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-303041.93877551	LCL	543	493	2398	0.226438698915763	0.20558798999166	0.907918968692449	ABC_distanceToTSS	7.54730552130283	6.98828777452832	8.15104106609761	0.0392634981594686	6.86956999666617e-272	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-286443.142857143	LCL	543	493	2398	0.226438698915763	0.20558798999166	0.907918968692449	ABC_distanceToTSS	7.59859718312874	7.03578000682303	8.20643611589038	0.0392635222403959	3.17690403598711e-273	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-282839.142857143	LCL	543	493	2398	0.226438698915763	0.20558798999166	0.907918968692449	ABC_distanceToTSS	7.61097845312751	7.04724413365185	8.21980790155397	0.0392635280532796	1.51689196636063e-273	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-262636.346938776	LCL	538	490	2398	0.224353628023353	0.204336947456214	0.910780669144981	ABC_distanceToTSS	7.6099647460416	7.04286149818382	8.2227321169002	0.0395129652860857	1.39059274816918e-270	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
GM12878	-242433.551020408	LCL	537	487	2398	0.223936613844871	0.203085904920767	0.906890130353817	ABC_distanceToTSS	7.68260042341175	7.10938296776715	8.30203542746322	0.0395632934723031	7.55305456980865e-272	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (GM12878)	#96a0b3
