Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_ILC	-989937	NK	196	182	699	0.280400572246066	0.260371959942775	0.928571428571429	ABC_distanceToTSS	11.1001158392871	9.83425892747319	12.5289127075334	0.061778403442737	1.47765179517942e-131	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_ILC)	#96A0B3
BMMC22_Lymph_prog	-989937	NK	166	143	699	0.237482117310444	0.204577968526466	0.86144578313253	ABC_distanceToTSS	6.81796587833115	5.95101598150677	7.81121389398758	0.069388627523647	6.44070495539864e-78	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#78808F
BMMC22_NK	-989937	NK	220	201	699	0.314735336194564	0.28755364806867	0.913636363636364	ABC_distanceToTSS	9.17922152302715	8.20672625182994	10.2669572717887	0.0571379412399849	1.81732616997045e-132	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_NK)	#59606B
PBMC_25_NK	-989937	NK	198	179	699	0.283261802575107	0.256080114449213	0.904040404040404	ABC_distanceToTSS	10.5962144767454	9.38782587526681	11.9601452699503	0.0617782179786467	5.53897243359193e-128	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_25_NK)	#3B3F47
BMMC22_ILC	-969734.204081633	NK	196	182	699	0.280400572246066	0.260371959942775	0.928571428571429	ABC_distanceToTSS	11.105015711399	9.83859998352515	12.5344433310554	0.061778405246166	1.36635819952778e-131	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_ILC)	#96A0B3
BMMC22_Lymph_prog	-969734.204081633	NK	166	143	699	0.237482117310444	0.204577968526466	0.86144578313253	ABC_distanceToTSS	6.8196542741001	5.95248967785948	7.81314826823454	0.0693886282623218	6.21872606469233e-78	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#78808F
BMMC22_NK	-969734.204081633	NK	220	201	699	0.314735336194564	0.28755364806867	0.913636363636364	ABC_distanceToTSS	9.18058286061384	8.20794335489337	10.2684799366152	0.0571379416887918	1.76535154928013e-132	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_NK)	#59606B
PBMC_25_NK	-969734.204081633	NK	198	179	699	0.283261802575107	0.256080114449213	0.904040404040404	ABC_distanceToTSS	10.5987359185419	9.39005975564096	11.9629912901787	0.0617782189066793	5.31077489897706e-128	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_25_NK)	#3B3F47
BMMC22_ILC	-949531.408163265	NK	196	182	699	0.280400572246066	0.260371959942775	0.928571428571429	ABC_distanceToTSS	11.1124190854862	9.84515902442809	12.542799727773	0.0617784079710248	1.21396984089258e-131	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_ILC)	#96A0B3
BMMC22_Lymph_prog	-949531.408163265	NK	166	143	699	0.237482117310444	0.204577968526466	0.86144578313253	ABC_distanceToTSS	6.82158780188845	5.95417733480171	7.81536348722522	0.069388629108242	5.97395554174117e-78	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#78808F
BMMC22_NK	-949531.408163265	NK	220	201	699	0.314735336194564	0.28755364806867	0.913636363636364	ABC_distanceToTSS	9.18275072096437	8.20988152915191	10.270904702334	0.0571379424034937	1.68564921905546e-132	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_NK)	#59606B
PBMC_25_NK	-949531.408163265	NK	198	179	699	0.283261802575107	0.256080114449213	0.904040404040404	ABC_distanceToTSS	10.6021272890474	9.39306435245216	11.9668192227192	0.0617782201548947	5.01867521002573e-128	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_25_NK)	#3B3F47
