Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD4_pos_T_activated	-989937	T	85	75	298	0.285234899328859	0.251677852348993	0.882352941176471	ABC_distanceToTSS	8.552430964211	7.10010228659221	10.3018340363518	0.0949539771129445	7.1363404366698e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-989937	T	79	74	298	0.26510067114094	0.248322147651007	0.936708860759494	ABC_distanceToTSS	8.15556256900222	6.70203882972031	9.92432340468637	0.10014900107455	1.71342970036936e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#858E9F
BMMC22_CD8_pos_T	-989937	T	78	73	298	0.261744966442953	0.24496644295302	0.935897435897436	ABC_distanceToTSS	9.07404941285051	7.44338853600386	11.0619474381298	0.101069425144675	5.46433019584869e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD8_pos_T)	#747C8B
BMMC22_CD8_pos_T_naive	-989937	T	68	60	298	0.228187919463087	0.201342281879195	0.882352941176471	ABC_distanceToTSS	7.96994602150444	6.42189078854478	9.89117406029391	0.110188315745951	1.30169979362451e-33	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD8_pos_T_naive)	#646A77
BMMC22_Lymph_prog	-989937	T	82	71	298	0.275167785234899	0.238255033557047	0.865853658536585	ABC_distanceToTSS	7.59743091431944	6.25445108738018	9.22878054228008	0.0992450727849533	5.19339756613596e-39	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#535863
PBMC_20_CD4.N1	-989937	T	60	56	298	0.201342281879195	0.187919463087248	0.933333333333333	ABC_distanceToTSS	7.81923032413559	6.18177002413059	9.89042986445947	0.119890715038621	2.4475819829669e-28	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#42474F
PBMC_22_CD4.M	-989937	T	78	72	298	0.261744966442953	0.241610738255034	0.923076923076923	ABC_distanceToTSS	8.53622012763218	7.01485167772737	10.3875402381993	0.100149152546092	7.58797128493209e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#32353B
PBMC_24_CD8.CM	-989937	T	66	60	298	0.221476510067114	0.201342281879195	0.909090909090909	ABC_distanceToTSS	8.36251630375645	6.70837251961202	10.4245372072207	0.11245257605024	1.39730241694883e-33	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_24_CD8.CM)	#212327
BMMC22_CD4_pos_T_activated	-969734.204081633	T	85	75	298	0.285234899328859	0.251677852348993	0.882352941176471	ABC_distanceToTSS	8.55337336007711	7.10088464493969	10.3029692066626	0.0949539774598185	7.07827656635279e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-969734.204081633	T	79	74	298	0.26510067114094	0.248322147651007	0.936708860759494	ABC_distanceToTSS	8.15648901863291	6.70280015818147	9.92545078788819	0.100149001443203	1.70021238163143e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#858E9F
BMMC22_CD8_pos_T	-969734.204081633	T	78	73	298	0.261744966442953	0.24496644295302	0.935897435897436	ABC_distanceToTSS	9.07531168131955	7.44442395986066	11.0634862491949	0.101069425653838	5.41293437913437e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD8_pos_T)	#747C8B
BMMC22_CD8_pos_T_naive	-969734.204081633	T	68	60	298	0.228187919463087	0.201342281879195	0.882352941176471	ABC_distanceToTSS	7.97079364556881	6.42257376808197	9.89222601941615	0.110188316135939	1.29359747074299e-33	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD8_pos_T_naive)	#646A77
