Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD4_pos_T_activated	-989937	T_CD4_pos	771	680	3772	0.20440084835631	0.180275715800636	0.881971465629053	ABC_distanceToTSS	6.06257849653165	5.67933904798336	6.47167878446332	0.0333171136846791	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-989937	T_CD4_pos	775	695	3772	0.205461293743372	0.184252386002121	0.896774193548387	ABC_distanceToTSS	6.62314791847381	6.2075861696235	7.06652910669856	0.0330611449933228	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-969734.204081633	T_CD4_pos	771	680	3772	0.20440084835631	0.180275715800636	0.881971465629053	ABC_distanceToTSS	6.06324653453594	5.67996485281448	6.47239190579599	0.0333171140315531	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-969734.204081633	T_CD4_pos	775	693	3772	0.205461293743372	0.18372216330859	0.894193548387097	ABC_distanceToTSS	6.62416044299804	6.20853515814973	7.06760942103725	0.0330611455126048	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-949531.408163265	T_CD4_pos	771	680	3772	0.20440084835631	0.180275715800636	0.881971465629053	ABC_distanceToTSS	6.06502232247919	5.68162837594344	6.47428753487645	0.0333171149536183	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-949531.408163265	T_CD4_pos	775	693	3772	0.205461293743372	0.18372216330859	0.894193548387097	ABC_distanceToTSS	6.62584867200859	6.21011745064533	7.06941067914842	0.0330611463784278	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-929328.612244898	T_CD4_pos	771	680	3772	0.20440084835631	0.180275715800636	0.881971465629053	ABC_distanceToTSS	6.06683737370283	5.68332868013302	6.47622507697302	0.0333171158960707	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-929328.612244898	T_CD4_pos	775	693	3772	0.205461293743372	0.18372216330859	0.894193548387097	ABC_distanceToTSS	6.62834883076969	6.21246072422024	7.07207822676101	0.033061147660656	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-909125.816326531	T_CD4_pos	771	679	3772	0.20440084835631	0.180010604453871	0.880674448767834	ABC_distanceToTSS	6.06769751403666	5.68413444263174	6.47714326489443	0.0333171163426924	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-909125.816326531	T_CD4_pos	775	692	3772	0.205461293743372	0.183457051961824	0.892903225806452	ABC_distanceToTSS	6.6294531048507	6.21349570500002	7.07325643341931	0.0330611482269926	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-888923.020408163	T_CD4_pos	771	679	3772	0.20440084835631	0.180010604453871	0.880674448767834	ABC_distanceToTSS	6.06922725477428	5.68556747357758	6.47877624199869	0.0333171171369993	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-888923.020408163	T_CD4_pos	775	692	3772	0.205461293743372	0.183457051961824	0.892903225806452	ABC_distanceToTSS	6.63082832764407	6.21478463243206	7.07472372916018	0.0330611489322876	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-868720.224489796	T_CD4_pos	771	678	3772	0.20440084835631	0.179745493107105	0.879377431906615	ABC_distanceToTSS	6.0708534496861	5.68709086088617	6.48051218260698	0.0333171179813894	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-868720.224489796	T_CD4_pos	775	690	3772	0.205461293743372	0.182926829268293	0.890322580645161	ABC_distanceToTSS	6.6327455734136	6.21658157084089	7.07676933702438	0.0330611499155638	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-848517.428571429	T_CD4_pos	771	678	3772	0.20440084835631	0.179745493107105	0.879377431906615	ABC_distanceToTSS	6.07234648960676	5.68848951122174	6.48210598210633	0.0333171187566397	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-848517.428571429	T_CD4_pos	775	690	3772	0.205461293743372	0.182926829268293	0.890322580645161	ABC_distanceToTSS	6.63421245078813	6.21795640151116	7.07833442374986	0.0330611506678646	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-828314.632653061	T_CD4_pos	770	678	3772	0.204135737009544	0.179745493107105	0.880519480519481	ABC_distanceToTSS	6.06572632967038	5.68196776208087	6.47540384723725	0.0333458592039724	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
PBMC_22_CD4.M	-828314.632653061	T_CD4_pos	775	690	3772	0.205461293743372	0.182926829268293	0.890322580645161	ABC_distanceToTSS	6.63549932346449	6.21916252279301	7.07970745423196	0.0330611513278485	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#646A77
BMMC22_CD4_pos_T_activated	-808111.836734694	T_CD4_pos	770	678	3772	0.204135737009544	0.179745493107105	0.880519480519481	ABC_distanceToTSS	6.06695095966953	5.68311490667248	6.47671119649881	0.0333458598407335	0	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
