Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD4_pos_T_naive	-989937	T_CD4_pos_naive	30	28	105	0.285714285714286	0.266666666666667	0.933333333333333	ABC_distanceToTSS	9.03724500889435	6.67867225898907	12.228747598875	0.154306492629905	2.66258477996222e-16	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#96A0B3
PBMC_20_CD4.N1	-989937	T_CD4_pos_naive	22	20	105	0.20952380952381	0.19047619047619	0.909090909090909	ABC_distanceToTSS	8.39636399091703	5.79080778372332	12.1742822246881	0.189558053818989	3.51357851284752e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#646A77
BMMC22_CD4_pos_T_naive	-969734.204081633	T_CD4_pos_naive	30	28	105	0.285714285714286	0.266666666666667	0.933333333333333	ABC_distanceToTSS	9.03827161524188	6.6794309330885	12.230136760036	0.154306492998558	2.65392885792904e-16	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#96A0B3
PBMC_20_CD4.N1	-969734.204081633	T_CD4_pos_naive	22	20	105	0.20952380952381	0.19047619047619	0.909090909090909	ABC_distanceToTSS	8.39784869802758	5.79183174888318	12.1764349885617	0.189558054546022	3.50055799705565e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#646A77
BMMC22_CD4_pos_T_naive	-949531.408163265	T_CD4_pos_naive	30	28	105	0.285714285714286	0.266666666666667	0.933333333333333	ABC_distanceToTSS	9.04020813623463	6.6808620447514	12.2327571799881	0.154306493693961	2.63767987518887e-16	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#96A0B3
PBMC_20_CD4.N1	-949531.408163265	T_CD4_pos_naive	22	20	105	0.20952380952381	0.19047619047619	0.909090909090909	ABC_distanceToTSS	8.40081968802726	5.79388076596899	12.180742801141	0.189558056000859	3.47465402989498e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#646A77
BMMC22_CD4_pos_T_naive	-929328.612244898	T_CD4_pos_naive	30	28	105	0.285714285714286	0.266666666666667	0.933333333333333	ABC_distanceToTSS	9.0434081475581	6.68322689053775	12.2370873027086	0.154306494843083	2.61105381689838e-16	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#96A0B3
PBMC_20_CD4.N1	-929328.612244898	T_CD4_pos_naive	22	20	105	0.20952380952381	0.19047619047619	0.909090909090909	ABC_distanceToTSS	8.40389653145209	5.79600278748772	12.1852040968333	0.18955805750753	3.44803778482916e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#646A77
BMMC22_CD4_pos_T_naive	-909125.816326531	T_CD4_pos_naive	30	28	105	0.285714285714286	0.266666666666667	0.933333333333333	ABC_distanceToTSS	9.0453468704975	6.68465962945461	12.2397107022627	0.154306495539277	2.59505752567191e-16	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#96A0B3
PBMC_20_CD4.N1	-909125.816326531	T_CD4_pos_naive	22	20	105	0.20952380952381	0.19047619047619	0.909090909090909	ABC_distanceToTSS	8.40631810456863	5.79767288554793	12.1887152777023	0.189558058693327	3.42723953781323e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#646A77
