Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD4_pos_T_activated	-989937	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.17114438793449	6.91972425599083	9.64888168060576	0.0848143388863776	4.97334745333516e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-989937	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.6715079393438	7.36749866642382	10.206320129353	0.0831466539381956	1.86216561607357e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-989937	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.57971682432893	7.08170799586405	10.3946026620505	0.0979027111448347	4.81985480104014e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-989937	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.47116390197525	7.14114526763805	10.0488948431466	0.0871417791801896	6.9317965331353e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-969734.204081633	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.17204476967681	6.92048673853199	9.64994490138541	0.0848143392332515	4.92229057913905e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-969734.204081633	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.67249299895924	7.36833558882382	10.2074795468162	0.0831466543068492	1.84175313062353e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-969734.204081633	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.58123395324205	7.08296022569638	10.3964407272997	0.0979027118718672	4.75601487592922e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-969734.204081633	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.47245894495257	7.14223697458145	10.05043109454	0.0871417796994717	6.8368335860811e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-949531.408163265	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.17443817698609	6.92251358025575	9.65277116970262	0.0848143401553167	4.78912832356168e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-949531.408163265	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.67435114899798	7.36991430280454	10.2096665937471	0.0831466550022523	1.80386111225772e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-949531.408163265	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.58426982125738	7.08546601439153	10.4001188086255	0.0979027133267038	4.63082441791957e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-949531.408163265	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.47461823005816	7.1440572281	10.0529925576107	0.0871417805652946	6.6814097745945e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-929328.612244898	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.17688450335172	6.92458523613751	9.65565992779207	0.0848143410977691	4.65677851329399e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-929328.612244898	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.67742165594674	7.37252305458956	10.2132805876028	0.0831466561513739	1.74296252527172e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-929328.612244898	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.58741385423718	7.08806108183598	10.4039279363607	0.0979027148333748	4.50468618531663e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-929328.612244898	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.47781599264883	7.14675290666861	10.0567859199592	0.0871417818475228	6.45776679461131e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-909125.816326531	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.17804380064835	6.92556697965728	9.65702889045375	0.0848143415443908	4.59535451711924e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-909125.816326531	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.67928191881941	7.37410356365633	10.21547012136	0.0831466568475678	1.70708092930207e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-909125.816326531	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.58988830765914	7.09010348200338	10.4069258404124	0.0979027160191725	4.40786042231159e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-909125.816326531	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.47922838549406	7.14794353824353	10.0584613782548	0.0871417824138594	6.36140964033178e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-888923.020408163	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.18010558548963	6.92731298899248	9.65946356055882	0.0848143423386977	4.48812693687689e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-888923.020408163	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.68173530251459	7.37618799764641	10.2183577597233	0.0831466577657341	1.66089621871656e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-888923.020408163	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.59278876737562	7.09249750539779	10.4104398689662	0.0979027174091193	4.29704192579538e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-888923.020408163	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.48098732819439	7.1494263075165	10.0605479331081	0.0871417831191544	6.2434373619936e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-868720.224489796	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.18229737128424	6.92916908879941	9.66205174302149	0.0848143431830878	4.37690630564951e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-868720.224489796	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.68407718012102	7.37817769427471	10.2211141551683	0.0831466586421698	1.61798729144308e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-868720.224489796	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.59590363560568	7.09506850037792	10.414213662445	0.097902718901814	4.1811680991345e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-868720.224489796	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.48343953118818	7.15149348755458	10.063456871571	0.0871417841024306	6.08264583444111e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-848517.428571429	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.18430969075781	6.93087320869275	9.66442800168696	0.0848143439583381	4.27724382663685e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-848517.428571429	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.68625089538758	7.38002451748638	10.2236726231527	0.0831466594556717	1.57916115635972e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-848517.428571429	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.59809955821488	7.09688100272469	10.4168741147826	0.0979027199541354	4.1013840819962e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-848517.428571429	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.48531570228035	7.15307507905674	10.0656824892239	0.0871417848547315	5.96245400737507e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-828314.632653061	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.18671028875014	6.93290613976296	9.66726276121472	0.0848143448831735	4.16134306227352e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-828314.632653061	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.68811494621182	7.38160824483684	10.2258666153662	0.0831466601532832	1.54661582337969e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-828314.632653061	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.60072196723999	7.09904552458478	10.4200512733141	0.0979027212108358	4.00811998786414e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-828314.632653061	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.48696164307718	7.15446258895974	10.0676349950047	0.0871417855147153	5.85898771210138e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-808111.836734694	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.1883631313726	6.934305838972	9.66921452964961	0.0848143455199346	4.08339179201294e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-808111.836734694	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.69014936886086	7.38333672280566	10.2282611356259	0.0831466609146555	1.51186787773298e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-808111.836734694	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.60316862806223	7.10106498484367	10.4230155055402	0.0979027223833149	3.92304185736858e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-808111.836734694	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.48860822254128	7.15585063724861	10.0695882584129	0.0871417861749553	5.75729536960221e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-787909.040816327	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.19169667144881	6.93712882606526	9.67315095906715	0.0848143468041879	3.93063065434653e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-787909.040816327	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.69328763778174	7.38600304618342	10.231954885567	0.0831466620891366	1.45980476396875e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-787909.040816327	Tfh	86	75	390	0.220512820512821	0.192307692307692	0.872093023255814	ABC_distanceToTSS	8.60622003876634	7.10358360228448	10.4267124176371	0.0979027238455998	3.81949015872542e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-787909.040816327	Tfh	102	86	390	0.261538461538462	0.220512820512821	0.843137254901961	ABC_distanceToTSS	8.49083356396787	7.15772657546919	10.0722280812015	0.0871417870672653	5.62268510583406e-56	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-767706.244897959	Tfh	108	93	390	0.276923076923077	0.238461538461538	0.861111111111111	ABC_distanceToTSS	8.19505879990524	6.93997602303106	9.67712114725322	0.084814348099455	3.78240073874483e-57	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-767706.244897959	Tfh	111	95	390	0.284615384615385	0.243589743589744	0.855855855855856	ABC_distanceToTSS	8.6969093575966	7.38908011714376	10.2362176583746	0.0831466634445467	1.40196572201302e-61	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
