Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD4_pos_T_activated	-989937	Treg	218	197	955	0.228272251308901	0.206282722513089	0.903669724770642	ABC_distanceToTSS	6.88374751887015	6.11070151667796	7.75458918656396	0.0607774535628324	4.75895888857486e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-989937	Treg	211	188	955	0.220942408376963	0.196858638743455	0.890995260663507	ABC_distanceToTSS	6.86000275514897	6.07369441652664	7.74810758878506	0.0621137883415471	6.24529665414791e-100	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-989937	Treg	181	165	955	0.189528795811518	0.172774869109948	0.911602209944751	ABC_distanceToTSS	7.36394394308282	6.43382672773949	8.42852515176749	0.0688921604591361	6.65015499421621e-88	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-989937	Treg	213	192	955	0.22303664921466	0.201047120418848	0.901408450704225	ABC_distanceToTSS	7.25093138151477	6.42469721119048	8.18342159500673	0.0617258403612317	2.01677017500896e-105	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-969734.204081633	Treg	218	197	955	0.228272251308901	0.206282722513089	0.903669724770642	ABC_distanceToTSS	6.88450604182489	6.11137485322264	7.75544367319088	0.0607774539097063	4.66209062002827e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-969734.204081633	Treg	211	188	955	0.220942408376963	0.196858638743455	0.890995260663507	ABC_distanceToTSS	6.86078203272367	6.07438436723286	7.74898775824199	0.0621137887102007	6.11877927731526e-100	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-969734.204081633	Treg	181	165	955	0.189528795811518	0.172774869109948	0.911602209944751	ABC_distanceToTSS	7.36524609005333	6.43496439534301	8.43001555786452	0.0688921611861686	6.47204325963352e-88	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-969734.204081633	Treg	213	192	955	0.22303664921466	0.201047120418848	0.901408450704225	ABC_distanceToTSS	7.2520398794583	6.42567939069976	8.18467265724041	0.0617258408805137	1.96103796942797e-105	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-949531.408163265	Treg	218	197	955	0.228272251308901	0.206282722513089	0.903669724770642	ABC_distanceToTSS	6.88652235812585	6.11316472581544	7.75771508146973	0.0607774548317715	4.41411558540325e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-949531.408163265	Treg	211	188	955	0.220942408376963	0.196858638743455	0.890995260663507	ABC_distanceToTSS	6.86225200939605	6.0756858437209	7.75064805056161	0.0621137894056038	5.88709305434836e-100	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
