Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
K562	-989937	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.25512819097603	3.96157068055329	4.57043869254156	0.0364722546659048	8.95771911173057e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC22_Erythroblast	-989937	blood	568	499	2846	0.199578355586788	0.175333801827126	0.878521126760563	ABC_distanceToTSS	5.79561911171924	5.37369966540455	6.25066583165597	0.0385648334105035	3.68885417146264e-233	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Erythroblast)	#78808F
BMMC22_Normoblast	-989937	blood	447	404	2846	0.157062543921293	0.141953619114547	0.903803131991051	ABC_distanceToTSS	6.2353683574162	5.71144187950916	6.80735607100471	0.0447794688892042	5.52682043453924e-190	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Normoblast)	#59606B
BMMC22_Proerythroblast	-989937	blood	599	520	2846	0.21047083626142	0.182712579058327	0.868113522537563	ABC_distanceToTSS	5.77449562615848	5.36674842401302	6.21322206707606	0.0373622669677578	1.19980131592048e-245	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Proerythroblast)	#3B3F47
K562	-969734.204081633	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.25701044091847	3.96332306877653	4.57246042767923	0.0364722555630872	7.25604106128873e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC22_Erythroblast	-969734.204081633	blood	568	499	2846	0.199578355586788	0.175333801827126	0.878521126760563	ABC_distanceToTSS	5.79626642063125	5.37429984685832	6.25136396856925	0.0385648337476148	3.50282485233512e-233	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Erythroblast)	#78808F
BMMC22_Normoblast	-969734.204081633	blood	447	404	2846	0.157062543921293	0.141953619114547	0.903803131991051	ABC_distanceToTSS	6.23744184580274	5.71334112767656	6.80961978470081	0.0447794702710023	4.89662833051943e-190	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Normoblast)	#59606B
BMMC22_Proerythroblast	-969734.204081633	blood	599	520	2846	0.21047083626142	0.182712579058327	0.868113522537563	ABC_distanceToTSS	5.7755193997071	5.36769990179405	6.21432362961354	0.0373622674746447	1.10039161285335e-245	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Proerythroblast)	#3B3F47
K562	-949531.408163265	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.25822010362668	3.96444927344788	4.57375973312949	0.036472256139678	6.33742769839428e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC22_Erythroblast	-949531.408163265	blood	568	499	2846	0.199578355586788	0.175333801827126	0.878521126760563	ABC_distanceToTSS	5.79740393513813	5.37535454438607	6.25259080301163	0.0385648343400197	3.1983912823943e-233	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Erythroblast)	#78808F
BMMC22_Normoblast	-949531.408163265	blood	447	404	2846	0.157062543921293	0.141953619114547	0.903803131991051	ABC_distanceToTSS	6.24029514504812	5.71595465730282	6.81273485043464	0.044779472172476	4.14542315810016e-190	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Normoblast)	#59606B
BMMC22_Proerythroblast	-949531.408163265	blood	599	520	2846	0.21047083626142	0.182712579058327	0.868113522537563	ABC_distanceToTSS	5.77698964485199	5.36906632270473	6.21590558782941	0.0373622682025868	9.71882829927964e-246	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Proerythroblast)	#3B3F47
K562	-929328.612244898	blood	615	530	2846	0.216092761770907	0.186226282501757	0.861788617886179	ABC_distanceToTSS	4.25968990431786	3.96581766844675	4.57533845423967	0.0364722568402647	5.37651717638467e-191	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96A0B3
BMMC22_Erythroblast	-929328.612244898	blood	568	499	2846	0.199578355586788	0.175333801827126	0.878521126760563	ABC_distanceToTSS	5.79831426825494	5.3761986005101	6.25357261732459	0.038564834814111	2.97396321804429e-233	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Erythroblast)	#78808F
