Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_cDC2	-989937	dendritic	14	13	35	0.4	0.371428571428571	0.928571428571429	ABC_distanceToTSS	13.7220149516395	9.14533289941569	20.5890475944345	0.207023084892072	3.6985416777538e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_cDC2)	#96A0B3
BMMC22_pDC	-989937	dendritic	13	11	35	0.371428571428571	0.314285714285714	0.846153846153846	ABC_distanceToTSS	11.2903077199992	7.33723508432784	17.3731721755173	0.219893098555103	4.45674659844382e-07	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_pDC)	#707886
PBMC_10_cDC	-989937	dendritic	11	10	35	0.314285714285714	0.285714285714286	0.909090909090909	ABC_distanceToTSS	12.3000147995691	7.54012353798484	20.0647062753633	0.249679026360131	7.93528566373728e-06	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_10_cDC)	#4B5059
BMMC22_cDC2	-969734.204081633	dendritic	14	13	35	0.4	0.371428571428571	0.928571428571429	ABC_distanceToTSS	13.7252999493043	9.14752224187225	20.5939765673439	0.207023085734672	3.68578072550097e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_cDC2)	#96A0B3
BMMC22_pDC	-969734.204081633	dendritic	13	11	35	0.371428571428571	0.314285714285714	0.846153846153846	ABC_distanceToTSS	11.2927025996064	7.33879143581804	17.3768573638369	0.219893099216641	4.44415792901826e-07	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_pDC)	#707886
PBMC_10_cDC	-969734.204081633	dendritic	11	10	35	0.314285714285714	0.285714285714286	0.909090909090909	ABC_distanceToTSS	12.3028800473697	7.54187997101921	20.0693803191768	0.249679027295502	7.91415825356689e-06	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_10_cDC)	#4B5059
BMMC22_cDC2	-949531.408163265	dendritic	14	13	35	0.4	0.371428571428571	0.928571428571429	ABC_distanceToTSS	13.7309557603784	9.15129165315294	20.6024628259455	0.207023087185384	3.66391996564794e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_cDC2)	#96A0B3
BMMC22_pDC	-949531.408163265	dendritic	13	11	35	0.371428571428571	0.314285714285714	0.846153846153846	ABC_distanceToTSS	11.2967198250383	7.34140209513757	17.3830389824224	0.21989310032632	4.42312686013881e-07	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_pDC)	#707886
PBMC_10_cDC	-949531.408163265	dendritic	11	10	35	0.314285714285714	0.285714285714286	0.909090909090909	ABC_distanceToTSS	12.3071804228829	7.54451615542726	20.0763954693678	0.249679028699376	7.88256292844131e-06	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_10_cDC)	#4B5059
BMMC22_cDC2	-929328.612244898	dendritic	14	13	35	0.4	0.371428571428571	0.928571428571429	ABC_distanceToTSS	13.7370034460159	9.15532223586364	20.6115370725729	0.207023088736612	3.64069743817633e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_cDC2)	#96A0B3
