Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_G_M_prog	-989937	iPSC	89	74	656	0.135670731707317	0.112804878048781	0.831460674157303	ABC_distanceToTSS	3.97333050876723	3.26379739680207	4.83711254484399	0.100365772291041	2.35560125521315e-22	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_G_M_prog)	#96A0B3
BMMC22_HSC	-989937	iPSC	95	80	656	0.144817073170732	0.121951219512195	0.842105263157895	ABC_distanceToTSS	4.10741323474793	3.39539773660096	4.96873850716274	0.097130631381636	5.74681598532439e-25	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_HSC)	#78808F
BMMC22_Lymph_prog	-989937	iPSC	85	70	656	0.129573170731707	0.106707317073171	0.823529411764706	ABC_distanceToTSS	3.70757779445503	3.02891038930506	4.53830960152303	0.103152829359578	3.51923484972601e-19	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#59606B
BMMC22_MK_E_prog	-989937	iPSC	89	76	656	0.135670731707317	0.115853658536585	0.853932584269663	ABC_distanceToTSS	4.17055424374987	3.42580110505304	5.07721323179114	0.10036592358379	8.57986701581448e-24	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_MK_E_prog)	#3B3F47
BMMC22_G_M_prog	-969734.204081633	iPSC	89	74	656	0.135670731707317	0.112804878048781	0.831460674157303	ABC_distanceToTSS	3.97432383230914	3.26461333381277	4.83832181914574	0.100365773053032	2.31594999185969e-22	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_G_M_prog)	#96A0B3
BMMC22_HSC	-969734.204081633	iPSC	95	80	656	0.144817073170732	0.121951219512195	0.842105263157895	ABC_distanceToTSS	4.10869786426178	3.39645967082326	4.97029253278236	0.0971306323129452	5.61781035871779e-25	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_HSC)	#78808F
BMMC22_Lymph_prog	-969734.204081633	iPSC	85	70	656	0.129573170731707	0.106707317073171	0.823529411764706	ABC_distanceToTSS	3.7084959361373	3.02966046193253	4.53943347155618	0.103152830098253	3.46445089316232e-19	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_Lymph_prog)	#59606B
BMMC22_MK_E_prog	-969734.204081633	iPSC	89	76	656	0.135670731707317	0.115853658536585	0.853932584269663	ABC_distanceToTSS	4.17118144894582	3.42631630438928	5.07797679325202	0.100365924064926	8.49150678582906e-24	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_MK_E_prog)	#3B3F47
BMMC22_G_M_prog	-949531.408163265	iPSC	89	74	656	0.135670731707317	0.112804878048781	0.831460674157303	ABC_distanceToTSS	3.97560862090503	3.26566868639275	4.83988592366148	0.100365774038609	2.26566252964642e-22	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_G_M_prog)	#96A0B3
BMMC22_HSC	-949531.408163265	iPSC	95	80	656	0.144817073170732	0.121951219512195	0.842105263157895	ABC_distanceToTSS	4.11086520253823	3.39825129296098	4.97291437759302	0.0971306338841858	5.40675464564701e-25	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_HSC)	#78808F
