Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD14_pos_Mono	-989937	macrophage	188	167	573	0.328097731239092	0.291448516579407	0.888297872340426	ABC_distanceToTSS	6.99322832874398	6.19723888080151	7.89145672751963	0.0616534023758446	5.46460162254364e-93	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
BMMC22_CD16_pos_Mono	-989937	macrophage	158	145	573	0.275741710296684	0.253054101221641	0.917721518987342	ABC_distanceToTSS	8.77369761559995	7.64609587981924	10.0675914950473	0.0701865771437364	1.19754621190598e-88	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD16_pos_Mono)	#7D8595
PBMC_11_CD14.Mono.1	-989937	macrophage	158	142	573	0.275741710296684	0.2478184991274	0.89873417721519	ABC_distanceToTSS	9.67883507907805	8.44542334128511	11.0923804174554	0.0695507028830698	6.01603830782561e-96	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#646A77
PBMC_12_CD14.Mono.2	-989937	macrophage	170	150	573	0.296684118673648	0.261780104712042	0.882352941176471	ABC_distanceToTSS	8.68458359935288	7.62291310285272	9.8941167604185	0.0665271714997766	4.39192883787796e-96	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
PBMC_13_CD16.Mono	-989937	macrophage	149	135	573	0.260034904013962	0.235602094240838	0.906040268456376	ABC_distanceToTSS	9.66883689325634	8.38232825316462	11.1527971757847	0.0728494569462245	8.0625381550788e-89	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_13_CD16.Mono)	#32353B
BMMC22_CD14_pos_Mono	-969734.204081633	macrophage	188	167	573	0.328097731239092	0.291448516579407	0.888297872340426	ABC_distanceToTSS	6.9943116398244	6.19819888206144	7.89267918726622	0.0616534027235685	5.32928070630391e-93	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
BMMC22_CD16_pos_Mono	-969734.204081633	macrophage	158	145	573	0.275741710296684	0.253054101221641	0.917721518987342	ABC_distanceToTSS	8.77553837188279	7.64770005018143	10.0697037293664	0.0701865778535503	1.16356064822277e-88	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD16_pos_Mono)	#7D8595
PBMC_11_CD14.Mono.1	-969734.204081633	macrophage	158	142	573	0.275741710296684	0.2478184991274	0.89873417721519	ABC_distanceToTSS	9.68058201964455	8.44694765139078	11.0943825043873	0.069550703547785	5.8655662543797e-96	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#646A77
PBMC_12_CD14.Mono.2	-969734.204081633	macrophage	170	150	573	0.296684118673648	0.261780104712042	0.882352941176471	ABC_distanceToTSS	8.68592959567029	7.62409454701883	9.89565022779545	0.0665271719801207	4.29205583022309e-96	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
PBMC_13_CD16.Mono	-969734.204081633	macrophage	149	135	573	0.260034904013962	0.235602094240838	0.906040268456376	ABC_distanceToTSS	9.67131367869557	8.38447546781218	11.1556541170405	0.072849457955486	7.79675839648789e-89	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_13_CD16.Mono)	#32353B
BMMC22_CD14_pos_Mono	-949531.408163265	macrophage	188	167	573	0.328097731239092	0.291448516579407	0.888297872340426	ABC_distanceToTSS	6.99558378116899	6.19932621964145	7.89411473206601	0.0616534031319036	5.17466672463582e-93	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
