Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD14_pos_Mono	-989937	monocyte_CD14_pos	21	20	55	0.381818181818182	0.363636363636364	0.952380952380952	ABC_distanceToTSS	8.35351601280135	5.96793995141066	11.6926829599943	0.171574952995961	2.09624321884193e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
PBMC_11_CD14.Mono.1	-989937	monocyte_CD14_pos	18	17	55	0.327272727272727	0.309090909090909	0.944444444444444	ABC_distanceToTSS	11.7474602765932	8.04237279938221	17.1594660422527	0.193326463951111	6.4693563454478e-11	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#707886
PBMC_12_CD14.Mono.2	-989937	monocyte_CD14_pos	18	18	55	0.327272727272727	0.327272727272727	1	ABC_distanceToTSS	9.88600820795901	6.76802071013224	14.4404342825841	0.193325880387163	1.42674097591656e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
BMMC22_CD14_pos_Mono	-969734.204081633	monocyte_CD14_pos	21	20	55	0.381818181818182	0.363636363636364	0.952380952380952	ABC_distanceToTSS	8.35481004411731	5.96886443245499	11.6944942648955	0.171574953343685	2.08959886497226e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
PBMC_11_CD14.Mono.1	-969734.204081633	monocyte_CD14_pos	18	17	55	0.327272727272727	0.309090909090909	0.944444444444444	ABC_distanceToTSS	11.7495805849509	8.04382436310333	17.1625631901532	0.193326464615826	6.44834738452905e-11	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#707886
PBMC_12_CD14.Mono.2	-969734.204081633	monocyte_CD14_pos	18	18	55	0.327272727272727	0.327272727272727	1	ABC_distanceToTSS	9.88754040930056	6.76906965801821	14.4426723737061	0.193325880867507	1.42280311176248e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
BMMC22_CD14_pos_Mono	-949531.408163265	monocyte_CD14_pos	21	20	55	0.381818181818182	0.363636363636364	0.952380952380952	ABC_distanceToTSS	8.35632963601294	5.96995005834612	11.6966212955311	0.17157495375202	2.08182443271383e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
PBMC_11_CD14.Mono.1	-949531.408163265	monocyte_CD14_pos	18	17	55	0.327272727272727	0.309090909090909	0.944444444444444	ABC_distanceToTSS	11.7531738744934	8.04628433016532	17.1678119310552	0.19332646574232	6.41290725288295e-11	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#707886
PBMC_12_CD14.Mono.2	-949531.408163265	monocyte_CD14_pos	18	18	55	0.327272727272727	0.327272727272727	1	ABC_distanceToTSS	9.89023823751593	6.77091659622344	14.4466130995293	0.193325881713274	1.41589727786258e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
BMMC22_CD14_pos_Mono	-929328.612244898	monocyte_CD14_pos	21	20	55	0.381818181818182	0.363636363636364	0.952380952380952	ABC_distanceToTSS	8.35869454466229	5.97163959489999	11.6999315482195	0.171574954387504	2.06978532202247e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
PBMC_11_CD14.Mono.1	-929328.612244898	monocyte_CD14_pos	18	17	55	0.327272727272727	0.309090909090909	0.944444444444444	ABC_distanceToTSS	11.7557294772744	8.04803389656307	17.171544916315	0.193326466543499	6.3878264622702e-11	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#707886
PBMC_12_CD14.Mono.2	-929328.612244898	monocyte_CD14_pos	18	18	55	0.327272727272727	0.327272727272727	1	ABC_distanceToTSS	9.89321368625574	6.77295359394806	14.4509593465064	0.193325882646075	1.40832168303342e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
BMMC22_CD14_pos_Mono	-909125.816326531	monocyte_CD14_pos	21	20	55	0.381818181818182	0.363636363636364	0.952380952380952	ABC_distanceToTSS	8.36000896128899	5.97257863960015	11.7017713872263	0.171574954740706	2.06312546132932e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
PBMC_11_CD14.Mono.1	-909125.816326531	monocyte_CD14_pos	18	17	55	0.327272727272727	0.309090909090909	0.944444444444444	ABC_distanceToTSS	11.7578094317696	8.04945783400372	17.1745831191028	0.193326467195564	6.36748990753088e-11	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#707886
PBMC_12_CD14.Mono.2	-909125.816326531	monocyte_CD14_pos	18	18	55	0.327272727272727	0.327272727272727	1	ABC_distanceToTSS	9.89551551851923	6.7745294325788	14.4543216398693	0.193325883367698	1.40249040498546e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
BMMC22_CD14_pos_Mono	-888923.020408163	monocyte_CD14_pos	21	20	55	0.381818181818182	0.363636363636364	0.952380952380952	ABC_distanceToTSS	8.36267661956812	5.97448446634694	11.7055054101148	0.171574955457542	2.04967777709656e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
PBMC_11_CD14.Mono.1	-888923.020408163	monocyte_CD14_pos	18	17	55	0.327272727272727	0.309090909090909	0.944444444444444	ABC_distanceToTSS	11.7616245938985	8.05206969507584	17.1801559507607	0.193326468391615	6.33036443882026e-11	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#707886
PBMC_12_CD14.Mono.2	-888923.020408163	monocyte_CD14_pos	18	18	55	0.327272727272727	0.327272727272727	1	ABC_distanceToTSS	9.89913923707798	6.77701023700647	14.4596148165687	0.193325884503732	1.39336179360241e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
BMMC22_CD14_pos_Mono	-868720.224489796	monocyte_CD14_pos	21	20	55	0.381818181818182	0.363636363636364	0.952380952380952	ABC_distanceToTSS	8.36433067086874	5.97566615263217	11.7078206487186	0.171574955902008	2.04138572793422e-10	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD14_pos_Mono)	#96A0B3
PBMC_11_CD14.Mono.1	-868720.224489796	monocyte_CD14_pos	18	17	55	0.327272727272727	0.309090909090909	0.944444444444444	ABC_distanceToTSS	11.7647479322383	8.05420793337727	17.1847182310164	0.193326469370779	6.30014072994388e-11	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_11_CD14.Mono.1)	#707886
PBMC_12_CD14.Mono.2	-868720.224489796	monocyte_CD14_pos	18	18	55	0.327272727272727	0.327272727272727	1	ABC_distanceToTSS	9.90156676950758	6.77867213019151	14.4631607205712	0.193325885264761	1.38728151630195e-09	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_12_CD14.Mono.2)	#4B5059
