Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
K562	-989937	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.26890542342049	3.66614823005526	4.97076287442808	0.0776625857059021	3.88694830903981e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-969734.204081633	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27079376770224	3.66776993909469	4.97296169310617	0.0776625866030845	3.70870980366529e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-949531.408163265	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27200734705021	3.66881216037395	4.9743748045664	0.0776625871796753	3.59852941950351e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-929328.612244898	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27348190665461	3.67007851135128	4.97609180567099	0.077662587880262	3.46908035093765e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-909125.816326531	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27489670534656	3.67129353968661	4.9777392202049	0.0776625885524553	3.34928714625366e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-888923.020408163	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27666000425499	3.67280785981091	4.97979243404689	0.0776625893902266	3.20579934710607e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-868720.224489796	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.27841606146627	3.67431596076477	4.981837215546	0.0776625902245573	3.06905214555942e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-848517.428571429	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.28017356139391	3.67582530071769	4.98388367697413	0.0776625910595734	2.93807256471006e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-828314.632653061	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.28239425047984	3.67773242725311	4.9864694833822	0.0776625921146581	2.78059070405563e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-808111.836734694	spleen	134	106	618	0.216828478964401	0.171521035598705	0.791044776119403	ABC_distanceToTSS	4.28385855229898	3.6789899688258	4.98817454018833	0.0776625928103712	2.68142695914643e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-787909.040816327	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.28619653636998	3.68099782821429	4.99089692679941	0.0776625939211845	2.5304247196494e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-767706.244897959	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.28796917138451	3.68252016614928	4.9929610117982	0.0776625947633916	2.42166894168348e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-747503.448979592	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.2906439947774	3.68481730293725	4.99607561960933	0.0776625960342427	2.26640365021152e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-727300.653061224	spleen	134	105	618	0.216828478964401	0.169902912621359	0.783582089552239	ABC_distanceToTSS	4.29329588462427	3.68709474439781	4.99916352324223	0.0776625972941977	2.12236398973915e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-707097.857142857	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.29555651476497	3.68903617224104	5.00179583772706	0.0776625983682589	2.00687556212103e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-686895.06122449	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.29833737236011	3.6914243711068	5.00503391353188	0.0776625996894886	1.87345117476517e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-666692.265306122	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.30319715029878	3.69559794551012	5.01069271803144	0.0776626019984462	1.66135746587018e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-646489.469387755	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.30674565237889	3.69864539696215	5.01482465161941	0.077662603684396	1.52191742856784e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-626286.673469388	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.31130652789796	3.70256227408506	5.02013540936017	0.0776626058513404	1.35985365171109e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-606083.87755102	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.31601867648379	3.70660906439079	5.02562231197117	0.077662608090157	1.21063307236725e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-585881.081632653	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.32133549824269	3.71117514760279	5.03181330593754	0.0776626106162635	1.06195316744288e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-565678.285714286	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.32566062599874	3.71488956459003	5.03684955527899	0.0776626126712004	9.54666471062589e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-545475.489795918	spleen	134	103	618	0.216828478964401	0.166666666666667	0.76865671641791	ABC_distanceToTSS	4.33063588245212	3.71916231165522	5.04264282513532	0.0776626150350237	8.4467326959793e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-525272.693877551	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.33768665147249	3.7252175075198	5.05085285580808	0.0776626183849561	7.10276357043866e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-505069.897959184	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.34460795369209	3.73116151730246	5.0589121333271	0.0776626216733767	5.99291658003819e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-484867.102040816	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.35201926235167	3.73752634420774	5.06754198247525	0.0776626251946072	4.99716914933731e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-464664.306122449	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.36022354298197	3.74457217480709	5.07709518130831	0.0776626290925912	4.08776161041954e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-444461.510204082	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.37020941663553	3.75314803613219	5.08872289645469	0.0776626338370384	3.20236850065189e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-424258.714285714	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.38117114572215	3.76256196123858	5.10148691392971	0.07766263904513	2.45080769477479e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-404055.918367347	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.39249048933382	3.77228300524183	5.11466734390761	0.07766264442313	1.86032958292878e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-383853.12244898	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.40602570614507	3.78390703925691	5.13042797346932	0.0776626508539265	1.33888460513076e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-363650.326530612	spleen	134	102	618	0.216828478964401	0.16504854368932	0.761194029850746	ABC_distanceToTSS	4.42162224093478	3.79730133123782	5.1485888361554	0.0776626582640879	9.1739685363683e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-343447.530612245	spleen	132	102	618	0.213592233009709	0.16504854368932	0.772727272727273	ABC_distanceToTSS	4.37363644425553	3.750426519714	5.10040541948249	0.0784326806275845	1.64536235386168e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-323244.734693878	spleen	132	102	618	0.213592233009709	0.16504854368932	0.772727272727273	ABC_distanceToTSS	4.39392614695509	3.76782502181422	5.1240667687905	0.0784326904181689	1.01153960646642e-40	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-303041.93877551	spleen	132	101	618	0.213592233009709	0.163430420711974	0.765151515151515	ABC_distanceToTSS	4.41515736563967	3.78603087696341	5.14882609171881	0.0784327006630721	6.09109672003682e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-286443.142857143	spleen	132	101	618	0.213592233009709	0.163430420711974	0.765151515151515	ABC_distanceToTSS	4.43675622877445	3.80455198795248	5.1740141535463	0.0784327110853782	3.64269522385017e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-282839.142857143	spleen	132	101	618	0.213592233009709	0.163430420711974	0.765151515151515	ABC_distanceToTSS	4.4412727031531	3.80842488258857	5.17928115477648	0.0784327132647558	3.27220252281708e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-262636.346938776	spleen	132	101	618	0.213592233009709	0.163430420711974	0.765151515151515	ABC_distanceToTSS	4.47487627972172	3.83724008131285	5.21846881990376	0.0784327294798112	1.47703441131812e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-242433.551020408	spleen	132	100	618	0.213592233009709	0.161812297734628	0.757575757575758	ABC_distanceToTSS	4.51386350967626	3.8706717816388	5.26393477241832	0.0784327482926924	5.90318128537371e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-222230.755102041	spleen	132	100	618	0.213592233009709	0.161812297734628	0.757575757575758	ABC_distanceToTSS	4.55944685549761	3.9097596736804	5.31709295792548	0.0784327702884605	2.0358450679652e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-202027.959183673	spleen	131	100	618	0.211974110032362	0.161812297734628	0.763358778625954	ABC_distanceToTSS	4.5805333576776	3.92483089429402	5.34578085167952	0.0788239886834596	3.06146983432818e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-185913.142857143	spleen	130	100	618	0.210355987055016	0.161812297734628	0.769230769230769	ABC_distanceToTSS	4.59846207494384	3.9371403959555	5.37086599106784	0.079219437354354	4.98738108936552e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-181825.163265306	spleen	130	100	618	0.210355987055016	0.161812297734628	0.769230769230769	ABC_distanceToTSS	4.61527424737761	3.95153468444677	5.39050219205887	0.0792194455956629	3.40482015025112e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-161622.367346939	spleen	129	98	618	0.20873786407767	0.158576051779935	0.75968992248062	ABC_distanceToTSS	4.67134099228617	3.99640560867889	5.46026324726002	0.079619229111279	2.39107036204641e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-142534.5	spleen	125	97	618	0.202265372168285	0.156957928802589	0.776	ABC_distanceToTSS	4.70523869385607	4.01899782673785	5.50865467477261	0.0804320539717693	7.03275911991799e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-141419.571428571	spleen	125	97	618	0.202265372168285	0.156957928802589	0.776	ABC_distanceToTSS	4.71199661487667	4.02477010434274	5.51656654243485	0.0804320573652932	6.07050834841973e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-121216.775510204	spleen	124	97	618	0.200647249190939	0.156957928802589	0.782258064516129	ABC_distanceToTSS	4.83439297097661	4.12597186012192	5.66444856876397	0.0808453516817899	1.10956294894866e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-120056.785714286	spleen	123	96	618	0.199029126213592	0.155339805825243	0.780487804878049	ABC_distanceToTSS	4.80519861668735	4.09769795164092	5.63485498890119	0.0812632463803429	5.22460639395375e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-101013.979591837	spleen	121	96	618	0.1957928802589	0.155339805825243	0.793388429752066	ABC_distanceToTSS	4.94137122596204	4.20680417409401	5.80420399483515	0.0821135562536705	2.05674886036892e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-96899.4285714286	spleen	121	96	618	0.1957928802589	0.155339805825243	0.793388429752066	ABC_distanceToTSS	4.99993632859707	4.25666293875968	5.87299573625839	0.0821135866509593	6.31443970727262e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-84093.5714285714	spleen	121	95	618	0.1957928802589	0.153721682847896	0.785123966942149	ABC_distanceToTSS	5.22250569269878	4.44614489770015	6.13443023963962	0.0821137021720622	7.83619816701044e-45	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-80811.1836734693	spleen	120	95	618	0.194174757281553	0.153721682847896	0.791666666666667	ABC_distanceToTSS	5.24831417127448	4.46433041002771	6.16997379462098	0.0825462493985314	1.29680741392056e-44	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-73911.5	spleen	117	93	618	0.189320388349515	0.150485436893204	0.794871794871795	ABC_distanceToTSS	5.27835986425473	4.47821192851104	6.22147484338435	0.0838747932783636	1.49003137668075e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-64841.6428571429	spleen	113	91	618	0.182847896440129	0.147249190938511	0.805309734513274	ABC_distanceToTSS	5.35624419526013	4.52786131359868	6.33618167435786	0.0857226505930482	2.03665010090243e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-60608.387755102	spleen	111	89	618	0.179611650485437	0.144012944983819	0.801801801801802	ABC_distanceToTSS	5.40663177499815	4.56187415789492	6.40781971151713	0.0866815764259332	6.40700072703755e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-58869	spleen	110	89	618	0.177993527508091	0.144012944983819	0.809090909090909	ABC_distanceToTSS	5.42118937210804	4.56977826535394	6.43122981066148	0.0871702490255053	1.37901843271608e-41	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-54190	spleen	109	86	618	0.176375404530744	0.13915857605178	0.788990825688074	ABC_distanceToTSS	5.57803677238198	4.69743200605095	6.6237242378316	0.0876653373380794	2.78753185814865e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-52290.8571428572	spleen	107	85	618	0.173139158576052	0.137540453074434	0.794392523364486	ABC_distanceToTSS	5.61571875386979	4.72451899553523	6.67502811447417	0.088166839552352	4.26762619363536e-42	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-46599	spleen	106	84	618	0.171521035598705	0.135922330097087	0.792452830188679	ABC_distanceToTSS	5.87076004779196	4.9341681321354	6.98513358600008	0.0886751047987919	2.16540602927563e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-41761	spleen	104	81	618	0.168284789644013	0.131067961165049	0.778846153846154	ABC_distanceToTSS	6.08618773119416	5.10484244947388	7.25618497847194	0.0897120098376139	7.47673411563038e-44	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-40405.5918367347	spleen	104	81	618	0.168284789644013	0.131067961165049	0.778846153846154	ABC_distanceToTSS	6.19984441793866	5.20017228105485	7.39169179965092	0.0897120779930764	1.41755889946452e-44	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-37268.7857142857	spleen	103	81	618	0.166666666666667	0.131067961165049	0.786407766990291	ABC_distanceToTSS	6.40559084477139	5.36717491564837	7.64491463674653	0.0902411964195382	2.36571147820805e-45	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-33666	spleen	102	81	618	0.16504854368932	0.131067961165049	0.794117647058824	ABC_distanceToTSS	6.718525286637	5.62346312605997	8.02682991162544	0.0907776835377756	1.07513237057883e-46	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-30622.9285714286	spleen	100	81	618	0.161812297734628	0.131067961165049	0.81	ABC_distanceToTSS	6.97612235234837	5.8265514825909	8.35250202805966	0.0918730721503872	4.31372220651281e-47	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-28178.4285714286	spleen	96	79	618	0.155339805825243	0.127831715210356	0.822916666666667	ABC_distanceToTSS	7.05230377162943	5.8638413775435	8.48163947234429	0.0941596003873691	2.30287851184477e-45	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-25909.5	spleen	94	79	618	0.15210355987055	0.127831715210356	0.840425531914894	ABC_distanceToTSS	7.28678845094714	6.04463870055773	8.78419514535375	0.0953544017902057	1.78590898334331e-45	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-23840.3571428571	spleen	94	79	618	0.15210355987055	0.127831715210356	0.840425531914894	ABC_distanceToTSS	7.68064278822817	6.37135099413474	9.25898976444207	0.0953546633648158	2.2147650255804e-47	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-21681.2857142857	spleen	93	78	618	0.150485436893204	0.12621359223301	0.838709677419355	ABC_distanceToTSS	8.10841126565956	6.71814566530174	9.78638102365735	0.0959659353108212	9.05313389587404e-49	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-20202.7959183673	spleen	91	76	618	0.147249190938511	0.122977346278317	0.835164835164835	ABC_distanceToTSS	8.34245203894346	6.89513488013555	10.0935670196351	0.0972166381892261	1.32202475657342e-48	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-20118	spleen	91	76	618	0.147249190938511	0.122977346278317	0.835164835164835	ABC_distanceToTSS	8.36496102288849	6.9137386111876	10.1208010382713	0.0972166536366578	1.06057441661589e-48	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-18185	spleen	88	75	618	0.142394822006473	0.121359223300971	0.852272727272727	ABC_distanceToTSS	8.73457171950576	7.19166561788468	10.6084942177317	0.0991682046478426	2.1349438080161e-48	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-16303.7142857143	spleen	86	74	618	0.13915857605178	0.119741100323625	0.86046511627907	ABC_distanceToTSS	9.38920973156787	7.7204878982305	11.4186124692423	0.0998403895618709	2.94065913816391e-50	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-14420.2857142857	spleen	83	71	618	0.134304207119741	0.114886731391586	0.855421686746988	ABC_distanceToTSS	9.93546694685852	8.1363611592965	12.1323895927763	0.101924233620479	3.23507779212563e-50	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-13220.5714285714	spleen	80	68	618	0.129449838187702	0.110032362459547	0.85	ABC_distanceToTSS	10.2754485468902	8.37868029398464	12.6016077872777	0.104117726633492	2.57444342620781e-49	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-12003.3571428571	spleen	79	67	618	0.127831715210356	0.108414239482201	0.848101265822785	ABC_distanceToTSS	11.0265886989573	8.97782073266685	13.5428921958276	0.104875568884415	6.77233667211374e-51	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-10452.7142857143	spleen	72	65	618	0.116504854368932	0.105177993527508	0.902777777777778	ABC_distanceToTSS	11.373421939876	9.15709560696219	14.1261740812341	0.110588853382262	6.60613835865035e-47	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-9410.5	spleen	67	61	618	0.108414239482201	0.098705501618123	0.91044776119403	ABC_distanceToTSS	11.6505090648134	9.29613756658414	14.6011567166572	0.115181135427706	5.03819247076489e-44	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-8485	spleen	64	60	618	0.103559870550162	0.0970873786407767	0.9375	ABC_distanceToTSS	12.2725592712066	9.7350830427829	15.4714356727483	0.11818056313318	3.06539782926544e-43	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-7580.28571428572	spleen	63	58	618	0.101941747572816	0.0938511326860841	0.920634920634921	ABC_distanceToTSS	13.4663348881422	10.6601531939019	17.0112166327338	0.119226716039187	6.56585905610178e-45	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
K562	-6874.57142857144	spleen	60	56	618	0.0970873786407767	0.0906148867313916	0.933333333333333	ABC_distanceToTSS	14.1363678161186	11.1187464017546	17.9729699564925	0.122511539791816	8.4491794764008e-44	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (K562)	#96a0b3
