cluster	model	AUPRC	AUPRC_95CI_low	AUPRC_95CI_high	precision_70_pct_recall	precision_70_pct_recall_95CI_low	precision_70_pct_recall_95CI_high	threshold_70_pct_recall	precision_50_pct_recall	precision_50_pct_recall_95CI_low	precision_50_pct_recall_95CI_high	threshold_50_pct_recall	precision_model_threshold	precision_model_threshold_95CI_low	precision_model_threshold_95CI_high	recall_model_threshold	recall_model_threshold_95CI_low	recall_model_threshold_95CI_high	pct_missing_pos	pct_missing_neg	pct_missing_total
all_cells_all_atac	multiome_powerlaw_v2_noTPMfilter	0.6339879551519101	0.5892368310197413	0.6782330243472438	0.5242298858293902	0.4854759659261876	0.5655400106647	0.141446465034422	0.7291932267078861	0.6832415081708959	0.7757921449382743	0.406516125127281	0.5611072646915034	0.5180508460105553	0.5974729241877257	0.6878380472793166	0.6469455796744926	0.72882175287395	0.07855626326963906	0.10480526049570056	0.10361143298570877
5000_cells_30000_atac	multiome_powerlaw_v2_noTPMfilter	0.6297453699955965	0.5822148280726311	0.672639974569299	0.520465688896423	0.4816109486454272	0.5605855372589699	0.146742471214631	0.7005650111079746	0.6526614182771158	0.7476362498133862	0.38962178826017	0.5540737453773237	0.5095022074630863	0.5953841061611846	0.6817953201526029	0.6422368315562739	0.7271507545772289	0.07643312101910828	0.10541224076884168	0.1040942448821939
all_cells_30000_atac	multiome_powerlaw_v2_noTPMfilter	0.6291229909870774	0.5878306465692688	0.6733981302903421	0.5255369624669906	0.48426466922822514	0.563794006658559	0.143679105579401	0.7104765861974937	0.660090084832986	0.761595995479557	0.386151460071601	0.5536567796633576	0.5105157338072398	0.5935045638666152	0.6836228192380894	0.6389415110570869	0.7212089229840294	0.07643312101910828	0.10460293373798685	0.10332174584781768
5000_cells_all_atac	multiome_powerlaw_v2_noTPMfilter	0.6262534975852346	0.5786606800706106	0.6660405672121776	0.5310200531513555	0.49007554104801543	0.567896207258514	0.147742156863465	0.7090948123859303	0.6600777290539622	0.7583576882518842	0.395199831828278	0.5526824324703513	0.5153558743061932	0.5935240342007803	0.6876025073806912	0.6444742162878352	0.7277091567525221	0.07218683651804671	0.10399595346484572	0.10254924681344148
all_cells_all_atac	multiome_powerlaw_v2	0.6223636119491357	0.5805040408957333	0.6658302381699361	0.5059030987531401	0.4702110265522599	0.5454545454545454	0.132521761662856	0.7118842467065084	0.6683159967725456	0.760100267502231	0.38835041233973	0.5650687741065317	0.5213344159523574	0.6055540277507793	0.6746881120223638	0.6313280511081489	0.7155680291264734	0.07855626326963906	0.10480526049570056	0.10361143298570877
5000_cells_30000_atac	multiome_powerlaw_v2	0.6185372242967822	0.5758870800462423	0.6628841637001771	0.5152966975269421	0.476895405495552	0.5525324994900462	0.138553320486366	0.6907757285216405	0.6375451742798964	0.7403189897179079	0.384772398242828	0.5592835981458893	0.514995497547568	0.5944511582113298	0.6681881046941733	0.6218206005511404	0.7078357825703044	0.07643312101910828	0.10541224076884168	0.1040942448821939
all_cells_30000_atac	multiome_powerlaw_v2	0.6182293325901668	0.5689794731531131	0.6595809754245509	0.5059567749245109	0.46908859019627897	0.5411570143780041	0.131307937599849	0.6947286478216642	0.6380930846029215	0.741033280281964	0.372626550225349	0.5562440536697061	0.5172197527310565	0.5991239887863665	0.6669929955017234	0.6177622741324074	0.7067833698030634	0.07643312101910828	0.10460293373798685	0.10332174584781768
all_cells_20000_atac	multiome_powerlaw_v2_noTPMfilter	0.6167351463423049	0.5655058742492051	0.6592697571669447	0.5013257918074928	0.46167280698895113	0.5406592548178709	0.137603798998162	0.6912427535273254	0.6403754022022785	0.7362170782996726	0.380514863685673	0.5411246110093426	0.5017158839484106	0.5834763238071778	0.6700396909714988	0.6245277271424691	0.7099480570053269	0.07643312101910828	0.10490642387455741	0.10361143298570877
5000_cells_all_atac	multiome_powerlaw_v2	0.616647454690333	0.5668788914223557	0.6573942368585525	0.5060828049008742	0.46836636369687384	0.5413591285596397	0.130431152925719	0.7086095099323025	0.6551135001820582	0.7531649977025867	0.393759571623249	0.5589720464046182	0.5195708851317925	0.5995875020815552	0.6752532653240786	0.6323300949283504	0.7148051401067181	0.07218683651804671	0.10399595346484572	0.10254924681344148
5000_cells_20000_atac	multiome_powerlaw_v2_noTPMfilter	0.6162855602978632	0.5704294992217078	0.6604696748931386	0.5167061972362422	0.478619459603562	0.5548184999135972	0.146862818612644	0.6737615916305862	0.6183375704953673	0.7164112398916495	0.366340692873048	0.5472397148961673	0.5117468426496039	0.5904353763794236	0.6877408033563145	0.6482617586912065	0.7295008413031108	0.07643312101910828	0.10662620131512393	0.10525299343375821
2000_cells_30000_atac	multiome_powerlaw_v2_noTPMfilter	0.6128367328553876	0.5715146389989492	0.6601906635587742	0.5204168860364495	0.48208501954679966	0.5572142373734285	0.144741497695532	0.6660853344840496	0.6151259957000212	0.7147508270997892	0.346136881119549	0.5462014638379031	0.5046585007179721	0.586248352469559	0.6816866468110404	0.6385114102918631	0.7216580840357775	0.07643312101910828	0.11441578148710167	0.1126882966396292
2000_cells_20000_atac	multiome_powerlaw_v2_noTPMfilter	0.6105045655151837	0.5570445169885513	0.6574718678187955	0.5265330253207631	0.4840767627896334	0.5633503118959691	0.145533576460163	0.6582253534776985	0.609561448088113	0.7038698596780646	0.333500188567948	0.5490264815628884	0.508517585003939	0.5877263800927097	0.6859517258326667	0.6445229797398098	0.7263816776354713	0.07430997876857749	0.12453211937278705	0.12224797219003476
2000_cells_all_atac	multiome_powerlaw_v2_noTPMfilter	0.6089070482423387	0.5602886107080407	0.649423393122678	0.5011173975064153	0.46336931246984536	0.541212569498545	0.134169058811932	0.6701015401546784	0.625	0.718018233748501	0.34547731909172	0.5512954580499684	0.5124572484878346	0.5917707369515243	0.6788439511067343	0.6341714522447159	0.7183508130418249	0.08067940552016985	0.1137076378351037	0.11220548474314407
5000_cells_20000_atac	multiome_powerlaw_v2	0.6070884820884846	0.5618124989587623	0.6489685343572703	0.5074307260426001	0.4715309947975907	0.5485549587792997	0.137420816698538	0.6734030531751546	0.6182437830224998	0.7183853061202446	0.365218534228288	0.5532691323318959	0.5114107140237385	0.5936580727874845	0.6750517638530217	0.6284856927938508	0.7147286550198393	0.07643312101910828	0.10662620131512393	0.10525299343375821
all_cells_20000_atac	multiome_powerlaw_v2	0.605399200113295	0.559664741014186	0.6516873878805223	0.49699848780507105	0.4570606767993728	0.5339233038348082	0.125480877215815	0.6873405900798839	0.6390986715606538	0.7373481143131259	0.370738793762911	0.5473032572051457	0.5071781628214983	0.5894376434914717	0.6585407737784265	0.6144121544532055	0.701765894514803	0.07643312101910828	0.10490642387455741	0.10361143298570877
5000_cells_10000_atac	multiome_powerlaw_v2_noTPMfilter	0.605265850520971	0.5589705176103127	0.6499236925115174	0.5043718868134524	0.46602627065565383	0.5433869017330547	0.141982230962438	0.659538936663504	0.6120935669749091	0.7089269665898167	0.342088930814445	0.5361108809598858	0.4973559481093903	0.5755688404905903	0.6854213010460941	0.6398246130044005	0.7276483563402254	0.07643312101910828	0.11583206879109763	0.11404016994978756
5000_cells_10000_atac	scATAC_powerlaw_v2	0.6037341951160929	0.5551528995787699	0.6451882058920754	0.542677675047144	0.5017208817337734	0.5819023769219779	0.194361227652977	0.6769857861826504	0.6256890103033387	0.721159725162432	0.387944320922181	0.526065697414006	0.4859175173721007	0.5659768490722363	0.7042785234181644	0.6651884700665188	0.7491462565702918	0.07643312101910828	0.11583206879109763	0.11404016994978756
2000_cells_30000_atac	multiome_powerlaw_v2	0.603438031937158	0.5545077438243396	0.6457329352896252	0.5111512785764005	0.47435636395016106	0.5477577402854387	0.133939602785873	0.6619390412582762	0.6176449245909853	0.7087847847314784	0.337461298896829	0.5499921263274536	0.5071823366986452	0.5882052067517962	0.6664106969013128	0.6245935380062458	0.7068431422432937	0.07643312101910828	0.11441578148710167	0.1126882966396292
5000_cells_20000_atac	scATAC_powerlaw_v2	0.6027467491241189	0.5464083564403454	0.6455776646123489	0.5256710305662945	0.4839738120603997	0.5610879409207638	0.185803401041825	0.6628570127837204	0.6100323808034245	0.711893461163157	0.392320699650042	0.5226084619469639	0.4792750317423249	0.5616394163738432	0.7038226436679366	0.6660464810225004	0.7471130122975197	0.07643312101910828	0.10662620131512393	0.10525299343375821
1000_cells_all_atac	multiome_powerlaw_v2_noTPMfilter	0.6024694146039556	0.5504829033464792	0.6445363598208032	0.5271551012382943	0.4870688245938388	0.5641267174235265	0.147880494882257	0.671400582484008	0.6233768538692644	0.7169130936722009	0.356165027933789	0.54924294242029	0.5082767645144282	0.584563347114287	0.6863525238045295	0.6438462591156506	0.7244709297224081	0.07855626326963906	0.11825998988366211	0.11645422943221322
1000_cells_30000_atac	multiome_powerlaw_v2_noTPMfilter	0.6022792547518931	0.5526631340805052	0.6484248772348054	0.5158260437476844	0.4742035822963773	0.5555865268834277	0.143337992012001	0.6711367235817934	0.618154100246678	0.7227664492857216	0.367197136801405	0.5459185291309052	0.508898220957987	0.5886530873014717	0.6849956185357562	0.6438940769240251	0.7253600133816098	0.07855626326963906	0.12412746585735963	0.12205484743144071
