cluster	cell_count	rna_umi_per_cell	atac_frag_per_cell	dataset
all_cells_all_atac	7821	17961	33387	Xu
all_cells_30000_atac	7821	15000	30000	Xu
all_cells_20000_atac	7821	10000	20000	Xu
all_cells_10000_atac	7821	5000	10000	Xu
all_cells_4000_atac	7821	2000	4000	Xu
all_cells_2000_atac	7821	1000	2000	Xu
all_cells_1000_atac	7821	500	1000	Xu
5000_cells_all_atac	5000	17961	33387	Xu
5000_cells_30000_atac	5000	15000	30000	Xu
5000_cells_20000_atac	5000	10000	20000	Xu
5000_cells_10000_atac	5000	5000	10000	Xu
5000_cells_4000_atac	5000	2000	4000	Xu
5000_cells_2000_atac	5000	1000	2000	Xu
5000_cells_1000_atac	5000	500	1000	Xu
2000_cells_all_atac	2000	17961	33387	Xu
2000_cells_30000_atac	2000	15000	30000	Xu
2000_cells_20000_atac	2000	10000	20000	Xu
2000_cells_10000_atac	2000	5000	10000	Xu
2000_cells_4000_atac	2000	2000	4000	Xu
2000_cells_2000_atac	2000	1000	2000	Xu
2000_cells_1000_atac	2000	500	1000	Xu
1000_cells_all_atac	1000	17961	33387	Xu
1000_cells_30000_atac	1000	15000	30000	Xu
1000_cells_20000_atac	1000	10000	20000	Xu
1000_cells_10000_atac	1000	5000	10000	Xu
1000_cells_4000_atac	1000	2000	4000	Xu
1000_cells_2000_atac	1000	1000	2000	Xu
1000_cells_1000_atac	1000	500	1000	Xu
500_cells_all_atac	500	17961	33387	Xu
500_cells_30000_atac	500	15000	30000	Xu
500_cells_20000_atac	500	10000	20000	Xu
500_cells_10000_atac	500	5000	10000	Xu
500_cells_4000_atac	500	2000	4000	Xu
500_cells_2000_atac	500	1000	2000	Xu
500_cells_1000_atac	500	500	1000	Xu
200_cells_all_atac	200	17961	33387	Xu
200_cells_30000_atac	200	15000	30000	Xu
200_cells_20000_atac	200	10000	20000	Xu
200_cells_10000_atac	200	5000	10000	Xu
200_cells_4000_atac	200	2000	4000	Xu
200_cells_2000_atac	200	1000	2000	Xu
200_cells_1000_atac	200	500	1000	Xu
100_cells_all_atac	100	17961	33387	Xu
100_cells_30000_atac	100	15000	30000	Xu
100_cells_20000_atac	100	10000	20000	Xu
100_cells_10000_atac	100	5000	10000	Xu
100_cells_4000_atac	100	2000	4000	Xu
100_cells_2000_atac	100	1000	2000	Xu
100_cells_1000_atac	100	500	1000	Xu
K562_Wang	4574	16520	20243	Wang
K562_IGVF	6266	8261	7666	IGVF
