feature	coefficient	test_chr	cluster	cell_count	atac_frag_per_cell	rna_umi_per_cell	log10_total_frag	log10_total_umi
numTSSEnhGene	-1.59391225505192	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
normalizedATAC_prom	-1.96438191202059	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
numNearbyEnhancers	-0.0176981203753796	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
ubiqExpressed	-0.367487895082862	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
numCandidateEnhGene	-0.0523170204941622	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
ABC.Score	0.847998208999397	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
numTSSEnhGene	-1.21859701791433	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
normalizedATAC_prom	0.277745657483602	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
numNearbyEnhancers	0.0813353216763263	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
ubiqExpressed	-0.33114456293506	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
numCandidateEnhGene	-0.258905911227883	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
ABC.Score	0.8703255995586	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
numTSSEnhGene	-1.47698516744573	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
normalizedATAC_prom	-0.585995549985346	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
numNearbyEnhancers	0.120248855217354	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
ubiqExpressed	-0.296144123054214	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
