feature	coefficient	test_chr	cluster	cell_count	atac_frag_per_cell	total_frag
numTSSEnhGene	-1.52703033728416	none	all_cells_all_atac	7821	33387	261119727
normalizedATAC_prom	-1.18519506022277	none	all_cells_all_atac	7821	33387	261119727
numNearbyEnhancers	0.161740822212026	none	all_cells_all_atac	7821	33387	261119727
ubiqExpressed	-0.318425857230834	none	all_cells_all_atac	7821	33387	261119727
numCandidateEnhGene	0.406612530519492	none	all_cells_all_atac	7821	33387	261119727
ABC.Score	1.71089174424248	none	all_cells_all_atac	7821	33387	261119727
Kendall	0.958576493797707	none	all_cells_all_atac	7821	33387	261119727
numTSSEnhGene	-1.54413238691811	none	all_cells_30000_atac	7821	30000	234630000
normalizedATAC_prom	-1.37138435727249	none	all_cells_30000_atac	7821	30000	234630000
numNearbyEnhancers	0.14929277315622	none	all_cells_30000_atac	7821	30000	234630000
ubiqExpressed	-0.32049379872091	none	all_cells_30000_atac	7821	30000	234630000
numCandidateEnhGene	0.396379879277815	none	all_cells_30000_atac	7821	30000	234630000
ABC.Score	1.66904681558432	none	all_cells_30000_atac	7821	30000	234630000
Kendall	0.9047106837568	none	all_cells_30000_atac	7821	30000	234630000
numTSSEnhGene	-1.56038190130312	none	all_cells_20000_atac	7821	20000	156420000
normalizedATAC_prom	-1.3068545168713	none	all_cells_20000_atac	7821	20000	156420000
numNearbyEnhancers	0.168227662746178	none	all_cells_20000_atac	7821	20000	156420000
ubiqExpressed	-0.318465803939379	none	all_cells_20000_atac	7821	20000	156420000
numCandidateEnhGene	0.396556668600117	none	all_cells_20000_atac	7821	20000	156420000
ABC.Score	1.66696674869704	none	all_cells_20000_atac	7821	20000	156420000
Kendall	0.763359931029201	none	all_cells_20000_atac	7821	20000	156420000
numTSSEnhGene	-1.57196402101316	none	all_cells_10000_atac	7821	10000	78210000
normalizedATAC_prom	-1.29009528741399	none	all_cells_10000_atac	7821	10000	78210000
numNearbyEnhancers	0.187102930674647	none	all_cells_10000_atac	7821	10000	78210000
ubiqExpressed	-0.331046179391616	none	all_cells_10000_atac	7821	10000	78210000
numCandidateEnhGene	0.480811406537608	none	all_cells_10000_atac	7821	10000	78210000
ABC.Score	1.83261367283998	none	all_cells_10000_atac	7821	10000	78210000
Kendall	0.420134287554618	none	all_cells_10000_atac	7821	10000	78210000
numTSSEnhGene	-1.56320613227709	none	all_cells_4000_atac	7821	4000	31284000
normalizedATAC_prom	-1.28426134322013	none	all_cells_4000_atac	7821	4000	31284000
numNearbyEnhancers	0.200671179923952	none	all_cells_4000_atac	7821	4000	31284000
ubiqExpressed	-0.32573867997385	none	all_cells_4000_atac	7821	4000	31284000
numCandidateEnhGene	0.41694835158376	none	all_cells_4000_atac	7821	4000	31284000
ABC.Score	1.76556723097135	none	all_cells_4000_atac	7821	4000	31284000
Kendall	0.198078374147583	none	all_cells_4000_atac	7821	4000	31284000
numTSSEnhGene	-1.53973662060787	none	all_cells_2000_atac	7821	2000	15642000
normalizedATAC_prom	-1.33348584361168	none	all_cells_2000_atac	7821	2000	15642000
numNearbyEnhancers	0.14962328680832	none	all_cells_2000_atac	7821	2000	15642000
ubiqExpressed	-0.328396425592314	none	all_cells_2000_atac	7821	2000	15642000
numCandidateEnhGene	0.405431996964529	none	all_cells_2000_atac	7821	2000	15642000
ABC.Score	1.74468792387179	none	all_cells_2000_atac	7821	2000	15642000
Kendall	0.350388143078173	none	all_cells_2000_atac	7821	2000	15642000
numTSSEnhGene	-1.56068958644028	none	all_cells_1000_atac	7821	1000	7821000
normalizedATAC_prom	-1.21754788786439	none	all_cells_1000_atac	7821	1000	7821000
numNearbyEnhancers	0.193996884591007	none	all_cells_1000_atac	7821	1000	7821000
ubiqExpressed	-0.336123335005722	none	all_cells_1000_atac	7821	1000	7821000
numCandidateEnhGene	0.399665027613718	none	all_cells_1000_atac	7821	1000	7821000
ABC.Score	1.72089484150335	none	all_cells_1000_atac	7821	1000	7821000
Kendall	0.0937575054427688	none	all_cells_1000_atac	7821	1000	7821000
numTSSEnhGene	-1.49772256837095	none	5000_cells_all_atac	5000	33387	166935000
