feature	coefficient	test_chr	cluster	cell_count	atac_frag_per_cell	rna_umi_per_cell	log10_total_frag	log10_total_umi
numTSSEnhGene	-1.62264049284189	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
normalizedATAC_prom	-2.05388156150077	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
numNearbyEnhancers	-0.00505749916087084	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
ubiqExpressed	-0.3605791053001	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
numCandidateEnhGene	-0.0434733264213965	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
ARC.E2G.Score	0.831998889759132	none	atac_1000_rna_500_cells_100	100	1000	500	5	4.69897000433602
numTSSEnhGene	-1.25032442744815	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
normalizedATAC_prom	0.327399188450089	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
numNearbyEnhancers	0.0890407874348487	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
ubiqExpressed	-0.331190946191708	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
numCandidateEnhGene	-0.199433797624196	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
ARC.E2G.Score	0.964532699745096	none	atac_2000_rna_1000_cells_100	100	2000	1000	5.30102999566398	5
numTSSEnhGene	-1.5153628002161	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
normalizedATAC_prom	-0.575977906514855	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
numNearbyEnhancers	0.134017907119041	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
ubiqExpressed	-0.302221816327765	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
numCandidateEnhGene	-0.0101258653431242	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
ARC.E2G.Score	1.08651712845781	none	atac_4000_rna_2000_cells_100	100	4000	2000	5.60205999132796	5.30102999566398
numTSSEnhGene	-1.46324538754258	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
normalizedATAC_prom	-1.29887970354503	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
numNearbyEnhancers	0.1234848139611	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
ubiqExpressed	-0.288419424847927	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
numCandidateEnhGene	0.104823164953573	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
ARC.E2G.Score	1.36558728399152	none	atac_10000_rna_5000_cells_100	100	10000	5000	6	5.69897000433602
numTSSEnhGene	-1.46133729591521	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
normalizedATAC_prom	-0.944017281944852	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
numNearbyEnhancers	0.141165633911109	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
ubiqExpressed	-0.327724332321793	none	atac_20000_rna_10000_cells_100	100	20000	10000	6.30102999566398	6
