numTSSEnhGene	distanceToTSS	normalizedATAC_enh	normalizedATAC_prom	numNearbyEnhancers	sumNearbyEnhancers	ubiqExpressed	numCandidateEnhGene	powerlawContact	ABC.Score	Kendall	features	n_features	AUPRC	AUPRC_95CI_low	AUPRC_95CI_high
1	0	0	1	1	0	1	1	0	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	7	0.6733570113057212	0.6213844800821953	0.7141720402985501
1	1	0	1	0	1	1	0	0	1	1	['numTSSEnhGene', 'distanceToTSS', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'ABC.Score', 'Kendall']	7	0.6728427011140871	0.617172606907442	0.7154259156015734
1	0	1	1	1	0	1	1	0	1	1	['numTSSEnhGene', 'normalizedATAC_enh', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	8	0.6725759710887932	0.6200093585558933	0.7145866120190238
1	0	0	1	1	0	1	0	1	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'powerlawContact', 'ABC.Score', 'Kendall']	7	0.6725519835709526	0.6169971723363548	0.7106708438308466
1	0	0	1	0	1	1	1	0	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	7	0.6724515379178743	0.6203721166366476	0.7167364073824275
1	0	0	1	0	1	1	0	0	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'ABC.Score', 'Kendall']	6	0.6723434460771698	0.6221429252631365	0.7190385391992049
1	1	0	1	1	0	1	0	0	1	1	['numTSSEnhGene', 'distanceToTSS', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'ABC.Score', 'Kendall']	7	0.6722558126016211	0.6214190463418672	0.7148926112946136
1	0	0	1	0	1	1	1	1	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'powerlawContact', 'ABC.Score', 'Kendall']	8	0.6714983004700064	0.6211773304642663	0.712779393879732
1	1	0	1	1	0	1	0	1	1	1	['numTSSEnhGene', 'distanceToTSS', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'powerlawContact', 'ABC.Score', 'Kendall']	8	0.6714784599477355	0.623960034719363	0.7139806572977091
1	0	0	1	1	0	1	1	1	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'powerlawContact', 'ABC.Score', 'Kendall']	8	0.6714445020981393	0.6255639934107228	0.7154572038512264
1	0	0	1	0	0	1	0	0	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'ubiqExpressed', 'ABC.Score', 'Kendall']	5	0.6713888451569456	0.615836359004193	0.7123644351586729
1	0	0	1	0	1	1	0	1	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'powerlawContact', 'ABC.Score', 'Kendall']	7	0.6712837344229922	0.623778933344301	0.7181346391435344
1	0	0	1	1	0	1	0	0	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'ABC.Score', 'Kendall']	6	0.6712533945837195	0.6246338944425209	0.7200108123792757
1	0	0	1	0	0	1	1	0	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	6	0.6711293104114355	0.6186336486828672	0.7142052963879661
1	1	0	1	1	0	1	1	0	1	1	['numTSSEnhGene', 'distanceToTSS', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	8	0.6701165249966642	0.6182953230616327	0.7160716332210071
1	0	1	1	1	0	1	0	0	1	1	['numTSSEnhGene', 'normalizedATAC_enh', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'ABC.Score', 'Kendall']	7	0.6696609916388213	0.6235765248554521	0.7146755219870573
1	1	0	1	0	1	1	0	1	1	1	['numTSSEnhGene', 'distanceToTSS', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'powerlawContact', 'ABC.Score', 'Kendall']	8	0.6696182308188475	0.6221500663756115	0.7159926738140038
1	0	0	1	0	0	1	1	1	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'ubiqExpressed', 'numCandidateEnhGene', 'powerlawContact', 'ABC.Score', 'Kendall']	7	0.6695849601542158	0.6187618009027965	0.712153552712004
1	0	1	1	0	0	1	1	0	1	1	['numTSSEnhGene', 'normalizedATAC_enh', 'normalizedATAC_prom', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	7	0.6694982267649495	0.6180300644191407	0.7104775361629041
1	0	0	1	1	1	1	1	0	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'numNearbyEnhancers', 'sumNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	8	0.6694557102360978	0.619177543334679	0.7185056914137726
1	0	1	1	0	1	1	1	0	1	1	['numTSSEnhGene', 'normalizedATAC_enh', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	8	0.6692747546827591	0.6238720585444615	0.7166229749482781
1	0	1	1	0	0	1	0	0	1	1	['numTSSEnhGene', 'normalizedATAC_enh', 'normalizedATAC_prom', 'ubiqExpressed', 'ABC.Score', 'Kendall']	6	0.6692125560089155	0.6178928147717492	0.7106578353490415
1	0	0	1	1	1	1	0	0	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'numNearbyEnhancers', 'sumNearbyEnhancers', 'ubiqExpressed', 'ABC.Score', 'Kendall']	7	0.6691948010034682	0.6206819245452553	0.7120112021470296
1	1	0	1	0	1	1	1	0	1	1	['numTSSEnhGene', 'distanceToTSS', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	8	0.6689863706940509	0.6176831144466708	0.7145801174356216
1	0	1	1	1	0	1	1	1	1	1	['numTSSEnhGene', 'normalizedATAC_enh', 'normalizedATAC_prom', 'numNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'powerlawContact', 'ABC.Score', 'Kendall']	9	0.6687521470755589	0.6107455682000706	0.7083035059742481
1	0	1	1	0	1	1	0	0	1	1	['numTSSEnhGene', 'normalizedATAC_enh', 'normalizedATAC_prom', 'sumNearbyEnhancers', 'ubiqExpressed', 'ABC.Score', 'Kendall']	7	0.6686524492132767	0.6201988608775628	0.7153207620012106
1	0	1	1	1	1	1	1	0	1	1	['numTSSEnhGene', 'normalizedATAC_enh', 'normalizedATAC_prom', 'numNearbyEnhancers', 'sumNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'ABC.Score', 'Kendall']	9	0.6686424580757159	0.6202038073539562	0.7107651752154318
1	0	0	1	1	1	1	0	1	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'numNearbyEnhancers', 'sumNearbyEnhancers', 'ubiqExpressed', 'powerlawContact', 'ABC.Score', 'Kendall']	8	0.6685426327960962	0.6185117812279652	0.7125577980161385
1	0	0	1	1	1	1	1	1	1	1	['numTSSEnhGene', 'normalizedATAC_prom', 'numNearbyEnhancers', 'sumNearbyEnhancers', 'ubiqExpressed', 'numCandidateEnhGene', 'powerlawContact', 'ABC.Score', 'Kendall']	9	0.6684874449630551	0.6187083659094006	0.716235751763196
1	1	0	1	0	0	1	0	0	1	1	['numTSSEnhGene', 'distanceToTSS', 'normalizedATAC_prom', 'ubiqExpressed', 'ABC.Score', 'Kendall']	6	0.6684410777384254	0.6181041195156038	0.7128843928894448
