feature_added	aupr	delta_aupr	delta_aupr_low	delta_aupr_high	pval_aupr	precision	delta_precision	delta_precision_low	delta_precision_high	pval_precision
None	0.0	0	0	0	1	0.0	0	0	0	1
ABC.Score	0.523521153137914	0.5215121998635638	0.45957337882186156	0.5687273404093844	0.0	0.46550844451586687	0.4657353412435223	0.4306186884978268	0.5053328076441923	0.0
ubiqExpressed	0.5649753922936248	0.043010558283962795	0.027635713247967857	0.05888685256409306	0.0	0.5317880403422841	0.0665800606933602	0.04805566648938973	0.08538411256249955	0.0
numTSSEnhGene	0.6025502964033936	0.03749254883508273	0.026344007631042773	0.052305628126796705	0.0	0.562529259727003	0.03093494206043038	0.00645760603210379	0.05464908897293634	0.012
normalizedATAC_prom	0.6190100306880477	0.014090138447091602	0.007226594783951585	0.026379941578334464	0.002	0.5564378161656827	-0.006597546004689202	-0.02339964764919721	0.006289847463213036	0.383
numCandidateEnhGene	0.626782033573234	0.00716608904414418	-8.618731726162097e-05	0.016726348240095334	0.089	0.564669466188394	0.007856664557774496	-0.00520982461903412	0.02443976440271164	0.266
numNearbyEnhancers	0.6281950884650725	0.0033541293249726165	-0.0036635077160788758	0.012047134945459856	0.406	0.590089720089737	0.026678104059371047	0.013606245445061624	0.04256585837016522	0.001
powerlawContact	0.6270603325766649	-0.001297832562062418	-0.0028465500414447515	0.0004467519442500181	0.127	0.5881913965518549	-0.002073957387416652	-0.008321122435565938	0.0021558789529337995	0.448
normalizedATAC_enh	0.6251914264157453	-0.0033313279673571074	-0.008550944246982812	0.004573661189044041	0.288	0.5849781244422757	-0.0031814406330341887	-0.011974087631678272	0.009958774463413098	0.554
distanceToTSS	0.620447388903842	-0.00222687179582437	-0.004139825693958864	0.0007105324109764241	0.068	0.5769064668280462	-0.008418863309729883	-0.019905906607911902	-0.003283890867558908	0.025
sumNearbyEnhancers	0.6172011565548323	-0.004898583181751095	-0.009195110162066316	-0.0014163885654488759	0.015	0.5714052792682098	-0.005979042850323051	-0.01529537888167631	0.005455706765435504	0.248
