group1	group2	group1_enr	group2_enr	delta_enr	p_delta_enr	p_delta_enr_adjust	significant
Islets_beta	Islets_endothelial	13.9960414522653	12.1902351043032	1.8058063479621	0.262410373484383	1	FALSE
Islets_PP	Islets_endothelial	13.9469621693839	12.1902351043032	1.7567270650807	0.272259520210992	1	FALSE
Islets_beta	Islets_delta	13.9960414522653	12.1604057373739	1.8356357148914	0.238313554399313	1	FALSE
Islets_PP	Islets_delta	13.9469621693839	12.1604057373739	1.78655643201	0.249698097260895	1	FALSE
Islets_beta	Islets_alpha	13.9960414522653	11.3784504748507	2.6175909774146	0.139271269216181	1	FALSE
Islets_PP	Islets_alpha	13.9469621693839	11.3784504748507	2.5685116945332	0.150351367944943	1	FALSE
Islets_beta	Islets_acinar	13.9960414522653	10.5659806689129	3.4300607833524	0.0832070582945561	1	FALSE
Islets_PP	Islets_acinar	13.9469621693839	10.5659806689129	3.380981500471	0.0914322004057843	1	FALSE
Islets_beta	Islets_duct	13.9960414522653	10.3099781352441	3.6860633170212	0.077136228248389	1	FALSE
Islets_PP	Islets_duct	13.9469621693839	10.3099781352441	3.6369840341398	0.0843810035155315	1	FALSE
Islets_beta	Islets_immune	13.9960414522653	10.0471078317959	3.9489336204694	0.0685951278147889	1	FALSE
Islets_PP	Islets_immune	13.9469621693839	10.0471078317959	3.899854337588	0.0749983455916692	1	FALSE
Islets_beta	Islets_mesenchymal	13.9960414522653	5.01954957692367	8.97649187534163	0.000136419800965973	0.010095065271482	TRUE
Islets_PP	Islets_mesenchymal	13.9469621693839	5.01954957692367	8.92741259246023	0.000172596876990063	0.0127721688972646	TRUE
Islets_beta	PBMC_20_CD4.N1	13.9960414522653	4.07186096547114	9.92418048679416	0.00022504809496454	0.016653559027376	TRUE
Islets_PP	PBMC_20_CD4.N1	13.9469621693839	4.07186096547114	9.87510120391276	0.000261589425464604	0.0193576174843807	TRUE
Islets_beta	BMMC22_Normoblast	13.9960414522653	3.60688989053445	10.3891515617309	0.000293233560367001	0.0216992834671581	TRUE
Islets_PP	BMMC22_Normoblast	13.9469621693839	3.60688989053445	10.3400722788495	0.000330528011857894	0.0244590728774842	TRUE
Islets_beta	BMMC22_Erythroblast	13.9960414522653	3.49878469174678	10.4972567605185	1.81723219418486e-05	0.0013447518236968	TRUE
Islets_PP	BMMC22_Erythroblast	13.9469621693839	3.49878469174678	10.4481774776371	2.25136702245847e-05	0.00166601159661927	TRUE
