group1	group2	group1_enr	group2_enr	delta_enr	p_delta_enr	p_delta_enr_adjust	significant
BMMC22_Normoblast	BMMC22_MK_E_prog	12.391569416534	10.0966830178126	2.2948863987214	0.0355449541194818	1	FALSE
BMMC22_Erythroblast	BMMC22_MK_E_prog	10.9317303488752	10.0966830178126	0.835047331062601	0.224969974810612	1	FALSE
BMMC22_Proerythroblast	BMMC22_MK_E_prog	10.6473417689872	10.0966830178126	0.5506587511746	0.30623128612623	1	FALSE
BMMC22_Normoblast	PBMC_10_cDC	12.391569416534	6.66297934091594	5.72859007561806	4.22110368260316e-06	0.000455879197721141	TRUE
BMMC22_Erythroblast	PBMC_10_cDC	10.9317303488752	6.66297934091594	4.26875100795926	9.47437360404126e-05	0.0102323234923646	TRUE
BMMC22_Proerythroblast	PBMC_10_cDC	10.6473417689872	6.66297934091594	3.98436242807126	0.000199136527539609	0.0215067449742778	TRUE
BMMC22_Normoblast	BMMC22_HSC	12.391569416534	6.65160098526608	5.73996843126792	2.92566396744251e-07	3.15971708483791e-05	TRUE
BMMC22_Erythroblast	BMMC22_HSC	10.9317303488752	6.65160098526608	4.28012936360912	1.09025392427181e-05	0.00117747423821356	TRUE
BMMC22_Proerythroblast	BMMC22_HSC	10.6473417689872	6.65160098526608	3.99574078372112	2.7769395421096e-05	0.00299909470547837	TRUE
BMMC22_Normoblast	BMMC22_CD8_pos_T	12.391569416534	6.21550312885579	6.17606628767821	1.3323236667542e-07	1.43890956009454e-05	TRUE
BMMC22_Erythroblast	BMMC22_CD8_pos_T	10.9317303488752	6.21550312885579	4.71622722001941	4.47854145917411e-06	0.000483682477590804	TRUE
BMMC22_Proerythroblast	BMMC22_CD8_pos_T	10.6473417689872	6.21550312885579	4.43183864013141	1.10202359343807e-05	0.00119018548091312	TRUE
BMMC22_Normoblast	BMMC22_ILC	12.391569416534	6.1904705329187	6.2010988836153	7.38611289444854e-07	7.97700192600443e-05	TRUE
BMMC22_Erythroblast	BMMC22_ILC	10.9317303488752	6.1904705329187	4.7412598159565	1.82077345706282e-05	0.00196643533362784	TRUE
BMMC22_Proerythroblast	BMMC22_ILC	10.6473417689872	6.1904705329187	4.4568712360685	3.98531168055345e-05	0.00430413661499773	TRUE
BMMC22_Normoblast	BMMC22_G_M_prog	12.391569416534	6.0288906613273	6.3626787552067	1.2518809922469e-08	1.35203147162665e-06	TRUE
BMMC22_Erythroblast	BMMC22_G_M_prog	10.9317303488752	6.0288906613273	4.9028396875479	5.42292480942641e-07	5.85675879418052e-05	TRUE
BMMC22_Proerythroblast	BMMC22_G_M_prog	10.6473417689872	6.0288906613273	4.6184511076599	1.49812220113313e-06	0.000161797197722378	TRUE
BMMC22_Normoblast	PBMC_24_CD8.CM	12.391569416534	5.94697226968871	6.44459714684529	8.90722186353242e-08	9.61979961261502e-06	TRUE
BMMC22_Erythroblast	PBMC_24_CD8.CM	10.9317303488752	5.94697226968871	4.98475807918649	2.77538555250755e-06	0.000299741639670816	TRUE
BMMC22_Proerythroblast	PBMC_24_CD8.CM	10.6473417689872	5.94697226968871	4.70036949929849	6.65529801512971e-06	0.000718772185634009	TRUE
BMMC22_Normoblast	BMMC22_Plasma_cell	12.391569416534	5.93250970824871	6.45905970828529	8.11084897323388e-08	8.75971689109259e-06	TRUE
BMMC22_Erythroblast	BMMC22_Plasma_cell	10.9317303488752	5.93250970824871	4.99922064062649	2.54570037967285e-06	0.000274935641004668	TRUE
BMMC22_Proerythroblast	BMMC22_Plasma_cell	10.6473417689872	5.93250970824871	4.71483206073849	6.12353675898398e-06	0.00066134196997027	TRUE
BMMC22_Normoblast	BMMC22_CD4_pos_T_activated	12.391569416534	5.86733752667589	6.52423188985811	3.66625553961201e-09	3.95955598278097e-07	TRUE
BMMC22_Erythroblast	BMMC22_CD4_pos_T_activated	10.9317303488752	5.86733752667589	5.06439282219931	1.71469125653847e-07	1.85186655706154e-05	TRUE
BMMC22_Proerythroblast	BMMC22_CD4_pos_T_activated	10.6473417689872	5.86733752667589	4.78000424231131	4.93623898932456e-07	5.33113810847052e-05	TRUE
