trait	nVariantsOverlappingEnhancers	biosample	nVariantsTotal	bpEnhancers	nCommonVariantsOverlappingEnhancers	nCommonVariantsTotal	recall	enrichment	method	biosampleGroup	traitGroup	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	significant_enr	n_cells	unique_fragments	dataset	biosample_name	ext_biosample_name	pred_file	ATAC_bw
AFib	1	K562_Xu	90	55830529	156169	9746610	0.0111111111111111	0.693451752054932	scE2G_multiome	FALSE	FALSE	0.994435226731458	0.0987532620175468	4.86946276612728	0.42381455222846	1	0.0319148936170213	0.0181296551417236	-0.0244223600187985	0.0466445822410207	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
AG	46	K562_Xu	781	55830529	156169	9746610	0.058898847631242	3.67591581755111	scE2G_multiome	FALSE	FALSE	0.143040285155813	2.7772146373632	4.86543492747526	3.36775917358388e-14	1.20599456006039e-10	0.0611464968152866	0.00855164920530416	0.0421379231804253	0.0756597720820587	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
AID_Combined	7	K562_Xu	79	55830529	156169	9746610	0.0886075949367089	5.5300582758811	scE2G_multiome	FALSE	FALSE	0.360837168314263	2.72636848785247	11.2169520264408	4.12177558256596e-05	0.147600783611687	0.108433734939759	0.0341287180889476	0.021716536643851	0.155498653229567	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
ALL	1544	K562_Xu	27689	55830529	156169	9746610	0.0557622160424717	3.48015657718059	scE2G_multiome	FALSE	TRUE	0.0247358977419861	3.31545814436626	3.65303655613134	0	0	0.0558263821182248	0.0013796237742545	0.0530582031327177	0.0584662289522258	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
ALP	51	K562_Xu	908	55830529	156169	9746610	0.0561674008810573	3.50544442944068	scE2G_multiome	FALSE	FALSE	0.136044977394215	2.68498208363586	4.57661923436627	1.10247736412152e-14	3.94797144091916e-11	0.0581140350877193	0.00774715525135088	0.0409832556057692	0.0713515461563453	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
ALT	24	K562_Xu	422	55830529	156169	9746610	0.0568720379146919	3.54942129013899	scE2G_multiome	FALSE	FALSE	0.198241006107589	2.40665866901349	5.23480610570177	3.83417235872823e-08	0.000137301712166058	0.0610328638497653	0.0115985118622168	0.0341393723904864	0.0796047034388975	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
AST	19	K562_Xu	538	55830529	156169	9746610	0.0353159851301115	2.20409385876196	scE2G_multiome	FALSE	FALSE	0.225334600957134	1.41717970537821	3.42795604523258	0.000563021595612797	1	0.0387453874538745	0.00828952373174245	0.0190688171669063	0.0515631530933168	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Age_at_Menarche	6	K562_Xu	310	55830529	156169	9746610	0.0193548387096774	1.20794821325698	scE2G_multiome	FALSE	FALSE	0.404284497281248	0.546916124612681	2.66793904996689	0.23180457743095	1	0.0254777070063694	0.00889224120618662	0.00192636620370864	0.0367833112156462	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Age_at_Menopause	11	K562_Xu	121	55830529	156169	9746610	0.0909090909090909	5.67369615317672	scE2G_multiome	FALSE	FALSE	0.28748608800774	3.22966496443846	9.96723449429662	6.66243092553651e-07	0.00238581651443462	0.104	0.027303333129858	0.03739554131667	0.144422640501512	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Alb	27	K562_Xu	479	55830529	156169	9746610	0.0563674321503132	3.51792851251249	scE2G_multiome	FALSE	FALSE	0.186953764903639	2.43866236918388	5.07483986940351	8.13700862955238e-09	2.91386279024271e-05	0.0600414078674948	0.0108095155160194	0.0351811710485882	0.0775536932520381	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Alzheimer_LTFH	6	K562_Xu	17	55830529	156169	9746610	0.352941176470588	22.0272909476273	scE2G_multiome	FALSE	FALSE	0.328401089434298	11.5724569561437	41.9272716528733	4.57996437473407e-09	1.64008524259227e-05	0.380952380952381	0.105971169574131	0.145241500705705	0.560640852235471	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
ApoA	21	K562_Xu	566	55830529	156169	9746610	0.0371024734982332	2.31558977276294	scE2G_multiome	FALSE	FALSE	0.214137716366151	1.52190403376592	3.52318929233419	0.000167772273905184	0.600792512854464	0.0403508771929825	0.00824224078529016	0.0209479784071574	0.0532569685893091	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
ApoB	32	K562_Xu	376	55830529	156169	9746610	0.0851063829787234	5.31154533488884	scE2G_multiome	FALSE	FALSE	0.16909333609473	3.81318946042734	7.39866564128645	6.96645901565299e-15	2.49468897350534e-11	0.0894736842105263	0.0146420576678353	0.0564084772902077	0.113804288667239	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Asthma	1	K562_Xu	43	55830529	156169	9746610	0.0232558139534884	1.4514106438359	scE2G_multiome	FALSE	FALSE	0.98830999192323	0.20918922614097	10.0702741527451	0.151102003920806	1	0.0638297872340426	0.0356566204934635	-0.0466298780241129	0.0931415059310896	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
BFP	23	K562_Xu	662	55830529	156169	9746610	0.0347432024169184	2.16834611292101	scE2G_multiome	FALSE	FALSE	0.204866464859633	1.45126243758753	3.23974819691154	0.000244726488033404	0.87636555364762	0.0375375375375375	0.00736525309632372	0.0203075716111018	0.049178833222735	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
BMI	21	K562_Xu	815	55830529	156169	9746610	0.0257668711656442	1.60812737593107	scE2G_multiome	FALSE	FALSE	0.215394447454889	1.05432950228318	2.45281351951048	0.0140214944230286	1	0.0280830280830281	0.00577290750579561	0.0144521803682038	0.0370815619630845	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
BW	35	K562_Xu	953	55830529	156169	9746610	0.0367261280167891	2.29210180374925	scE2G_multiome	FALSE	FALSE	0.165904192894656	1.6558309574232	3.17286656297719	3.49997859944797e-06	0.0125334233646232	0.038662486938349	0.00623199173997503	0.0245116486544869	0.0489406073790913	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Balding_Type4	10	K562_Xu	457	55830529	156169	9746610	0.0218818380743982	1.36565990557864	scE2G_multiome	FALSE	FALSE	0.312755107580035	0.739818060122048	2.52092653347417	0.121237420530879	1	0.0260303687635575	0.00741587507844863	0.00734699000679078	0.0364166861420057	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Baso	11	K562_Xu	137	55830529	156169	9746610	0.0802919708029197	5.01107470463053	scE2G_multiome	FALSE	FALSE	0.289159929152928	2.84313511511942	8.8321056434679	2.50008202777346e-06	0.00895279374145676	0.0921985815602837	0.0243639664052643	0.0325394741280579	0.128044467477782	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Blood_Clot_Lung	1	K562_Xu	21	55830529	156169	9746610	0.0476190476190476	2.97193608023542	scE2G_multiome	FALSE	FALSE	0.975906373668238	0.438880669916172	20.1248418315897	0.0440738709160749	1	0.12	0.0649923072370877	-0.0797635338378061	0.175001629075901	not_significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
Blood_counts	464	K562_Xu	6017	55830529	156169	9746610	0.0771148412830314	4.81278796174405	scE2G_multiome	FALSE	TRUE	0.0446042450127539	4.40990796773978	5.252474231697	6.41726747863503e-165	2.2980234840992e-161	0.0773957814316559	0.0034437534333036	0.0703652085821202	0.0838644739839426	significant	7821	260716465	K562	K562 (Xu et al.)		/oak/stanford/groups/engreitz/Users/sheth/sc-E2G/results/2024_0826_K562_GM12878/K562_Xu_pl/multiome_powerlaw_v2/encode_e2g_predictions.tsv.gz	/oak/stanford/groups/engreitz/igv/hg38/scE2G/K562_GM12878/K562_Xu_pl/ATAC.bw
